"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","MIL_OPS_OPER_CODE","MIL_OPS_CALL","MIL_OPS_HRS","AMCP_HRS","PMSV_HRS","REMARK"
"2026/02/19","03264.","A","FL","NQX","KEY WEST","US","N","NAVY KEY WEST","0600-2200","","CONTINUOUS",""
"2026/02/19","03320.","A","FL","NRB","MAYPORT","US","N","NAVY MAYPORT","SAME AS ARPT OPERG HRS","","1000-0500Z++ MON-THURS; 1000-2300Z++ FRI. CLSD SAT,SUN AND FED HOL",""
"2026/02/19","03352.","A","FL","NDZ","MILTON","US","N","SOUTH WHITING","1300-0400Z++ MON-THUR; 1400-0400Z++ FRI; 2300-0300Z++ SUN; CLSD SAT & HOL.","","1145-0500Z++ MON-FRI; CLSD SAT, SUN & HOL.",""
"2026/02/19","03352.01","A","FL","NSE","MILTON","US","","","","","1245-0445Z++ MON-FRI, CLSD SAT, SUN & HOL.",""
"2026/02/19","03430.","A","FL","PAM","PANAMA CITY","US","A","TYNDALL","1200-2300Z++MON-FRI, CLSD WKEND, HOL. AND ACC DOWN DAYS.","","PART-TIME",""
"2026/02/19","03435.5","A","FL","NPA","PENSACOLA","US","N","SHERMAN OPS","0500-2300","","CONTINUOUS",""
"2026/02/19","03507.","A","FL","SUA","STUART","US","C","STUART","0730-1600 MON-FRI","","",""
"2026/02/19","03514.","A","FL","MCF","TAMPA","US","A","MAC DILL","24","24","CONTINUOUS",""
"2026/02/19","03531.3","A","FL","TTS","TITUSVILLE","US","","","","","24",""
"2026/02/19","03534.","A","FL","VPS","VALPARAISO/DESTIN-FT WALTON BEACH","US","","","","","FULL SVC 0600Z++ MON - 0600Z++ SAT, CLSD WKEND/HOL, OT SVC UNAVBL.",""
"2026/02/19","03535.03","A","FL","EGI","CRESTVIEW","US","","","","","PMSV METRO:  SUN 0500Z++ TO FRI 0500Z++. SVC LCTD AT KVPS.",""
"2026/02/19","03650.","A","GA","AGS","AUGUSTA","US","R","ARMY OPNS","0700-1600","","",""
"2026/02/19","03800.8","A","GA","LHW","FORT STEWART (HINESVILLE)","US","R","HUNTER","BASE OPS 1230-0400Z++, M-F.","","FULL SVC 1230Z++-0400Z++; EXC HOL 252 025.",""
"2026/02/19","03991.","A","GA","SVN","SAVANNAH","US","R","HUNTER","24 HRS","","PART-TIME","(PMSV_HRS) PMSV METRO:  FULL SVC 0300-0400Z++ SUN-FRI, EXC HOL. WX SVC AVBL 24/5 INCL HOL."
"2026/02/19","04072.","A","GA","VAD","VALDOSTA","US","","","","24","",""
"2026/02/19","04109.","A","GA","WDR","WINDER","US","R","WINDER","0730-1600 MON-FRI EXCEPT HOLIDAYS","","",""
"2026/02/19","04149.","A","ID","BOI","BOISE","US","R","NG OPS","0800-1630 MON-FRI; 1830-2230 TUE & THU EXC HOL.","","","(MIL_OPS_HRS) ARNG OPS & ARMY R/W - D422-3976."
"2026/02/19","04268.","A","ID","MUO","MOUNTAIN HOME","US","A","RAYMOND 27","24","24","PART-TIME",""
"2026/02/19","04413.","A","IL","BLV","BELLEVILLE","US","","","","24","FULL TIME",""
"2026/02/19","04938.","A","IL","PIA","PEORIA","US","","","1230-2100Z++MON-FRI","","",""
"2026/02/19","05282.","A","IN","FWA","FORT WAYNE","US","A","MACE","0815-1645 MON-FRI","","",""
"2026/02/19","05575.","A","IN","GUS","PERU","US","A","GRISSOM DISPATCH","OPR 1200-0400Z++ 26 AUG-11 APR; 1200-0400Z++ FRI-MON, 1200-0500Z++ TUE-THU 12 APR-25 AUG.""  OPR 1200-0400Z++ 26 AUG-11 APR; 1200-0400Z++ FRI-MON, 1200-0500Z++ TUE-THU 12 APR-25 AUG.""  ","","",""
"2026/02/19","05865.","A","IA","BNW","BOONE","US","R","BOONE NATIONAL GUARD","0800-1630 EXCEPT HOLIDAYS","","",""
"2026/02/19","06402.","A","IA","ALO","WATERLOO","US","R","SABER","0800-1630 MON-FRI","","",""
"2026/02/19","06595.","A","KS","FLV","FORT LEAVENWORTH","US","R","SHERMAN OPNS","0730-1630 MON-FRI","","",""
"2026/02/19","06878.","A","KS","SLN","SALINA","US","R","GUARDS","0730-1615 TUE-FRI; OCNLY SAT EXCEPT HOL","","",""
"2026/02/19","06932.","A","KS","FOE","TOPEKA","US","A","FORBES DISPATCH","0730-1615 TUE-FRI; OCNLY SAT EXCEPT HOL","","",""
"2026/02/19","06979.","A","KS","IAB","WICHITA","US","A","MCCONNELL BASE OPERATIONS","24","24","PART-TIME",""
"2026/02/19","07138.6","A","KY","HOP","FORT CAMPBELL/HOPKINSVILLE","US","R","CAMPBELL","24","0730-1630","PART-TIME",""
"2026/02/19","07139.","A","KY","FTK","FORT KNOX","US","R","GODMAN","24","","CONTINUOUS",""
"2026/02/19","07520.","A","LA","POE","FORT POLK","US","R","POLK","","","CONTINUOUS",""
"2026/02/19","07589.","A","LA","LFT","LAFAYETTE","US","R","CAJUN","0730-1600 WKDAYS EXCLDG HOLS.","","",""
"2026/02/19","07673.","A","LA","NBG","NEW ORLEANS","US","N","CRAWFISH BASE","BASE OPS OPR 1300-2100Z++ MON-FRI, CLSD SAT-SUN","","1100-0500Z++ MON-SAT, 1400-2300Z++ SAT,SUN",""
"2026/02/19","07825.","A","ME","BGR","BANGOR","US","R","ARMY GUARD","0730-1600 MON-FRI","","",""
"2026/02/19","08170.1","H","ME","ME59","NORTH WHITEFIELD","US","","QQ","","","",""
"2026/02/19","08441.3","A","MD","APG","ABERDEEN PROVING GROUNDS (ABERDEEN)","US","R","PHILLIPS","SAME AS ARPT OPNS HRS","","",""
"2026/02/19","08452.","A","MD","MTN","BALTIMORE","US","A","175TH/135TH OPERATIONS","0900-2100 TUE-SUN","","",""
"2026/02/19","08484.","A","MD","ADW","CAMP SPRINGS","US","A","ANDREWS","24","24","WX 24",""
"2026/02/19","08530.","H","MD","EDG","EDGEWOOD ARSENAL","US","R","WEIDE OPERATIONS","0800-1630 MON-FRI OT PRIOR REQ","","",""
"2026/02/19","08614.","A","MD","NHK","PATUXENT RIVER","US","","","","","CONTINUOUS",""
"2026/02/19","08906.","A","MA","FMH","FALMOUTH","US","C","OTIS","0600-0000","","",""
"2026/02/19","09304.02","A","MA","CEF","SPRINGFIELD/CHICOPEE","US","A","WESTOVER","0800-2300 MON-FRI; 0900-1700 SAT; 1300-2100 SUN; CLSD HOL","","REMARKS: FULL SVC 1100-0400Z++ MON-FRI; 1100-2200Z++ SAT; 1500-0200Z++ SUN; CLSD HOL; DSN 589-2879, OT CTC 15TH OWS DSN 576-9755.","(AMCP_HRS) COMMAND POST/439 AW NAME CASINO ROYALE.; (PMSV_HRS) NGT OBSTN LTD DUE TO HI INTST SCTY LGTS. AFLD WX IS MNT BY AN/FMQ-19. AUTOMATED OBS ARE QLTY CTLD FOR ACCURACY DURG ATC FLYING HRS."
"2026/02/19","09398.","A","MA","BAF","WESTFIELD/SPRINGFIELD","US","R","HAWK CONTROL","0800-1630 TUES-SAT EXC HOL","","",""
"2026/02/19","09501.","A","MI","ADG","ADRIAN","US","C","COAST GUARD AIR OPNS","SAME AS ARPT","","",""
"2026/02/19","10115.","A","MI","MTC","MOUNT CLEMENS","US","A","SELFRIDGE","1230-0400Z++ DAILY; CLSD HOLS","1300-0500Z++","LTD SVC AVBL 1200-0400Z++ CLSD HOL.",""
"2026/02/19","10193.","A","MI","OSC","OSCODA","US","","","","","CONTINUOUS",""
"2026/02/19","10614.8","A","MN","RYM","CAMP RIPLEY","US","R","MILLER TOWER","0800-1630 JAN-MAR; 0800-1900 MAY AUG","","",""
"2026/02/19","10974.","A","MN","STP","ST PAUL","US","R","GUARD OPERATIONS","0800-1630 MON-FRI","","",""
"2026/02/19","11147.","A","MS","BIX","BILOXI","US","A","KEESLER DISPATCH","MON-FRI 1400-0500Z++, CLSD HOLS.","24","FULL SVC AVBL H24 MON 0600Z++ THRU SAT 0500Z++, CLSD WKENDS & HOLS EXC FOR UNIT TRNG ASSEMBLY WKENDS SAT 1600-2300Z++, SUN 1300-0500Z++.","(MIL_OPS_HRS) WKEND HRS: UNIT TRNG ASSEMBLY (UTA) NORMALLY FIRST WKEND OF MONTH, SAT 1700-2300Z++, SUN 1630-0500Z++.; (PMSV_HRS) REMOTE BRIEFING SVC AVBL FM 26TH OWS BARKSDALE AFB, LA, DSN 331-2651, C318-529-2651. AUTO FMQ-19 IN USE H24. AUGMENTED/BACKED UP FMQ-19 IN USE WHEN REQ DURG OPR HRS & FOR RESOURCE PROTECTION."
"2026/02/19","11195.","A","MS","CBM","COLUMBUS","US","A","COLUMBUS OPS","SAME AS TWR OPERG HRS","","PART TIME",""
"2026/02/19","11253.","A","MS","GPT","GULFPORT","US","F","GULFPORT","0600-2300","","",""
"2026/02/19","11282.","A","MS","HKS","JACKSON","US","R","HAWKINS FLD","0700-1630","","","(MIL_OPS_CALL) DSN 293-2117, C601-313-2117."
"2026/02/19","11339.1","A","MS","NMM","MERIDIAN","US","N","MC CAIN","SAME AS ARPT HRS","","MON-THU 1100-0500Z++, FRI 1100-2300Z++",""
"2026/02/19","11339.2","A","MS","NJW","MERIDIAN","US","N","BRAVO TOWER","AS NEEDED","0730-2400 MON-FRI","",""
"2026/02/19","11808.","A","MO","JEF","JEFFERSON CITY","US","R","BYE WORD","0800-1700 MON-FRI","","",""
"2026/02/19","11844.","A","MO","SZL","KNOB NOSTER","US","A","WHITEMAN BASE OPNS","OPR 24 HR FM MON 1300Z++ THRU FRI 0500Z++; SAT-SUN 1400-2300Z++; CLSD HOL.  SEE NOTAMS FOR MOST UP TO DATE OPR HR.","24","PART-TIME",""
"2026/02/19","12381.","A","MT","GTF","GREAT FALLS","US","R","NOVEMBER LIMA","24","","",""
"2026/02/19","12382.","H","MT","GFA","GREAT FALLS","US","","","OPR 1300-0800++ MON-FRI; LTD SVC WKEND AND HOL.","","","(PMSV_HRS) WX CTC DSN 632-2710. FULL SVC AVBL MON-FRI H24. HO ON WKEND AND HOL CTC DSN 228-7338."
"2026/02/19","12853.1","A","NE","OFF","OMAHA","US","A","PLAINSMAN","24","","CONTINUOUS",""
"2026/02/19","13081.","A","NV","LSV","LAS VEGAS","US","A","RAYMOND 22","24","24","24","(PMSV_HRS) PMSV METRO: FULL SVC AVBL DURG WX OPS HRS; PMSV UNREL 085-155 DEG BYD 35 NM AT OR BLW FL 200, 315-005 DEG BYD 40 NM AT OR BLW FL 200, 230-290 DEG BYD 55 NM AT OR BLW FL 200."
"2026/02/19","13123.","A","NV","RNO","RENO","US","A","ARROW","0800-1630","","",""
"2026/02/19","13124.","A","NV","RTS","RENO","US","R","ROCKY","0700-1800 MON-THU EXCEPT HOLIDAYS","","",""
"2026/02/19","13887.","A","NJ","NEL","LAKEHURST","US","N","LAKEHURST","0700-2300","","",""
"2026/02/19","14366.","A","NJ","TTN","TRENTON","US","R","TRENTON","0730-1600 EXCEPT HOLIDAYS","","",""
"2026/02/19","14484.","A","NJ","WRI","WRIGHTSTOWN","US","R","MCGUIRE ARMY OPERATIONS","CTC 15 MIN PRIOR TO LDG","24","WX SVC AVBL 24 HRS.",""
"2026/02/19","14525.","A","NM","HMN","ALAMOGORDO","US","","","","","PART-TIME",""
"2026/02/19","14532.","A","NM","ABQ","ALBUQUERQUE","US","A","TACO","0600-2200 MON-FRI; 0800-1700 SAT-SUN","24","24",""
"2026/02/19","14728.","A","NM","SAF","SANTA FE","US","R","GUARD OPERATIONS","0800-1630","","",""
"2026/02/19","14739.1","A","NM","95E","SOCORRO","US","R","CHEROKEE","SAME AS ARPT","","",""
"2026/02/19","15752.","A","NY","SWF","NEW YORK","US","R","STEWART ARMY","0630-2230","","",""
"2026/02/19","15783.","A","NY","ISP","NEW YORK","US","R","ISLIP OPERATIONS","0730-1600 MON-SAT;0730-2300 TUE & THU","","",""
"2026/02/19","16118.","A","NY","SCH","SCHENECTADY","US","A","SCHENECTADY COMMAND POST","0730-1600","0730-1600","",""
"2026/02/19","16585.","A","NC","HFF","CAMP MACKALL","US","R","RANGE RDO","SUNRISE-SUNSET MON-FRI","","PMSV METRO-OPR 0500-0600Z++MON-SAT, CLOSD HOL, OT BY NOTAM",""
"2026/02/19","16619.","A","NC","NKT","CHERRY POINT","US","N","CHERRY POINT","SAME AS ATCT","","CONTINUOUS",""
"2026/02/19","16723.03","A","NC","POB","FAYETTEVILLE","US","","","","","PART TIME",""
"2026/02/19","16729.1","A","NC","FBG","FORT BRAGG","US","","","","","OPR 0500-0600Z++ MON-SAT, CLSD HOL, OT BY NOTAM",""
"2026/02/19","16815.","A","NC","NCA","JACKSONVILLE","US","N","NEW RIVER OPS","SEE RMRKS","","244.775 1100-2200Z++ DLY (OT BROADCASTS ASOS INFO).","(MIL_OPS_HRS) OPERATIONS HOURS 0700-SS MON-FRI, 0700-1200 SAT, 1600-2000 SUN."
"2026/02/19","17147.5","A","NC","NJM","SWANSBORO","US","N","BOGUE","","","PART-TIME",""
"2026/02/19","17349.13","A","ND","RDR","GRAND FORKS","US","A","","24","","CONTINUOUS",""
"2026/02/19","17417.5","A","ND","MIB","MINOT","US","A","MINOT DISPATCH","SAME AS ATCT HRS","24","CONTINUOUS",""
"2026/02/19","17786.","A","OH","LCK","COLUMBUS","US","A","RICK DISPATCH","24","","",""
"2026/02/19","17827.","A","OH","FFO","DAYTON","US","A","PATTERSON","24","","FULL WX SVC AVBL H24 UNLESS SPECIFIED IN NOTAM.",""
"2026/02/19","18157.","A","OH","MFD","MANSFIELD","US","A","AERO-COMMAND POST","0630-2230","0630-2230","",""
"2026/02/19","18577.","A","OH","TOL","TOLEDO","US","","","AIRFIELD OPS DUTY HRS 1145-2130Z++ MON-THU, OCNL WKENDS, EXCLDG HOLS.","","",""
"2026/02/19","18753.","A","OH","YNG","YOUNGSTOWN/WARREN","US","A","TRULL","0800-0000","","",""
"2026/02/19","18780.","A","OK","LTS","ALTUS","US","A","ALTUS CONSOLIDATED COMMAN*","BASE OPS OPR  1245-0830Z++ WKD, CLSD WKEND AND FEDERAL HOL.","24","OPR H24 FM 0600Z++ MON THRU 0800Z++ SAT OR END OF FLYING FRI.",""
"2026/02/19","18954.","A","OK","END","ENID","US","","","","","CONTINUOUS",""
"2026/02/19","18970.","A","OK","FSI","FORT SILL","US","R","","1330-2230Z++ MON-FRI, DSN 639-6160/5808, WX DSN 639-4000.","","SVC AVBL 1200-0600Z++ MON-FRI, EXC HOL.",""
"2026/02/19","19135.","A","OK","TIK","OKLAHOMA CITY","US","A","TINKER OPERATIONS","24","24","CONTINUOUS",""
"2026/02/19","19571.","A","OR","PDX","PORTLAND","US","A","VICTOR HOTEL","24","","",""
"2026/02/19","19595.","A","OR","SLE","SALEM","US","R","NG-OPNS","0700-1530 MON-FRI; EXCEPT HOL","","",""
"2026/02/19","20413.","H","PA","MUI","FORT INDIANTOWN GAP (ANNVILLE)","US","R","MUIR","MUIR OPS 1200-0600Z++ MON-FRI MAY-AUG EXC WKEND AND HOL; 1200-0500Z++ MON-FRI SEP-APR EXC WKEND AND HOL.","","",""
"2026/02/19","21233.","A","PA","PSB","PHILIPSBURG","US","R","GUARD OPS","0700-1630 MON-FRI","","",""
"2026/02/19","21252.","A","PA","PIT","PITTSBURGH","US","A","GREATER PITTSBURGH","NML DUTY HRS TUE-SAT","0730-1600","",""
"2026/02/19","21990.","A","RI","OQU","NORTH KINGSTOWN","US","R","FIERCE ALPINE","0800-1630","","",""
"2026/02/19","22124.","A","SC","NBC","BEAUFORT","US","N","BEAUFORT","SAME AS ATCT","","1200-0400Z++ MON-THU; 1200-2400Z++ FRI; 2000-2200Z++ SUN, CLSD SAT AND HOL, OT BY NOTAM.",""
"2026/02/19","22174.","A","SC","CHS","CHARLESTON","US","A","CHARLESTON","24","24","",""
"2026/02/19","22444.","A","SC","MYR","MYRTLE BEACH","US","A","MYRTLE BEACH BASE OPS","0700-2300","24","PART-TIME",""
"2026/02/19","22538.","A","SC","SSC","SUMTER","US","A","SHAW OPS","24","","PART-TIME.  FORCASTER AVBL 1000-1800Z++MON-FRI, CLSD HOL.  DSN 965-2362, C803-895- 2362.  OPS HRS MAY VAR WITH LCL FLYING SKED.",""
"2026/02/19","22774.","A","SD","RCA","RAPID CITY","US","A","DISPATCH","CLSD","","CONTINUOUS",""
"2026/02/19","22776.","A","SD","RAP","RAPID CITY","US","R","GD OPNS","1400-0030Z TUE-FRI EXCP HOL","","",""
"2026/02/19","23233.04","A","TN","AYX","TULLAHOMA","US","A","ARNOLD OPS","0800-1600 MON-FRI, EXCP HOLS","","",""
"2026/02/19","23286.","A","TX","DYS","ABILENE","US","","","","24","CONTINUOUS","(PMSV_HRS) ALTN PMSV: SHEPPARD AFB 339.65."
"2026/02/19","23369.","A","TX","AUS","AUSTIN","US","","","","","PART-TIME",""
"2026/02/19","23660.","A","TX","NGP","CORPUS CHRISTI","US","N","NAVY OPERATIONS","1300-0500Z++ MON-THU; 1300-0300Z++ FRI; CLSD SAT; 0100-0500Z++ SUN; IF MON HOL, CLSD SUN, 0100-0500Z++ MON; OT CK NOTAM.","","1000-0500Z++ MON-THU; 1000-0100Z++ FRI; CLSD SAT, SUN AND HOL.",""
"2026/02/19","23744.","A","TX","DLF","DEL RIO","US","A","OPERATIONS","SAME AS ATCT","24","WX HS ",""
"2026/02/19","23876.","A","TX","BIF","FORT BLISS/EL PASO/","US","R","BIGGS OPERATIONS","SAME AS ARPT OPERG HRS","","",""
"2026/02/19","23882.2","A","TX","GRK","FORT HOOD (KILLEEN)","US","","","","","WX OBSN FULLY AUTOMATED WITH MANUAL AUGMENTATION AVBL 24/7.",""
"2026/02/19","23882.21","H","TX","HLR","FORT HOOD (KILLEEN)","US","R","","","","CONTINUOUS",""
"2026/02/19","23895.","A","TX","NFW","FORT WORTH","US","N","LOCKHEED","1300-2400Z++ MON-FRI","24","",""
"2026/02/19","24062.","A","TX","HDO","HONDO","US","A","RIDGE CONTROL","0930-1730","","",""
"2026/02/19","24067.3","A","TX","EFD","HOUSTON","US","A","GUARD OPERATIONS","24","","",""
"2026/02/19","24166.","A","TX","NQI","KINGSVILLE","US","N","KINGSVILLE","1345-0600Z++ MON-THU; 1345-2345Z++ FRI; CLSD SAT, SUN & HOL EXC BY NOTAM. ","","1345-0600Z++ MON-THU; 1345-2345Z++ FRI; CLSD SAT, SUN & HOL EXC BY NOTAM. ALSO AVABL 1 HR PR TO & DUR  NOTAM AFLD HRS.",""
"2026/02/19","24446.","A","TX","NOG","ORANGE GROVE","US","N","NAVY ORANGE GROVE","0800-1800 MON-THU","","",""
"2026/02/19","24704.","A","TX","SKF","SAN ANTONIO","US","","","","","CONTINUOUS",""
"2026/02/19","24949.","A","TX","RND","UNIVERSAL CITY","US","","","","24","","(PMSV_HRS) WX OPR H24 MON-THU, 0500-0300Z++ FRI, 0300-0500Z++ SUN AT DSN 487-3040, C210-652-3040. AN/FMQ-19 ASOS IN USE, AUGMENTED BY HUMAN OBSERVER AS NEC DUR AFLD OP HR. BACKUP WX OBSN VIEW LTD, RSTD FR S-NW BY FLIGHTLINE FAC AND TREES. CTC 26 OWS DSN 331-2651/2633/2635/2636, C318-529-2651/2633/2635/2636 DUR WX FLT CLOSURE OR EVAC. WHEN POSSIBLE, PROVIDE 2 HR PN FOR ALL RQR BRIEFS."
"2026/02/19","25029.","A","TX","SPS","WICHITA FALLS","US","","","","","CONTINUOUS","(PMSV_HRS) WINDS ISSUED BY TWR ARE OFFL WINDS FM CTR RWY."
