"EFF_DATE","REGULATORY","AWY_LOCATION","AWY_ID","POINT_SEQ","FROM_POINT","FROM_PT_TYPE","NAV_NAME","NAV_CITY","ARTCC","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","TO_POINT","MAG_COURSE","OPP_MAG_COURSE","MAG_COURSE_DIST","CHGOVR_PT","CHGOVR_PT_NAME","CHGOVR_PT_DIST","AWY_SEG_GAP_FLAG","SIGNAL_GAP_FLAG","DOGLEG","NEXT_MEA_PT","MIN_ENROUTE_ALT","MIN_ENROUTE_ALT_DIR","MIN_ENROUTE_ALT_OPPOSITE","MIN_ENROUTE_ALT_OPPOSITE_DIR","GPS_MIN_ENROUTE_ALT","GPS_MIN_ENROUTE_ALT_DIR","GPS_MIN_ENROUTE_ALT_OPPOSITE","GPS_MEA_OPPOSITE_DIR","DD_IRU_MEA","DD_IRU_MEA_DIR","DD_I_MEA_OPPOSITE","DD_I_MEA_OPPOSITE_DIR","MIN_OBSTN_CLNC_ALT","MIN_CROSS_ALT","MIN_CROSS_ALT_DIR","MIN_CROSS_ALT_NAV_PT","MIN_CROSS_ALT_OPPOSITE","MIN_CROSS_ALT_OPPOSITE_DIR","MIN_RECEP_ALT","MAX_AUTH_ALT","MEA_GAP","REQD_NAV_PERFORMANCE","REMARK"
"2026/01/22","N","C","A221",20,"ERTTS","RP   ","","","ZUA","PG","GU","US","MONIE",21.84,201.89,13,"","",,"N","N","N","MONIE",1500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A221",30,"MONIE","RP   ","","","ZAK","P","MP","US","LULJY",21.89,202.01,28,"","",,"N","N","N","LULJY",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A221",40,"LULJY","RP   ","","","ZAK","P","MP","US","HEXUG",21.98,202,3,"","",,"N","N","N","HEXUG",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A221",50,"HEXUG","RP   ","","","ZOA","P","OP","US","WILLE",22.02,202.05,7.97,"","",,"N","N","N","WILLE",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A221",60,"WILLE","RP   ","","","ZAK","P","MP","US","",,,,"","",,"N","N","N","",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",10,"UNZ","VORTAC","NIMITZ","AGANA","ZHN","","GU","US","CLANS",112.23,291.99,100.23,"","",,"N","N","N","CLANS",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",20,"CLANS","WP   ","","","ZOA","P","OP","US","AXIDE",111.89,291.76,43.61,"","",,"N","N","N","AXIDE",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",30,"AXIDE","WP   ","","","ZOA","P","OP","US","FIBSS",111.77,291.44,114.28,"","",,"N","N","N","FIBSS",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",40,"FIBSS","WP   ","","","ZOA","P","OP","US","KRONK",111.43,290.27,349,"","",,"N","N","N","KRONK",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",50,"KRONK","WP   ","","","ZAK","P","OP","US","ADUFO",116.73,295.78,249.32,"","",,"N","N","N","ADUFO",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",60,"ADUFO","RP   ","","","ZAK","P","OP","US","PNI",114.35,294.4,30,"","",,"N","N","N","PNI",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",70,"PNI","NDB/DME","POHNPEI","POHNPEI ISLAND","","","","FM","AXTEN",102.9,282.8,30,"","",,"N","N","N","AXTEN",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",80,"AXTEN","WP   ","","","ZAK","P","OP","US","UKS",102.81,281.93,270.36,"","",,"N","N","N","UKS",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",90,"UKS","NDB/DME","KOSRAE","KOSRAE ISLAND","","","","FM","STEFF",47.28,227.28,168.46,"","",,"N","N","N","STEFF",20000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",100,"STEFF","WP   ","","","ZOA","P","OP","US","RASON",47.25,227.34,180.02,"","",,"N","N","N","RASON",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A222",110,"RASON","WP   ","","","ZAK","P","OP","US","",,,,"","",,"N","N","N","",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A315",10,"ZBV","VOR/DME","BIMINI","BIMINI","","","","BS","SWIMM",135.3,315.41,18.51,"","",,"N","N","N","SWIMM",5000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A315",20,"SWIMM","RP   ","","","ZMA","K7","","BS","TINKY",135.41,315.69,46.87,"","",,"N","N","N","TINKY",8000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A315",30,"TINKY","RP   ","","","ZMA","K","OA","BS","PEKRE",135.69,315.81,21.77,"","",,"N","N","N","PEKRE",12500,"",,"",,"",,"",,"",,"",,,"","",,"",8000,60000,"",,""
"2026/01/22","N","C","A315",40,"PEKRE","RP   ","","","ZMA","MY","","BS","JAYEE",135.82,315.97,27.38,"","",,"N","N","N","JAYEE",14000,"",,"",,"",,"",,"",,"",,,"","",,"",12500,60000,"",,""
"2026/01/22","N","C","A315",50,"JAYEE","RP   ","","","ZMA","MY","","BS","HODGY",135.97,316.11,24.26,"","",,"N","N","N","HODGY",7000,"",,"",,"",,"",,"",,"",,,"","",,"",14000,60000,"",,""
"2026/01/22","N","C","A315",60,"HODGY","RP   ","","","ZMA","MY","","BS","AMBIS",136.1,316.31,38.18,"","",,"N","N","N","AMBIS",7000,"",,"",,"",,"",,"",,"",,,"","",,"",16500,60000,"",,""
"2026/01/22","N","C","A315",70,"AMBIS","RP   ","","","ZMA","MY","","BS","DUNNO",141.24,322.03,71.09,"","",,"N","N","N","DUNNO",7000,"",,"",,"",,"",,"",,"",,,"","",,"",16500,60000,"",,""
"2026/01/22","N","C","A315",80,"DUNNO","WP   ","","","ZMA","K7","","BS","ACMEE",142.02,322.76,66.29,"","",,"N","N","N","ACMEE",7000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A315",90,"ACMEE","RP   ","","","ZMA","K","OA","US","KNSLY",142.72,323.83,105.86,"","",,"N","N","N","KNSLY",7000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A315",100,"KNSLY","WP   ","","","ZMA","K","OA","US","JOSES",162.35,342.68,55.27,"","",,"N","N","N","JOSES",7000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A315",110,"JOSES","WP   ","","","ZMA","K","OA","US","",,,,"","",,"N","N","N","",7000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A331",10,"ZIGIE","RP   ","","","ZHN","P","OP","US","ZOULU",32.02,212.23,70.8,"","",,"N","N","N","ZOULU",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A331",20,"ZOULU","WP   ","","","ZAK","P","OP","US","ZEMOM",32.27,213.59,412.2,"","",,"N","N","N","ZEMOM",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A331",30,"ZEMOM","WP   ","","","ZOA","P","OP","US","ZINNO",33.64,215.31,413.07,"","",,"N","N","N","ZINNO",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A331",40,"ZINNO","WP   ","","","ZAK","P","OP","US","ZAGER",35.3,218.03,445.1,"","",,"N","N","N","ZAGER",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A331",50,"ZAGER","WP   ","","","ZOA","P","OP","US","ZANNG",38.04,222.43,446.39,"","",,"N","N","N","ZANNG",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A331",60,"ZANNG","WP   ","","","ZOA","P","OP","US","SEDAR",42.44,224.63,163.1,"","",,"N","N","N","SEDAR",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A331",70,"SEDAR","WP   ","","","ZOA","P","OP","US","",,,,"","",,"N","N","N","",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A332",10,"AUNTI","WP   ","","","ZOA","P","OP","US","HALLI",34.75,216.26,458.77,"","",,"N","N","N","HALLI",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A332",20,"HALLI","WP   ","","","ZOA","P","OP","US","HELOP",36.2,218.25,452.34,"","",,"N","N","N","HELOP",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A332",30,"HELOP","WP   ","","","ZOA","P","OP","US","HEKAB",38.26,221.37,440.99,"","",,"N","N","N","HEKAB",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A332",40,"HEKAB","WP   ","","","ZOA","P","OP","US","HEMLO",41.32,226.19,441.07,"","",,"N","N","N","HEMLO",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A332",50,"HEMLO","WP   ","","","ZSE","P","OP","US","",,,,"","",,"N","N","N","",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A337",10,"JUNIE","RP   ","","","ZUA","PG","GU","US","AXIDE",352.04,172.3,58.5,"","",,"N","N","N","AXIDE",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A337",20,"AXIDE","WP   ","","","ZOA","P","OP","US","FONUG",352.28,172.75,99.84,"","",,"N","N","N","FONUG",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A337",30,"FONUG","WP   ","","","ZOA","P","OP","US","SNAPP",352.74,173.24,100.57,"","",,"N","N","N","SNAPP",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A337",40,"SNAPP","RP   ","","","ZUA","PG","GU","US","TEEDE",356.74,177.22,93.93,"","",,"N","N","N","TEEDE",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A337",50,"TEEDE","WP   ","","","ZOA","P","OP","US","TEGOD",341.19,162.24,226.58,"","",,"N","N","N","TEGOD",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A337",60,"TEGOD","WP   ","","","ZOA","P","OP","US","",,,,"","",,"N","N","N","",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A339",10,"SHREE","WP   ","","","ZOA","P","OP","US","WRNNR",13.87,195.08,338.33,"","",,"N","N","N","WRNNR",15000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A339",20,"WRNNR","WP   ","","","ZOA","P","OP","US","TILLY",15.04,196.72,370.6,"","",,"N","N","N","TILLY",15000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A339",30,"TILLY","WP   ","","","ZOA","P","OP","US","KEITH",16.72,198,234.33,"","",,"N","N","N","KEITH",15000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A339",40,"KEITH","WP   ","","","ZAK","P","OP","US","",,,,"","",,"N","N","N","",15000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","A","A342",10,"NUZAN","WP   ","","","ZAN","P","OP","US","OPAKE",73.85,256.47,250.8,"","",,"N","N","N","OPAKE",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","A","A342",20,"OPAKE","WP   ","","","ZAN","P","OP","US","PINSO",74.79,256.13,127.48,"","",,"N","N","N","PINSO",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","A","A342",30,"PINSO","WP   ","","","ZAN","P","OP","US","AMOND",75.34,257.13,173.89,"","",,"N","N","N","AMOND",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","A","A342",40,"AMOND","RP   ","","","ZAN","PA","AK","US","DRAPP",76.31,257.65,127.84,"","",,"N","N","N","DRAPP",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","A","A342",50,"DRAPP","RP   ","","","ZAN","PA","AK","US","CRYPT",77.33,260,252.69,"","",,"N","N","N","CRYPT",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","A","A342",60,"CRYPT","RP   ","","","ZAN","PA","AK","US","CDB",79.71,262.86,278.43,"","",,"N","N","N","CDB",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","A","A342",70,"CDB","VORTAC","COLD BAY","COLD BAY","ZAN","","AK","US","",,,,"","",,"N","N","N","",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",10,"CAHYO","WP   ","","","ZOA","P","OP","US","TNUGE",44.79,225.16,295.9,"","",,"N","N","N","TNUGE",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A450",20,"TNUGE","WP   ","","","ZOA","P","OP","US","PIGFA",46.34,227,359.51,"","",,"N","N","N","PIGFA",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A450",30,"PIGFA","WP   ","","","ZOA","P","OP","US","LOEBB",47.93,228.16,100.05,"","",,"N","N","N","LOEBB",8000,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A450",40,"LOEBB","WP   ","","","ZAK","P","OP","US","BUCAT",58.51,238.59,40.43,"","",,"N","N","N","BUCAT",8000,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A450",50,"BUCAT","WP   ","","","ZOA","P","OP","US","UNZ",58.72,238.88,100.14,"","",,"N","N","N","UNZ",8000,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A450",60,"UNZ","VORTAC","NIMITZ","AGANA","ZHN","","GU","US","BAGBE",68,248.13,35,"","",,"N","N","N","BAGBE",5000,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A450",70,"BAGBE","RP   ","","","ZUA","PG","GU","US","HOPPY",68.13,248.38,65,"","",,"N","N","N","HOPPY",5000,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A450",80,"HOPPY","RP   ","","","ZUA","PG","GU","US","FONUG",69.73,249.75,28.41,"","",,"N","N","N","FONUG",5000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",90,"FONUG","WP   ","","","ZOA","P","OP","US","STINE",69.77,249.82,51.6,"","",,"N","N","N","STINE",5000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",100,"STINE","RP   ","","","ZUA","PG","GU","US","DEWSS",71.65,251.73,81.81,"","",,"N","N","N","DEWSS",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",110,"DEWSS","WP   ","","","ZOA","P","OP","US","JIMOS",73.23,253.62,523.28,"","",,"N","N","N","JIMOS",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",120,"JIMOS","WP   ","","","ZOA","P","OP","US","NGUEN",73.6,254.17,522.95,"","",,"N","N","N","NGUEN",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",130,"NGUEN","WP   ","","","ZOA","P","OP","US","NATIE",74.32,255.05,380.24,"","",,"N","N","N","NATIE",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",140,"NATIE","WP   ","","","ZOA","P","OP","US","RESEE",75.38,256.61,379.76,"","",,"N","N","N","RESEE",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",150,"RESEE","WP   ","","","ZOA","P","OP","US","SYSTA",76.95,259.05,451.08,"","",,"N","N","N","SYSTA",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",160,"SYSTA","WP   ","","","ZOA","P","OP","US","BRIUN",79.43,261.98,452.96,"","",,"N","N","N","BRIUN",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",170,"BRIUN","WP   ","","","ZOA","P","OP","US","HOOPA",82.7,263.04,60.68,"","",,"N","N","N","HOOPA",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",180,"HOOPA","WP   ","","","ZOA","P","OP","US","KATHS",82.31,262.78,81.22,"","",,"N","N","N","KATHS",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A450",190,"KATHS","RP   ","","","ZHN","PH","HI","US","",,,,"","",,"N","N","N","",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A509",10,"URSUS","RP   ","","","ZMA","K","OA","US","ELLEE",331.31,151.06,62.67,"","",,"N","N","N","ELLEE",16000,"",,"",,"",,"",,"",,"",,,"","",,"",16000,60000,"",,""
"2026/01/22","N","C","A509",20,"ELLEE","RP   ","","","ZMA","K","OA","US","EONNS",331.06,150.93,29.68,"","",,"N","N","N","EONNS",16000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A509",30,"EONNS","RP   ","","","ZMA","K","OA","US","JURER",330.94,150.83,25.32,"","",,"N","N","N","JURER",3000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A509",40,"JURER","RP   ","","","ZMA","K7","FL","US","DHP",330.83,150.78,10.63,"","",,"N","N","N","DHP",3000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A509",50,"DHP","VORTAC","DOLPHIN","MIAMI","ZMA","","FL","US","MARCI",278.33,97.7,77.87,"","",,"N","N","N","MARCI",8000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A509",60,"MARCI","RP   ","","","ZMA","K7","FL","US","",,,,"","",,"N","N","N","",8000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A517",10,"ZPATA","RP   ","","","ZSU","TJ","PR","US","PJM",348.22,168.13,37.5,"","",,"N","N","N","PJM",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,45000,"",,""
"2026/01/22","N","C","A517",20,"PJM","VOR/DME","SAINT MAARTEN","PHILIPSBURG","","","","AN","",,,,"","",,"N","N","N","",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,45000,"",,""
"2026/01/22","N","C","A554",10,"LAMER","WP   ","","","ZNY","K","OA","US","RODRK",189.94,9.9,49.28,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A554",20,"RODRK","WP   ","","","ZMA","K","OA","US","CERDA",188.18,8.17,85.82,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A554",30,"CERDA","WP   ","","","ZMA","K","OA","US","EYSEL",233.83,53.5,32.42,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A554",40,"EYSEL","WP   ","","","ZMA","K","OA","US","NETTA",235.01,54.55,42.1,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A554",50,"NETTA","RP   ","","","ZMA","K","OA","US","GTK",230.07,49.95,29.42,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A554",60,"GTK","VOR/DME","GRAND TURK","GRAND TURK ISLAND","","","","TC","TAANA",174.14,354.2,31.08,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A554",70,"TAANA","RP   ","","","ZMA","K","OA","US","SEKAR",173.23,353.3,33.04,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A554",80,"SEKAR","RP   ","","","ZMA","MD","","DO","",,,,"","",,"N","N","N","",,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A555",10,"ILURI","RP   ","","","ZSU","K","OA","US","PORQE",321.45,141.16,77.76,"","",,"N","N","N","PORQE",12000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A555",20,"PORQE","RP   ","","","ZSU","TI","VI","US","COY",321.19,140.99,52.23,"","",,"N","N","N","COY",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A555",30,"COY","VOR/DME","ST CROIX","ST CROIX","ZSU","","VI","US","VEDAS",292.43,112.16,51.9,"","",,"N","N","N","VEDAS",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A555",40,"VEDAS","RP   ","","","ZSU","TJ","PR","US","TUUNA",292.16,112.07,17.53,"","",,"N","N","N","TUUNA",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A555",50,"TUUNA","RP   ","","","ZSU","TJ","PR","US","DDP",327.87,147.5,41.86,"","",,"N","N","N","DDP",6000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A555",60,"DDP","NDB","DORADO","SAN JUAN","ZSU","","PR","US","IDAHO",317.82,136.96,84.37,"","",,"N","N","N","IDAHO",2000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A555",70,"IDAHO","RP   ","","","ZSU","TJ","PR","US","HARDE",314.96,134.57,80.22,"","",,"N","N","N","HARDE",2000,"",,"",,"",,"",,"",,"",1300,,"","",,"",15000,60000,"",,""
