"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","REGION_CODE","ADO_CODE","STATE_NAME","COUNTY_NAME","COUNTY_ASSOC_STATE","ARPT_NAME","OWNERSHIP_TYPE_CODE","FACILITY_USE_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_METHOD_CODE","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","TPA","CHART_NAME","DIST_CITY_TO_AIRPORT","DIRECTION_CODE","ACREAGE","RESP_ARTCC_ID","COMPUTER_ID","ARTCC_NAME","FSS_ON_ARPT_FLAG","FSS_ID","FSS_NAME","PHONE_NO","TOLL_FREE_NO","ALT_FSS_ID","ALT_FSS_NAME","ALT_TOLL_FREE_NO","NOTAM_ID","NOTAM_FLAG","ACTIVATION_DATE","ARPT_STATUS","FAR_139_TYPE_CODE","FAR_139_CARRIER_SER_CODE","ARFF_CERT_TYPE_DATE","NASP_CODE","ASP_ANLYS_DTRM_CODE","CUST_FLAG","LNDG_RIGHTS_FLAG","JOINT_USE_FLAG","MIL_LNDG_FLAG","INSPECT_METHOD_CODE","INSPECTOR_CODE","LAST_INSPECTION","LAST_INFO_RESPONSE","FUEL_TYPES","AIRFRAME_REPAIR_SER_CODE","PWR_PLANT_REPAIR_SER","BOTTLED_OXY_TYPE","BULK_OXY_TYPE","LGT_SKED","BCN_LGT_SKED","TWR_TYPE_CODE","SEG_CIRCLE_MKR_FLAG","BCN_LENS_COLOR","LNDG_FEE_FLAG","MEDICAL_USE_FLAG","ARPT_PSN_SOURCE","POSITION_SRC_DATE","ARPT_ELEV_SOURCE","ELEVATION_SRC_DATE","CONTR_FUEL_AVBL","TRNS_STRG_BUOY_FLAG","TRNS_STRG_HGR_FLAG","TRNS_STRG_TIE_FLAG","OTHER_SERVICES","WIND_INDCR_FLAG","ICAO_ID","MIN_OP_NETWORK","USER_FEE_FLAG","CTA"
"2026/02/19","00128.","A","AL","ANB","ANNISTON","US","ASO","JAN","ALABAMA","CALHOUN","AL","ANNISTON RGNL","PU","PU",33,35,17.412,"N",33.58817,85,51,29.214,"W",-85.858115,"E",612.1,"S",4,"W",2020,,"ATLANTA",5,"SW",596,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1941/03","O","","","","NGY","NO OBJECTION","N","N","N","Y","F","S","2024/12/20","","100LL,A","MAJOR","MAJOR","HIGH/LOW","","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","3RD PARTY SURVEY","2024/11/19","3RD PARTY SURVEY","2024/11/19","","","Y","Y","AVNCS","Y-L","KANB","N","",""
"2026/02/19","00128.01","H","AL","AL42","ANNISTON","US","ASO","JAN","ALABAMA","CALHOUN","AL","REGIONAL MEDICAL CENTER ANNISTON","PR","PR",33,39,21.62,"N",33.65600555,85,49,28,"W",-85.82444444,"E",844,"E",1,"W",1985,,"ATLANTA",0,"N",,"ZTL","ZCT","ATLANTA","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1991/04","O","","","","","CONDL","","","","","2","N","","2022/04/14","","","","","","SEE RMK","","NON-ATCT","N","","","Y","FAA-EST IMAGERY","2015/10/29","FAA-EST IMAGERY","2015/10/29","","","","","","Y","","N","",""
"2026/02/19","00128.02","H","AL","04AL","ANNISTON","US","ASO","JAN","ALABAMA","CALHOUN","AL","ANNISTON ARMY DEPOT HELIPAD","MR","PR",33,37,35,"N",33.62638888,85,58,2,"W",-85.96722222,"E",686,"E",2,"W",2000,,"ATLANTA",5,"SW",,"ZTL","ZCT","ATLANTA","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2001/09","O","","","","","NOT ANALYZED","","","","","","N","","","","","","","","","","NON-ATCT","N","","","","MILITARY","2001/06/08","MILITARY","2001/06/08","","","","","","Y","","N","",""
"2026/02/19","00133.5","A","AL","51AL","ARDMORE","US","ASO","JAN","ALABAMA","LIMESTONE","AL","ARDMORE","PR","PR",34,58,44.6693,"N",34.9790748,86,52,59.8254,"W",-86.88328483,"E",922,"E",0,"W",1985,,"ATLANTA",2,"SW",46,"ZME","ZCM","MEMPHIS","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1964/10","O","","","","","NO OBJECTION","","","","","S","S","2016/03/07","2025/06/16","","","","","","","","NON-ATCT","N","","N","","OWNER","2025/02/21","OWNER","2025/02/21","","","","Y","","Y","","N","",""
"2026/02/19","00134.","H","KY","90KY","ASHCAMP","US","ASO","MEM","KENTUCKY","PIKE","KY","MOTHER NATURE SPRING WATER","PR","PR",37,15,31.49,"N",37.25874722,82,27,41.32,"W",-82.46147777,"E",1000,"E",,"",,,"CINCINNATI",22,"NW",1,"ZID","ZCI","INDIANAPOLIS","","LOU","LOUISVILLE","","1-800-WX-BRIEF","","","","","","2011/09","O","","","","","CONDL","","","","","2","N","","2022/03/09","","","","","","","","NON-ATCT","","","","","ADO","2025/09/04","OWNER","2011/05/23","","","","","","Y","","N","",""
"2026/02/19","00135.","A","AL","26A","ASHLAND/LINEVILLE","US","ASO","JAN","ALABAMA","CLAY","AL","ASHLAND/LINEVILLE","PU","PU",33,17,3.11,"N",33.28419722,85,48,32.275,"W",-85.80896527,"E",1065,"S",1,"W",1985,,"ATLANTA",2,"NE",85,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1968/04","O","","","","N","CONDL","N","N","N","N","S","S","2025/12/05","","","","","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","N","WG","N","","FAA-EST","2012/09/14","","","","","","Y","","Y-L","","N","",""
"2026/02/19","00135.01","H","AL","0AL2","ASHLAND","US","ASO","JAN","ALABAMA","CLAY","AL","CLAY COUNTY HOSPITAL","PU","PR",33,16,37.98,"N",33.27721666,85,49,29.35,"W",-85.82481944,"E",1040,"E",1,"W",1990,,"ATLANTA",1,"E",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1993/03","O","","","","","CONDL","","","","","2","N","","2025/05/02","","","","","","","","NON-ATCT","N","","","Y","FAA-EST IMAGERY","2012/11/09","","","","","","","","Y","","N","",""
"2026/02/19","00137.","A","AL","AL60","ASHVILLE","US","ASO","JAN","ALABAMA","ST CLAIR","AL","DUGGER'S FLD","PR","PR",33,50,19.355,"N",33.83870972,86,12,40.915,"W",-86.21136527,"E",560,"E",1,"W",1986,,"ATLANTA",4,"SE",48,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1986/02","O","","","","","CONDL","","","","","2","N","","2023/10/23","","","","","","","","NON-ATCT","N","","N","","","","","","","","","","","Y","","N","",""
"2026/02/19","00139.","H","AL","5AL9","ATHENS","US","ASO","","ALABAMA","AUTAUGA","AL","ATHENS-LIMESTONE HOSPITAL HELIPAD","PR","PR",34,48,10.14,"N",34.80281666,86,58,50.18,"W",-86.98060555,"E",693,"",,"",,,"",,"",,"ZME","ZCM","MEMPHIS","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2014/07","O","","","","","NO OBJECTION","","","","","","N","","2022/03/25","","","","","","","","NON-ATCT","","","","","ADO","2014/07/08","ADO","2014/07/08","","","","","","","","N","",""
"2026/02/19","00139.01","A","AL","56AL","ATHENS","US","ASO","JAN","ALABAMA","LIMESTONE","AL","BEECHWOOD AIRPARK","PR","PR",34,46,22,"N",34.77277777,87,10,28.5,"W",-87.17458333,"E",646.8,"E",,"",,,"ATLANTA",10,"W",,"ZME","ZCM","MEMPHIS","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2023/09","O","","","","","CONDL","","","","","","N","","","","","","","","","","NON-ATCT","","","","","OWNER","2023/09/05","OWNER","2023/09/05","","","","","","N","","N","",""
"2026/02/19","00140.1","A","AL","0R1","ATMORE","US","ASO","JAN","ALABAMA","ESCAMBIA","AL","ATMORE MUNI","PU","PU",31,0,58.1,"N",31.01613888,87,26,48.3,"W",-87.44675,"E",286,"S",3,"W",2020,,"NEW ORLEANS",3,"E",43,"ZJX","ZCJ","JACKSONVILLE","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1961/10","O","","","","N","NOT ANALYZED","N","N","N","N","S","S","2025/05/28","","100LL","MAJOR","MAJOR","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","3RD PARTY SURVEY","2016/09/27","3RD PARTY SURVEY","2016/09/27","","","","Y","AGRI","Y-L","","N","",""
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","ASO","JAN","ALABAMA","LEE","AL","AUBURN UNIVERSITY RGNL","PU","PU",32,36,54.4,"N",32.61511111,85,26,2.4,"W",-85.434,"E",776.8,"S",4,"W",2015,,"ATLANTA",2,"E",423,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","AUO","Y","1941/03","O","","","","NGY3","NOT ANALYZED","N","N","N","Y","S","S","2025/03/21","","100LL,A,A+","NONE","NONE","NONE","NONE","SEE RMK","SS-SR","ATCT","Y","WG","N","","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","N","Y","CHTR,INSTR,RNTL,SALES","Y-L","KAUO","N","",""
"2026/02/19","00155.","A","AL","1R8","BAY MINETTE","US","ASO","JAN","ALABAMA","BALDWIN","AL","BAY MINETTE MUNI","PU","PU",30,52,13.2,"N",30.87033333,87,49,9.6,"W",-87.81933333,"E",248.1,"S",0,"E",2000,,"NEW ORLEANS",3,"SW",184,"ZHU","ZCH","HOUSTON","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1962/10","O","","","","NGY","NO OBJECTION","N","N","N","Y","S","S","2025/09/18","","100LL,A+","MAJOR","MAJOR","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","3RD PARTY SURVEY","2008/11/16","3RD PARTY SURVEY","2008/11/16","","","","Y","","Y-L","","N","",""
"2026/02/19","00155.03","H","AL","6AL9","BAY MINETTE","US","ASO","","ALABAMA","BALDWIN","AL","MEGA SITE HELIPAD","PR","PR",30,56,55,"N",30.94861111,87,44,44,"W",-87.74555555,"E",284,"E",,"",,,"NEW ORLEANS",1,"SE",,"ZHU","ZCH","HOUSTON","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2016/12","O","","","","","CONDL","","","","","","N","","2021/06/08","","","","","","","","NON-ATCT","","","","","OWNER","","","","","","","","","Y","","N","",""
"2026/02/19","00155.05","A","AL","96AL","BAY MINETTE","US","ASO","JAN","ALABAMA","BALDWIN","AL","BENT OAK","PR","PR",30,49,39.6643,"N",30.82768452,87,53,21.0387,"W",-87.88917741,"E",87,"E",,"",,,"NEW ORLEANS",7,"WSW",,"ZHU","ZCH","HOUSTON","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2024/02","O","","","","","OBJECTIONABLE","","","","","","N","","","","","","","","","","NON-ATCT","","","","","OWNER","2024/02/22","OWNER","2024/02/22","","","","","","","","N","",""
"2026/02/19","00155.31","A","AL","5R7","BAYOU LA BATRE","US","ASO","JAN","ALABAMA","MOBILE","AL","ROY E RAY","PR","PU",30,27,18.9,"N",30.45525,88,12,40.3,"W",-88.21119444,"E",87,"E",2,"E",1985,,"NEW ORLEANS",3,"NE",41,"ZHU","ZCH","HOUSTON","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1965/07","O","","","","","CONDL","N","N","N","N","S","S","2025/07/25","","","NONE","NONE","NONE","NONE","","","NON-ATCT","N","","","","FAA-EST","2011/03/22","","","","","","Y","","Y","","N","",""
"2026/02/19","00155.32","H","AL","AL67","THEODORE","US","ASO","JAN","ALABAMA","MOBILE","AL","W&T OFFSHORE OTF","PR","PR",30,25,52,"N",30.43111111,88,10,45,"W",-88.17916666,"E",32.9,"E",0,"E",2000,,"NEW ORLEANS",4,"SW",,"ZHU","ZCH","HOUSTON","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","FDC","N","1993/12","O","","","","","CONDL","","","","","2","N","","2022/01/21","","","","","","","","NON-ATCT","N","","","","","","","","","","","","","Y-L","","N","",""
"2026/02/19","00157.1","A","AL","EKY","BESSEMER","US","ASO","JAN","ALABAMA","JEFFERSON","AL","BESSEMER NTL","PU","PU",33,18,45.4,"N",33.31261111,86,55,34.7,"W",-86.92630555,"E",699.6,"S",3,"W",2010,,"ATLANTA",3,"SE",380,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1973/03","O","","","","NGY","NO OBJECTION","N","N","N","Y","S","S","2025/10/08","","100LL,A,A+","MAJOR","MAJOR","HIGH/LOW","NONE","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","3RD PARTY SURVEY","2008/11/04","3RD PARTY SURVEY","2008/11/04","","","Y","Y","AVNCS,INSTR,RNTL","Y-L","KEKY","N","",""
"2026/02/19","00157.11","H","AL","AL19","BESSEMER","US","ASO","JAN","ALABAMA","JEFFERSON","AL","MEDICAL WEST","PR","PR",33,22,17.61,"N",33.37155833,86,59,27.62,"W",-86.99100555,"E",670,"E",0,"E",1985,,"ATLANTA",0,"N",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1990/11","O","","","","","CONDL","","","","","2","N","","2024/07/15","","","","","","SEE RMK","","NON-ATCT","N","","N","Y","FAA-EST IMAGERY","2015/02/06","","","","","","","","Y-L","","N","",""
"2026/02/19","00157.12","H","AL","AL80","BESSEMER","US","ASO","JAN","ALABAMA","JEFFERSON","AL","UAB MEDICAL WEST","PR","PR",33,19,51.009,"N",33.33083583,86,59,1.8454,"W",-86.98384594,"E",631,"E",,"",,,"ATLANTA",5,"SSW",,"ZTL","ZCT","ATLANTA","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2024/07","O","","","","","CONDL","","","","","","N","","2025/12/30","","","","","","","","NON-ATCT","","","","Y","OWNER","2024/07/09","OWNER","2024/07/09","","","","","","","","N","",""
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","ASO","JAN","ALABAMA","JEFFERSON","AL","BIRMINGHAM-SHUTTLESWORTH INTL","PU","PU",33,33,50,"N",33.56388888,86,45,8.3,"W",-86.75230555,"E",650,"S",3,"W",2010,,"ATLANTA",4,"NE",2170,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","BHM","Y","1940/04","O","I C","S","1973/05","NGPY","NO OBJECTION","N","Y","N","Y","F","F","2025/01/10","","100LL,A","MAJOR","MAJOR","NONE","HIGH/LOW","","SS-SR","ATCT-TRACON","N","WG","N","","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02","","","Y","Y","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV","Y-L","KBHM","Y","",""
"2026/02/19","00164.05","H","AL","AL50","BIRMINGHAM","US","ASO","JAN","ALABAMA","JEFFERSON","AL","BAPTIST MEDICAL CENTER-PRINCETON","PR","PR",33,29,51.381,"N",33.49760583,86,50,46.966,"W",-86.84637944,"E",557,"E",0,"E",1985,,"ATLANTA",0,"SW",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1984/09","O","","","","","CONDL","","","","","2","N","","2017/03/10","","","","","","SS-SR","","NON-ATCT","N","","N","Y","FAA-EST IMAGERY","2015/02/06","","","","","","","","Y-L","","N","",""
"2026/02/19","00164.06","H","AL","AL49","BIRMINGHAM","US","ASO","JAN","ALABAMA","JEFFERSON","AL","CARRAWAY MEDICAL CENTER","PR","PR",33,32,8.82,"N",33.53578333,86,48,41.06,"W",-86.81140555,"E",672,"E",0,"E",1985,,"ATLANTA",0,"N",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1984/09","O","","","","","CONDL","","","","","2","N","","2015/10/20","","","","","","SS-SR","","NON-ATCT","N","","N","Y","FAA-EST IMAGERY","2018/12/10","","","","","","","","Y","","N","",""
"2026/02/19","00164.07","H","AL","AL91","BIRMINGHAM","US","ASO","JAN","ALABAMA","JEFFERSON","AL","THE CHILDRENS HOSPITAL","PR","PR",33,30,15.379,"N",33.50427194,86,48,18.963,"W",-86.8052675,"E",698,"E",0,"E",1985,,"ATLANTA",0,"N",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1991/08","O","","","","","CONDL","","","","","2","N","","2023/08/01","","","","","","SEE RMK","","NON-ATCT","N","","","Y","FAA-EST IMAGERY","2015/02/06","","","","","","","","Y","","N","",""
"2026/02/19","00164.11","H","AL","AL38","BIRMINGHAM","US","ASO","JAN","ALABAMA","JEFFERSON","AL","UNIVERSITY OF ALABAMA HOSPITAL","PR","PR",33,30,21.1,"N",33.50586111,86,48,10,"W",-86.80277777,"E",787,"E",0,"E",1985,,"ATLANTA",0,"N",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1982/03","O","","","","","CONDL","","","","","2","N","","2022/09/23","","","","","","SEE RMK","","NON-ATCT","N","","N","Y","FAA-EST IMAGERY","2015/02/06","OWNER","2004/09/29","","","","","","Y-L","","N","",""
"2026/02/19","00164.12","H","AL","0AL8","BIRMINGHAM","US","ASO","JAN","ALABAMA","JEFFERSON","AL","BROOKWOOD MEDICAL CENTER","PR","PR",33,27,50.66,"N",33.46407222,86,46,22.33,"W",-86.77286944,"E",763,"E",0,"W",1990,,"ATLANTA",0,"N",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1993/03","O","","","","","CONDL","","","","","2","N","","2015/01/29","","","","","","","","NON-ATCT","N","","","Y","FAA-EST IMAGERY","2015/02/06","","","","","","","","Y","","N","",""
"2026/02/19","00164.16","H","AL","AL45","BIRMINGHAM","US","ASO","JAN","ALABAMA","JEFFERSON","AL","GRANDVIEW MEDICAL CENTER","PR","PR",33,25,58.35,"N",33.432875,86,42,57.94,"W",-86.71609444,"E",540,"E",0,"W",1985,,"ATLANTA",8,"SE",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1984/07","O","","","","","NO OBJECTION","","","","","2","N","","2020/03/25","","","","","","SEE RMK","","NON-ATCT","N","","N","Y","","","FAA","","","","","","","Y-L","","N","",""
