"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","ALTITUDE","BRG","AIR_GND_CODE","CHK_DESC","ARPT_ID","STATE_CHK_CODE"
"2026/02/19","INL","VOR/DME","MN","INTERNATIONAL FALLS","US",,112,"G","0.6 NM ON TWY A AT A2.","INL","MN"
"2026/02/19","ISO","VORTAC","NC","KINSTON","US",,230,"G","3.1 NM TWY A BETWEEN A4 & A5.","ISO","NC"
"2026/02/19","IWA","VORTAC","AZ","PHOENIX","US",,124,"G","0.6 NM - TWY P RUNUP AREA 30C","IWA","AZ"
"2026/02/19","IWA","VORTAC","AZ","PHOENIX","US",,299,"G","1.4 NM ON TWY G BTN RWY 12R & 12C.","IWA","AZ"
"2026/02/19","JAC","VOR/DME","WY","JACKSON","US",,174,"G",".5 NM ON TWY A, APPROX 1,000 FT. S OF AER 19.","JAC","WY"
"2026/02/19","JBR","VOR/DME","AR","JONESBORO","US",,229,"G","3.9 NM ON NE RAMP IN FRONT OF AIRLINE TERMINAL.","JBR","AR"
"2026/02/19","JMS","VOR/DME","ND","JAMESTOWN","US",,148,"G","0.6 NM ON TWY A1","JMS","ND"
"2026/02/19","JPU","VOR/DME","WV","PARKERSBURG","US",,211,"G","6.3 NM  INTERSECTION OF TWYS 'A' & 'D'.","PKB","WV"
"2026/02/19","LAL","VORTAC","FL","LAKELAND","US",,38,"G","0.5 NM NE END OF TWY 'C'.","LAL","FL"
"2026/02/19","LAL","VORTAC","FL","LAKELAND","US",,283,"G","1.1 NM ON TWY A-1.","LAL","FL"
"2026/02/19","LAW","VOR/DME","OK","LAWTON","US",,349,"G","4.6 NM ON TWY BTN TERMINAL AND RY 17/35.","LAW","OK"
"2026/02/19","LBF","VOR/DME","NE","NORTH PLATTE","US",,13,"G","5.5 NM ON TRML RAMP BTN FIRE STN & TWY B.","LBF","NE"
"2026/02/19","LFT","VORTAC","LA","LAFAYETTE","US",,25,"G","1.4 NM TWY J RUN UP AREA 22L.","LFT","LA"
"2026/02/19","LFT","VORTAC","LA","LAFAYETTE","US",,39,"G",".8 NM ON TWY B RUN UP AREA RWY 29.","LFT","LA"
"2026/02/19","LFT","VORTAC","LA","LAFAYETTE","US",,341,"G","0.9 NM ON TWY B RUN UP AREA RWY 11.","LFT","LA"
"2026/02/19","LHS","VORTAC","CA","LAKE HUGHES","US",,65,"G","18.1 NM ON THE MAIN RAMP AT EAST TERMINAL GAS PIT.","WJF","CA"
"2026/02/19","LMT","VORTAC","OR","KLAMATH FALLS","US",,298,"G","1.0 NM ON RAMP N OF TWY 'E'.","LMT","OR"
"2026/02/19","LOZ","VOR/DME","KY","LONDON","US",,33,"G","3.8 NM ON PARKING RAMP TWY ENTRY.","LOZ","KY"
"2026/02/19","LRD","VORTAC","TX","LAREDO","US",,318,"G","4.8 NM ON RUNUP AREA OF TWY A.","LRD","TX"
"2026/02/19","LRP","VOR/DME","PA","LANCASTER","US",,306,"G"," NORTH OF TWY M ON NON-MOVEMENT TWY.","LNS","PA"
"2026/02/19","LSF","VOR/DME","GA","FORT BENNING (COLUMBUS)","US",,358,"G","0.6 NM ON PAINTED CIRCLE AT TWY INTXN 580 FT NW OF ATCT.","LSF","GA"
"2026/02/19","LYH","VOR/DME","VA","LYNCHBURG","US",,27,"G","5 NM WEST RUNUP AREA ADJ TO RWY 22.","LYH","VA"
"2026/02/19","MCC","VOR/DME","CA","SACRAMENTO","US",,15,"G","0.4 NM ON TWY B","MCC","CA"
"2026/02/19","MCC","VOR/DME","CA","SACRAMENTO","US",,358,"G","0.9 NM TWY A AT AER 16","MCC","CA"
"2026/02/19","MEI","VORTAC","MS","MERIDIAN","US",,127,"G","4.0 ON RAMP IN FRONT OF TERMINAL.","MEI","MS"
"2026/02/19","MFE","VOR/DME","TX","MC ALLEN","US",,331,"G",".6 NM ON CARGO RAMP.","MFE","TX"
"2026/02/19","MHE","VOR/DME","SD","MITCHELL","US",,197,"G",".5 NM ON MAIN RAMP.","MHE","SD"
"2026/02/19","MHK","VOR/DME","KS","MANHATTAN","US",,205,"G","1.0 NM TWY AT RY 03 HOLD LINE.","MHK","KS"
"2026/02/19","MIE","VOR/DME","IN","MUNCIE","US",,331,"G","0.6 NM TO TWY A4 NEAR AER 14","MIE","IN"
"2026/02/19","MKL","VOR/DME","TN","JACKSON","US",,256,"G","0.6 NM AT SOUTH END OF RAMP AT FIRE STATION.","MKL","TN"
"2026/02/19","MLS","VOR/DME","MT","MILES CITY","US",,42,"G","4.2 NM ON TWY LEADING TO RWY 31.","MLS","MT"
"2026/02/19","MMT","VORTAC","SC","EASTOVER","US",,154,"G","1.1 NM TWY APCH END RWY 32.","MMT","SC"
"2026/02/19","MMT","VORTAC","SC","EASTOVER","US",,293,"G","0.5 NM TWY APCH END RWY 14.","MMT","SC"
"2026/02/19","MOD","VOR/DME","CA","MODESTO","US",,93,"G","0.6 NM ON RAMP AREA NEXT TO INTXN OF TWYS A & A1","MOD","CA"
"2026/02/19","MSN","VORTAC","WI","MADISON","US",,98,"G","0.6 NM NORTH EDGE OF EAST RAMP ADJ TWY J.","MSN","WI"
"2026/02/19","MSO","VOR/DME","MT","MISSOULA","US",,348,"G","0.6 NM TERMINAL RAMP EAST OF TWY D.","MSO","MT"
"2026/02/19","MVC","VORTAC","AL","MONROEVILLE","US",,196,"G","0.6 NM RY 03 RUNUP AREA/TURNAROUND PAD.","MVC","AL"
"2026/02/19","MVY","VOR/DME","MA","VINEYARD HAVEN","US",,216,"G","0.7 NM ON RUNUP BLOCK FOR RY 6.","","MA"
"2026/02/19","MWH","VOR/DME","WA","MOSES LAKE","US",,167,"G","1.2 NM S TWY A, E OF COMPASS ROSE","MWH","WA"
"2026/02/19","MWH","VOR/DME","WA","MOSES LAKE","US",,194,"G","1.2 NM ON RUNUP AREA RY 04.","MWH","WA"
"2026/02/19","MWH","VOR/DME","WA","MOSES LAKE","US",,313,"G","1.0 NM ON RUNUP AREA RY 14L.","MWH","WA"
"2026/02/19","MZZ","VOR/DME","IN","MARION","US",,206,"G","0.6 NM TO TWY A6 RUN UP PAD BTN RWY 04 & 22 AND TXY A. ","MZZ","IN"
"2026/02/19","OCF","VORTAC","FL","OCALA","US",,167,"G","1 NM INT TWY A AND TWY A 11.","OCF","FL"
"2026/02/19","OCS","VOR/DME","WY","ROCK SPRINGS","US",,270,"G","2.3 NM INTXN TWYS B AND E.","RKS","WY"
"2026/02/19","ODG","VOR/DME","OK","ENID","US",,352,"G",".5 NM ON RAMP WEST OF TERMINAL.","WDG","OK"
"2026/02/19","OFK","VOR/DME","NE","NORFOLK","US",,144,"G",".5 NM RUNUP PAD FOR RY 32.","OFK","NE"
"2026/02/19","OLM","VORTAC","WA","OLYMPIA","US",,350,"G","0.3 E. RUNUP AREA RY 17.","OLM","WA"
"2026/02/19","OLU","VOR/DME","NE","COLUMBUS","US",,167,"G","0.5 NM ON TWY AER 32.","OLU","NE"
"2026/02/19","OOM","VORTAC","IN","BLOOMINGTON","US",,349,"G",".9 NM ON RUNUP PAD RY 17.","BMG","IN"
"2026/02/19","ORF","VORTAC","VA","NORFOLK","US",,31,"G","0.6 NM AT CENTER OF TWY E 250 FT NW OF CNTRLN OF RY 23.","ORF","VA"
"2026/02/19","ORL","VORTAC","FL","ORLANDO","US",,311,"G",".5 ON SW SIDE APCH END RY 13","ORL","FL"
"2026/02/19","ORL","VORTAC","FL","ORLANDO","US",,324,"G",".5 ON NW SIDE APCH END RY 13","ORL","FL"
"2026/02/19","OSH","VORTAC","WI","OSHKOSH","US",,173,"G","0.7 NM TWY A AT A2 (ABEAM TOWER).","OSH","WI"
"2026/02/19","OSH","VORTAC","WI","OSHKOSH","US",,279,"G","0.7 NM TWY AT RWY 9 APCH END.","OSH","WI"
"2026/02/19","OSI","VOR/DME","CA","WOODSIDE","US",,9,"G","17.7 NM ON RUNUP AREA RWY 28L.","HWD","CA"
"2026/02/19","OTK","VOR/DME","GA","VALDOSTA","US",,131,"G","INTERSECTION OF TWY A & C.","VLD","GA"
"2026/02/19","OWB","VOR/DME","KY","OWENSBORO","US",,182,"G",".7 NM INTERSECTION OF TWY C AND C2","OWB","KY"
"2026/02/19","OZR","VOR/DME","AL","FORT RUCKER","US",,71,"G","1.0 NM ON FOXTROT PAD TWY F.","OZR","AL"
"2026/02/19","PAE","VOR/DME","WA","EVERETT","US",,172,"G","1.16 NM INT TWY A8.","PAE","WA"
"2026/02/19","PBF","VOR/DME","AR","PINE BLUFF","US",,184,"G","3.9 NM N END OF N/S TWY APCH END RWY 18.","PBF","AR"
"2026/02/19","PDT","VORTAC","OR","PENDLETON","US",,79,"G","3.8 NM ON WEST DIAGONAL TWY BRAVO.","PDT","OR"
"2026/02/19","PER","VORTAC","OK","PONCA CITY","US",,89,"G","2.9 NM AT APCH END RY 17 ON TWY A.","PNC","OK"
"2026/02/19","PER","VORTAC","OK","PONCA CITY","US",,107,"G","3.2 NM SOUTH OF RAMP ON TWY A.","PNC","OK"
"2026/02/19","PGA","VOR/DME","AZ","PAGE","US",,168,"G","0.8 NM - TWY A RUNUP NR RWY 33","PGA","AZ"
"2026/02/19","PIE","VORTAC","FL","ST PETERSBURG-CLEARWATER","US",,52,"G",".5 NM ON CIRCLE NE END OF TWY G","PIE","FL"
"2026/02/19","PIR","VORTAC","SD","PIERRE","US",,251,"G","5.6 NM ON RAMP IN FRONT OF FIRE HOUSE.","PIR","SD"
"2026/02/19","PLN","VORTAC","MI","PELLSTON","US",,241,"G","6.4 NM INT TWY A & B.","PLN","MI"
"2026/02/19","PRB","VORTAC","CA","PASO ROBLES","US",,247,"G",".4  -  TRANSIENT PARKING RAMP FRONT OF TERMINAL.","PRB","CA"
"2026/02/19","PSC","VOR/DME","WA","PASCO","US",,120,"G",".5 NM ON THE COMPASS ROSE BETWEEN TXY E2 AND E3.","PSC","WA"
"2026/02/19","PUB","VORTAC","CO","PUEBLO","US",,254,"G","3.8, CIR ON PAD SO SIDE AER 08R","PUB","CO"
"2026/02/19","PVU","VOR/DME","UT","PROVO","US",,180,"G","0.4 NM TWY D RUNUP AREA.","PVU","UT"
"2026/02/19","PVU","VOR/DME","UT","PROVO","US",,331,"G","0.7 NM TWY B RUNUP AREA.","PVU","UT"
"2026/02/19","PWA","VOR/DME","OK","OKLAHOMA CITY","US",,7,"G","0.7 NM ON RUNUP AREA TO RY 17L.","PWA","OK"
"2026/02/19","PWA","VOR/DME","OK","OKLAHOMA CITY","US",,150,"G","0.5 NM ON RUNUP PAD TO RY 35R.","PWA","OK"
"2026/02/19","RAP","VORTAC","SD","RAPID CITY","US",,320,"G","4.5 NM  TWY A BTN G2 AND A3.","RAP","SD"
"2026/02/19","RDD","VOR/DME","CA","REDDING","US",,308,"G","0.5 NM ON NORTH END OF TRANSIENT RAMP","RDD","CA"
"2026/02/19","RDU","VORTAC","NC","RALEIGH/DURHAM","US",,249,"G",".8 NM AT END OF TWY TO RWY 05R.","RDU","NC"
"2026/02/19","RHI","VOR/DME","WI","RHINELANDER","US",,212,"G","0.5 NM AT INTXN OF TWYS B & E.","RHI","WI"
"2026/02/19","RIC","VORTAC","VA","RICHMOND","US",,344,"G","0.9 NM ON TWY R BTWN TWY V AND TWY A.","RIC","VA"
"2026/02/19","RMG","VORTAC","GA","ROME","US",,348,"G","11.5 NM AT INTERSECTION OF TWY 200 FT S OF TERMINAL BUILDING","RMG","GA"
"2026/02/19","RND","VORTAC","TX","UNIVERSAL CITY","US",,337,"G","1 NM ON AER 15R.","RND","TX"
"2026/02/19","ROC","VOR/DME","NY","ROCHESTER","US",,98,"G","ON TWY T BTN RAMP AND TWY F.","ROC","NY"
"2026/02/19","RZS","VORTAC","CA","SANTA BARBARA","US",,197,"G","5.8 NM AT INTERSECTION OF TWY G & B.","SBA","CA"
"2026/02/19","SJC","VOR/DME","CA","SAN JOSE","US",,125,"G","1.4 NM ON RUNUP AREA TWY W AND D","SJC","CA"
"2026/02/19","SJT","VORTAC","TX","SAN ANGELO","US",,237,"G","2.6 NM ON E EDGE OF RAMP IN FRONT OF ATCT.","SJT","TX"
"2026/02/19","SLI","VORTAC","CA","LOS ALAMITOS","US",,14,"G","0.8 NM ON RUNUP AREA RWY 22R.","SLI","CA"
"2026/02/19","SLI","VORTAC","CA","LOS ALAMITOS","US",,28,"G","1.1 NM ON RUNUP AREA RWY 22L.","SLI","CA"
"2026/02/19","SLI","VORTAC","CA","LOS ALAMITOS","US",,284,"G","0.5 NM AT TWY C AT RWY 4R.","SLI","CA"
"2026/02/19","SLN","VORTAC","KS","SALINA","US",,180,"G","7.8 NM ON TWY NORTH OF TWY 'E'","SLN","KS"
"2026/02/19","SNS","VORTAC","CA","SALINAS","US",,247,"G","0.4 INTERSECTION OF TWYS C AND D.","SNS","CA"
"2026/02/19","SPI","VORTAC","IL","SPRINGFIELD","US",,8,"G","0.6 NM F RAMP BTN TWY F AND TWY E.","SPI","IL"
"2026/02/19","SPS","VORTAC","TX","WICHITA FALLS","US",,64,"G","5.2 NM ON TWY K AER 15L.","SPS","TX"
"2026/02/19","SPS","VORTAC","TX","WICHITA FALLS","US",,68,"G","4.7 NM ON TWY H RUNUP AREA RY 15R.","SPS","TX"
"2026/02/19","SPS","VORTAC","TX","WICHITA FALLS","US",,75,"G","5.3 NM ON TWY G AER 33R.","SPS","TX"
"2026/02/19","SPS","VORTAC","TX","WICHITA FALLS","US",,93,"G","5.5 NM ON TWY C RUNUP AREA RY 33L.","SPS","TX"
"2026/02/19","SPW","VOR/DME","IA","SPENCER","US",,316,"G",".7 NM ON PAINTED CIRCLE ON TWY APCH END RY 12.","SPW","IA"
"2026/02/19","SRQ","VOR/DME","FL","SARASOTA/BRADENTON","US",,152,"G","0.5 NM ON RUNUP AREA AT INTERSECTION OF TWYS C AND F.","SRQ","FL"
"2026/02/19","STC","VOR/DME","MN","ST CLOUD","US",,291,"G",".5 NM RUNUP AREA AER 13.","STC","MN"
"2026/02/19","STT","VOR/DME","VI","CHARLOTTE AMALIE","US",,118,"G","3.5 NM ON TWY N OF MAIN RAMP.","STT","VI"
"2026/02/19","SVC","VOR/DME","NM","SILVER CITY","US",,100,"G","0.9 NM - TWY ENTRANCE TO RWY 26 WEST OF AER","SVC","NM"
"2026/02/19","SWO","VOR/DME","OK","STILLWATER","US",,176,"G","4 NM ON TWY A BTN A3 AND A4.","SWO","OK"
"2026/02/19","SYA","VORTAC","AK","SHEMYA","US",,96,"G","1.8 NM - TWY IN FRONT OF TWR","SYA","AK"
"2026/02/19","TCC","VORTAC","NM","TUCUMCARI","US",,258,"G","0.5 NM - 100 FT IN FRONT OF TERM ON TWY","TCC","NM"
"2026/02/19","TCS","VORTAC","NM","TRUTH OR CONSEQUENCES","US",,154,"G","3.1 NM - ON TWY A 2000 FT FM APCH END RWY 31","TCS","NM"
"2026/02/19","TOP","VORTAC","KS","TOPEKA","US",,215,"G","5.6 NM EAST SIDE OF TERMINAL RAMP.","TOP","KS"
"2026/02/19","TQQ","VORTAC","NV","TONOPAH","US",,113,"G",".5 NM TAXIWAY A.","TNX","NV"
"2026/02/19","TQQ","VORTAC","NV","TONOPAH","US",,332,"G","1.5 NM TAXIWAY E.","TNX","NV"
"2026/02/19","TRM","VORTAC","CA","PALM SPRINGS","US",,329,"G",".3 NM ON CNTRLN OF TWY 375 FT IN FRONT OF HANGAR.","TRM","CA"
"2026/02/19","TUS","VORTAC","AZ","TUCSON","US",,318,"G","0.7 NM - ON RUNUP PAD NE OF TWY A17","TUS","AZ"
"2026/02/19","TUT","VORTAC","AS","PAGO PAGO","US",,242,"G","0.8 NM ON TWY RY 05","PPG","AS"
"2026/02/19","TWF","VORTAC","ID","TWIN FALLS","US",,65,"G",".8 NM RUNUP AREA AT APCH END RWY 26.","TWF","ID"
"2026/02/19","TYR","VOR/DME","TX","TYLER","US",,82,"G",".5 NM AT INTERSECTION TWYS D & H.","TYR","TX"
"2026/02/19","UNZ","VORTAC","GU","AGANA","US",,63,"G","3.3 NM - TWY A BTN RY 06L & RY 06R","GUM","GU"
"2026/02/19","UTI","VOR/DME","UT","ST GEORGE","US",,5,"G","1.9 NM - RUN UP AREA TWY B1.","SGU","UT"
"2026/02/19","UTI","VOR/DME","UT","ST GEORGE","US",,11,"G","1.9 NM - RUN UP AREA TWY A1.","SGU","UT"
"2026/02/19","VCT","VOR/DME","TX","VICTORIA","US",,128,"G","3.2 NM AT APPROACH END OF RWY 13.","VCT","TX"
"2026/02/19","VNY","VOR/DME","CA","VAN NUYS","US",,161,"G","1.6 NM ON WEST RUNUP AREA RWY 34L.","VNY","CA"
"2026/02/19","VNY","VOR/DME","CA","VAN NUYS","US",,169,"G","0.5 NM AT INTERSECTION OF TWYS D AND A.","VNY","CA"
"2026/02/19","VTU","VOR/DME","CA","OXNARD","US",,289,"G","9 NM ON PARALLEL TWY WEST OF RY 25 RUNUP AREA.","OXR","CA"
"2026/02/19","VTU","VOR/DME","CA","OXNARD","US",,320,"G","6.5 RUNUP RY 8","CMA","CA"
"2026/02/19","VTU","VOR/DME","CA","OXNARD","US",,330,"G","6.1 RUNUP RY 26","CMA","CA"
"2026/02/19","VUH","VOR/DME","TX","GALVESTON","US",,88,"G","0.5 NM ON MAIN TERMINAL RAMP.","GLS","TX"
