"EFF_DATE","FSS_ID","NAME","UPDATE_DATE","FSS_FAC_TYPE","VOICE_CALL","CITY","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","OPR_HOURS","FAC_STATUS","ALTERNATE_FSS","WEA_RADAR_FLAG","PHONE_NO","TOLL_FREE_NO"
"2026/02/19","DAY","DAYTON","2023/04/17","RADIO","DAYTON","DAYTON","OH","US",39,54,8.553,"N",39.90237583,84,13,9.7504,"W",-84.21937511,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","DCA","LEESBURG","2023/04/17","HUB","LEESBURG","WASHINGTON","DC","US",39,0,13.75,"N",39.00381944,77,29,13.84,"W",-77.48717777,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","DEN","DENVER","2024/11/27","RADIO","DENVER","DENVER","CO","US",39,51,42,"N",39.86166666,104,40,23.4,"W",-104.67316666,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","DLG","DILLINGHAM","2025/07/09","FSS","DILLINGHAM","DILLINGHAM","AK","US",59,2,40.8,"N",59.04466666,158,30,19.8,"W",-158.5055,"0745-2145; OT CTC KENAI FSS.","A","ENA","N","907-842-5275","LC842-5275"
"2026/02/19","DRI","DE RIDDER","2024/07/09","RADIO","DE RIDDER","DE RIDDER","LA","US",30,49,54.2,"N",30.83172222,93,20,23.7,"W",-93.33991666,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","EKN","ELKINS","2024/05/08","RADIO","ELKINS","ELKINS","WV","US",38,53,22,"N",38.88944444,79,51,25.7,"W",-79.85713888,"24","A","","N","703-724-4288","1-800-WX-BRIEF"
"2026/02/19","ENA","KENAI","2025/09/11","FSS","KENAI","KENAI","AK","US",60,34,23.8,"N",60.57327777,151,14,41.4,"W",-151.24483333,"24","A","","N","907-283-7211","1-866-864-1737"
"2026/02/19","FAI","FAIRBANKS","2023/05/16","FSS","FAIRBANKS","FAIRBANKS","AK","US",64,48,55.28,"N",64.81535555,147,51,24,"W",-147.85666666,"24","A","","N","907-474-0788","1-866-248-6516"
"2026/02/19","FOD","FORT DODGE","2024/09/18","RADIO","FORT DODGE","FORT DODGE","IA","US",42,33,4.318,"N",42.55119944,94,11,30.625,"W",-94.19184027,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","FTW","FORT WORTH","2024/09/17","HUB","FORT WORTH","FORT WORTH","TX","US",33,5,34.6,"N",33.09294444,96,23,24.1,"W",-96.39002777,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","GFK","GRAND FORKS","2024/02/01","RADIO","GRAND FORKS","GRAND FORKS","ND","US",47,56,57.3,"N",47.94925,97,10,34,"W",-97.17611111,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","GNV","GAINESVILLE","2025/10/15","RADIO","GAINESVILLE","GAINESVILLE","FL","US",29,41,24.2,"N",29.69005555,82,16,18.4,"W",-82.27177777,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","GRB","GREEN BAY","2024/07/09","RADIO","GREEN BAY","GREEN BAY","WI","US",44,29,4.673,"N",44.48463138,88,7,46.96,"W",-88.12971111,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","GTF","GREAT FALLS","2023/04/17","RADIO","GREAT FALLS","GREAT FALLS","MT","US",47,28,57.6,"N",47.48266666,111,22,14.467,"W",-111.37068527,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","GWO","GREENWOOD","2023/08/31","RADIO","GREENWOOD","GREENWOOD","MS","US",33,29,39.576,"N",33.49432666,90,5,4.938,"W",-90.084705,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","HHR","HAWTHORNE","2023/04/17","RADIO","HAWTHORNE","HAWTHORNE","CA","US",33,55,22.223,"N",33.92283972,118,20,6.674,"W",-118.33518722,"24","A","","","","1-800-WX-BRIEF"
"2026/02/19","HNL","HONOLULU","2024/07/29","RADIO","HONOLULU","HONOLULU","HI","US",21,19,7.2526,"N",21.31868127,157,55,20.7432,"W",-157.92242866,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","HOM","HOMER","2025/07/09","FSS","HOMER","HOMER","AK","US",59,38,43.975,"N",59.64554861,151,28,35.741,"W",-151.47659472,"0600-2130; OT CTC KENAI FSS.","A","ENA","N","907-235-8588","LC235-8588"
"2026/02/19","HON","HURON","2023/07/18","RADIO","HURON","HURON","SD","US",44,23,6.722,"N",44.38520055,98,13,42.753,"W",-98.2285425,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","HUF","TERRE HAUTE","2023/04/18","RADIO","TERRE HAUTE","TERRE HAUTE","IN","US",39,27,5.269,"N",39.45146361,87,18,27.22,"W",-87.30756111,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","ICT","WICHITA","2023/04/18","RADIO","WICHITA","WICHITA","KS","US",37,38,59.8,"N",37.64994444,97,25,59,"W",-97.43305555,"24","A","","Y","","1-800-WX-BRIEF"
"2026/02/19","IKK","KANKAKEE","2024/09/09","RADIO","KANKAKEE","KANKAKEE","IL","US",41,4,17,"N",41.07138888,87,50,46.6,"W",-87.84627777,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","ILI","ILIAMNA","2025/09/11","FSS","ILIAMNA","ILIAMNA","AK","US",59,45,20.0812,"N",59.75557811,154,55,3.9081,"W",-154.91775225,"0545-2145; 15 MAY-15 OCT; OTR TIMES CTC KENAI FSS.","A","ENA","N","907-571-1240","LC571-1240"
"2026/02/19","IPT","WILLIAMSPORT","2023/04/18","RADIO","WILLIAMSPORT","WILLIAMSPORT","PA","US",41,14,30.609,"N",41.24183583,76,55,15.944,"W",-76.92109555,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","ISP","NEW YORK","2023/04/18","RADIO","NEW YORK","NEW YORK","NY","US",40,47,42.9,"N",40.79525,73,6,0.8,"W",-73.10022222,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","JBR","JONESBORO","2024/07/08","RADIO","JONESBORO","JONESBORO","AR","US",35,49,54.151,"N",35.83170861,90,38,47.106,"W",-90.64641833,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","JNU","JUNEAU","2025/12/29","FSS","JUNEAU","JUNEAU","AK","US",58,21,16.9625,"N",58.3547118,134,34,42.4939,"W",-134.57847052,"24","A","","N","907-586-7380","1-866-297-2236"
"2026/02/19","KTN","KETCHIKAN","2025/07/09","FSS","KETCHIKAN","KETCHIKAN","AK","US",55,21,14.7,"N",55.35408333,131,42,40.4,"W",-131.71122222,"0615-2115; OT CTC JUNEAU FSS","A","JNU","N","907-225-9481","LC225-9481"
"2026/02/19","LAN","LANSING","2023/04/18","RADIO","LANSING","LANSING","MI","US",42,46,43.1,"N",42.77863888,84,35,10.3,"W",-84.58619444,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","LOU","LOUISVILLE","2024/01/29","RADIO","LOUISVILLE","LOUISVILLE","KY","US",37,54,25.435,"N",37.90706527,85,58,19.33,"W",-85.97203611,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","MCG","MCGRATH","2025/04/30","FSS","MCGRATH","MC GRATH","AK","US",62,57,10.026,"N",62.952785,155,36,25.383,"W",-155.60705083,"0800-1800; 1 MAY-30 SEPT; OT CTC KENAI FSS.","A","ENA","N","907-524-3611","LD524-3611"
"2026/02/19","MCN","MACON","2025/10/08","RADIO","MACON","MACON","GA","US",32,41,34.2,"N",32.69283333,83,38,57.2,"W",-83.64922222,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","MIA","MIAMI","2025/04/15","RADIO","MIAMI","MIAMI","FL","US",25,38,51.2294,"N",25.64756372,80,25,59.6086,"W",-80.43322461,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","MIV","MILLVILLE","2023/04/18","RADIO","MILLVILLE","MILLVILLE","NJ","US",39,22,4.1,"N",39.36780555,75,4,20,"W",-75.07222222,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","MKL","JACKSON","2023/04/18","RADIO","JACKSON","JACKSON","TN","US",35,35,59.6,"N",35.59988888,88,54,56.2,"W",-88.91561111,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","MLC","MC ALESTER","2023/04/18","RADIO","MC ALESTER","MC ALESTER","OK","US",34,52,56.647,"N",34.88240194,95,47,0.466,"W",-95.78346277,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","MMV","MC MINNVILLE","2024/07/05","RADIO","MC MINNVILLE","MC MINNVILLE","OR","US",45,11,40,"N",45.19444444,123,8,9.4,"W",-123.13594444,"24","A","","","","1-800-WX-BRIEF"
"2026/02/19","OAK","OAKLAND","2024/11/27","RADIO","OAKLAND","OAKLAND","CA","US",37,43,16.541,"N",37.72126138,122,13,16.142,"W",-122.22115055,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","OLU","COLUMBUS","2024/07/25","RADIO","COLUMBUS","COLUMBUS","NE","US",41,26,52.8,"N",41.448,97,20,33.5,"W",-97.34263888,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","OME","NOME","2025/07/09","FSS","NOME","NOME","AK","US",64,30,45.198,"N",64.512555,165,26,39.818,"W",-165.44439388,"0715-2245; OT CTC FAIRBANKS FSS.","A","FAI","N","LC 443-2291","1-800-478-8400"
"2026/02/19","ORT","NORTHWAY","2025/04/01","FSS","NORTHWAY","NORTHWAY","AK","US",62,57,40.2,"N",62.96116666,141,55,41.1,"W",-141.92808333,"0815-1745; 1 MAY-30 SEP; OT CTC FAIRBANKS FSS","A","FAI","N","907-778-2219","1-800-478-6611"
"2026/02/19","OTZ","KOTZEBUE","2025/07/09","FSS","KOTZEBUE","KOTZEBUE","AK","US",66,53,5.3,"N",66.88480555,162,35,53.3,"W",-162.59813888,"0700-0000; OT CTC FAIRBANKS FSS.","A","FAI","N","907-442-3310","1-800-478-7460"
"2026/02/19","PAQ","PALMER","2025/07/09","FSS","PALMER","PALMER","AK","US",61,35,41.7,"N",61.59491666,149,5,19.4,"W",-149.08872222,"0800-1800; OT CTC KENAI FSS.","A","ENA","N","907-745-2495","LC745-2495"
"2026/02/19","PIE","SAINT PETERSBURG","2024/07/09","RADIO","SAINT PETERSBURG","ST PETERSBURG-CLEARWATER","FL","US",27,54,36,"N",27.91,82,41,14.7,"W",-82.68741666,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","PNM","PRINCETON","2025/02/14","RADIO","PRINCETON","PRINCETON","MN","US",45,33,35.5,"N",45.55986111,93,36,29.6,"W",-93.60822222,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","PRC","PRESCOTT","2023/04/18","RADIO","PRESCOTT","PRESCOTT","AZ","US",34,35,4.28,"N",34.58452222,112,17,54.25,"W",-112.29840277,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","RAL","RIVERSIDE","2024/08/15","RADIO","RIVERSIDE","RIVERSIDE","CA","US",33,57,6.751,"N",33.95187527,117,26,42.366,"W",-117.44510166,"24","A","","","","1-800-WX-BRIEF"
"2026/02/19","RDU","RALEIGH","2023/04/18","RADIO","RALEIGH","RALEIGH/DURHAM","NC","US",35,52,39.5,"N",35.87763888,78,47,14.9,"W",-78.78747222,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","RIU","RANCHO MURIETA","2024/07/08","RADIO","RANCHO MURIETA","RANCHO MURIETA","CA","US",38,29,12.4,"N",38.48677777,121,6,10,"W",-121.10277777,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","RNO","RENO","2023/06/21","RADIO","RENO","RENO","NV","US",39,29,56.8,"N",39.49911111,119,46,5.2,"W",-119.76811111,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","SAN","SAN DIEGO","2024/11/27","RADIO","SAN DIEGO","SAN DIEGO","CA","US",32,44,0.826,"N",32.73356277,117,11,22.788,"W",-117.18966333,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","SCC","DEADHORSE","2025/08/20","FSS","DEADHORSE","DEADHORSE","AK","US",70,11,41.1148,"N",70.19475411,148,27,54.5935,"W",-148.46516486,"0600-2130","A","FAI","N","907-659-2401","LC659-2401"
"2026/02/19","SEA","SEATTLE","2024/07/05","RADIO","SEATTLE","SEATTLE","WA","US",47,31,48,"N",47.53,122,18,7.1,"W",-122.30197222,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","SIT","SITKA","2025/07/09","FSS","SITKA","SITKA","AK","US",57,2,48.6037,"N",57.04683436,135,21,39.8473,"W",-135.36106869,"0600-2145 OT CTC JUNEAU FSS","A","JNU","N","907-966-2221","1-800-478-6300"
"2026/02/19","SJT","SAN ANGELO","2025/08/28","RADIO","SAN ANGELO","SAN ANGELO","TX","US",31,21,27.9,"N",31.35775,100,29,46.7,"W",-100.49630555,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","SJU","SAN JUAN","2023/04/18","RADIO","SAN JUAN","SAN JUAN","PR","US",18,26,21.9,"N",18.43941666,66,0,6.6,"W",-66.00183333,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","STL","SAINT LOUIS","2024/09/18","RADIO","SAINT LOUIS","ST LOUIS","MO","US",38,39,43.627,"N",38.66211861,90,39,7.357,"W",-90.65204361,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","TKA","TALKEETNA","2025/07/09","FSS","TALKEETNA","TALKEETNA","AK","US",62,19,16.939,"N",62.32137194,150,5,33.786,"W",-150.09271833,"15 SEP-14 APR 0800-1745;15 APR-14 SEP 0800-2000; OT CTC KENAI FSS","A","ENA","N","907-733-2277","1-800-478-7150"
