"EFF_DATE","ORIGIN_ID","DSTN_ID","PFR_TYPE_CODE","ROUTE_NO","SEGMENT_SEQ","SEG_VALUE","SEG_TYPE","STATE_CODE","COUNTRY_CODE","ICAO_REGION_CODE","NAV_TYPE","NEXT_SEG"
"2026/01/22","ABQ","IAH","H",1,5,"DIESL","FIX","TX","US","K4","","TTORO3"
"2026/01/22","ABQ","IAH","H",1,10,"TTORO3","STAR","","","","",""
"2026/01/22","ABQ","IAH","H",2,5,"DIESL","FIX","TX","US","K4","","MSCOT4"
"2026/01/22","ABQ","IAH","H",2,10,"MSCOT4","STAR","","","","",""
"2026/01/22","ABQ","ORD","H",2,5,"FYSTA3","DP","","","","","FTI"
"2026/01/22","ABQ","ORD","H",2,10,"FTI","NAVAID","NM","US","","VORTAC","J18"
"2026/01/22","ABQ","ORD","H",2,15,"J18","AIRWAY","","","","","GCK"
"2026/01/22","ABQ","ORD","H",2,20,"GCK","NAVAID","KS","US","","VORTAC","J96"
"2026/01/22","ABQ","ORD","H",2,25,"J96","AIRWAY","","","","","IRK"
"2026/01/22","ABQ","ORD","H",2,30,"IRK","NAVAID","MO","US","","VORTAC","BENKY6"
"2026/01/22","ABQ","ORD","H",2,35,"BENKY6","STAR","","","","",""
"2026/01/22","ACK","ACY","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","ACY","TEC",1,10,"V146","AIRWAY","","","","","MVY"
"2026/01/22","ACK","ACY","TEC",1,15,"MVY","NAVAID","MA","US","","VOR/DME","V374"
"2026/01/22","ACK","ACY","TEC",1,20,"V374","AIRWAY","","","","","GON"
"2026/01/22","ACK","ACY","TEC",1,25,"GON","NAVAID","CT","US","","VOR/DME","CCC"
"2026/01/22","ACK","ACY","TEC",1,30,"CCC","NAVAID","NY","US","","VOR/DME","T224"
"2026/01/22","ACK","ACY","TEC",1,35,"T224","AIRWAY","","","","","DIXIE"
"2026/01/22","ACK","ACY","TEC",1,40,"DIXIE","FIX","NJ","US","K6","","T315"
"2026/01/22","ACK","ACY","TEC",1,45,"T315","AIRWAY","","","","","ACY"
"2026/01/22","ACK","ACY","TEC",1,50,"ACY","NAVAID","NJ","US","","VORTAC",""
"2026/01/22","ACK","ACY","TEC",2,5,"ACK","NAVAID","MA","US","","VOR/DME","T216"
"2026/01/22","ACK","ACY","TEC",2,10,"T216","AIRWAY","","","","","SEY"
"2026/01/22","ACK","ACY","TEC",2,15,"SEY","NAVAID","RI","US","","VOR/DME","ORCHA"
"2026/01/22","ACK","ACY","TEC",2,20,"ORCHA","FIX","NY","US","K6","","T320"
"2026/01/22","ACK","ACY","TEC",2,25,"T320","AIRWAY","","","","","BRIGS"
"2026/01/22","ACK","ACY","TEC",2,30,"BRIGS","FIX","NJ","US","K6","",""
"2026/01/22","ACK","ALB","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","ALB","TEC",1,10,"V146","AIRWAY","","","","","ALB"
"2026/01/22","ACK","ALB","TEC",1,15,"ALB","NAVAID","NY","US","","VORTAC",""
"2026/01/22","ACK","AUG","TEC",1,5,"FREDO","FIX","MA","US","K6","","BOS"
"2026/01/22","ACK","AUG","TEC",1,10,"BOS","NAVAID","MA","US","","VOR/DME","PEASE"
"2026/01/22","ACK","AUG","TEC",1,15,"PEASE","FIX","NH","US","K6","","ENE"
"2026/01/22","ACK","AUG","TEC",1,20,"ENE","NAVAID","ME","US","","VOR/DME",""
"2026/01/22","ACK","AUS","H",1,5,"LFV","NAVAID","MA","US","","VOR/DME","CELTS"
"2026/01/22","ACK","AUS","H",1,10,"CELTS","FIX","MA","US","K6","","BAF"
"2026/01/22","ACK","AUS","H",1,15,"BAF","NAVAID","MA","US","","VORTAC","Q406"
"2026/01/22","ACK","AUS","H",1,20,"Q406","AIRWAY","","","","","BWZ"
"2026/01/22","ACK","AUS","H",1,25,"BWZ","NAVAID","NJ","US","","VOR/DME","J6"
"2026/01/22","ACK","AUS","H",1,30,"J6","AIRWAY","","","","","HVQ"
"2026/01/22","ACK","AUS","H",1,35,"HVQ","NAVAID","WV","US","","VOR/DME","Q68"
"2026/01/22","ACK","AUS","H",1,40,"Q68","AIRWAY","","","","","LITTR"
"2026/01/22","ACK","AUS","H",1,45,"LITTR","FIX","AR","US","K4","","TXK"
"2026/01/22","ACK","AUS","H",1,50,"TXK","NAVAID","AR","US","","VORTAC","BROBB"
"2026/01/22","ACK","AUS","H",1,55,"BROBB","FIX","TX","US","K4","","WINDU"
"2026/01/22","ACK","AUS","H",1,60,"WINDU","FIX","TX","US","K4","","SEWZY6"
"2026/01/22","ACK","AUS","H",1,65,"SEWZY6","STAR","","","","",""
"2026/01/22","ACK","BDL","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","BDL","TEC",1,10,"V146","AIRWAY","","","","","PVD"
"2026/01/22","ACK","BDL","TEC",1,15,"PVD","NAVAID","RI","US","","VOR/DME",""
"2026/01/22","ACK","BDR","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","MVY"
"2026/01/22","ACK","BDR","TEC",1,10,"MVY","NAVAID","MA","US","","VOR/DME","SEY"
"2026/01/22","ACK","BDR","TEC",1,15,"SEY","NAVAID","RI","US","","VOR/DME","ORCHA"
"2026/01/22","ACK","BDR","TEC",1,20,"ORCHA","FIX","NY","US","K6","","KEYED"
"2026/01/22","ACK","BDR","TEC",1,25,"KEYED","FIX","NY","US","K6","",""
"2026/01/22","ACK","BDR","TEC",2,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","BDR","TEC",2,10,"V146","AIRWAY","","","","","MVY"
"2026/01/22","ACK","BDR","TEC",2,15,"MVY","NAVAID","MA","US","","VOR/DME","V374"
"2026/01/22","ACK","BDR","TEC",2,20,"V374","AIRWAY","","","","","CREAM"
"2026/01/22","ACK","BDR","TEC",2,25,"CREAM","FIX","NY","US","K6","","T634"
"2026/01/22","ACK","BDR","TEC",2,30,"T634","AIRWAY","","","","","DENNA"
"2026/01/22","ACK","BDR","TEC",2,35,"DENNA","FIX","CT","US","K6","",""
"2026/01/22","ACK","BED","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","FREDO"
"2026/01/22","ACK","BED","TEC",1,10,"FREDO","FIX","MA","US","K6","",""
"2026/01/22","ACK","BGR","TEC",1,5,"FREDO","FIX","MA","US","K6","","BOS"
"2026/01/22","ACK","BGR","TEC",1,10,"BOS","NAVAID","MA","US","","VOR/DME","PEASE"
"2026/01/22","ACK","BGR","TEC",1,15,"PEASE","FIX","NH","US","K6","","ENE"
"2026/01/22","ACK","BGR","TEC",1,20,"ENE","NAVAID","ME","US","","VOR/DME","T295"
"2026/01/22","ACK","BGR","TEC",1,25,"T295","AIRWAY","","","","","BGR"
"2026/01/22","ACK","BGR","TEC",1,30,"BGR","NAVAID","ME","US","","VORTAC",""
"2026/01/22","ACK","BHB","TEC",1,5,"FREDO","FIX","MA","US","K6","","BOS"
"2026/01/22","ACK","BHB","TEC",1,10,"BOS","NAVAID","MA","US","","VOR/DME","PEASE"
"2026/01/22","ACK","BHB","TEC",1,15,"PEASE","FIX","NH","US","K6","","ENE"
"2026/01/22","ACK","BHB","TEC",1,20,"ENE","NAVAID","ME","US","","VOR/DME",""
"2026/01/22","ACK","BOS","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","FREDO"
"2026/01/22","ACK","BOS","TEC",1,10,"FREDO","FIX","MA","US","K6","",""
"2026/01/22","ACK","BTV","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","BTV","TEC",1,10,"V146","AIRWAY","","","","","PVD"
"2026/01/22","ACK","BTV","TEC",1,15,"PVD","NAVAID","RI","US","","VOR/DME","T393"
"2026/01/22","ACK","BTV","TEC",1,20,"T393","AIRWAY","","","","","GDM"
"2026/01/22","ACK","BTV","TEC",1,25,"GDM","NAVAID","MA","US","","VOR/DME","T315"
"2026/01/22","ACK","BTV","TEC",1,30,"T315","AIRWAY","","","","","BTV"
"2026/01/22","ACK","BTV","TEC",1,35,"BTV","NAVAID","VT","US","","VOR/DME",""
"2026/01/22","ACK","BUF","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","BUF","TEC",1,10,"V146","AIRWAY","","","","","ALB"
"2026/01/22","ACK","BUF","TEC",1,15,"ALB","NAVAID","NY","US","","VORTAC","T608"
"2026/01/22","ACK","BUF","TEC",1,20,"T608","AIRWAY","","","","","WOZEE"
"2026/01/22","ACK","BUF","TEC",1,25,"WOZEE","FIX","NY","US","K6","",""
"2026/01/22","ACK","BWI","H",3,5,"LFV","NAVAID","MA","US","","VOR/DME","CELTS"
"2026/01/22","ACK","BWI","H",3,10,"CELTS","FIX","MA","US","K6","","NELIE"
"2026/01/22","ACK","BWI","H",3,15,"NELIE","FIX","CT","US","K6","","Q75"
"2026/01/22","ACK","BWI","H",3,20,"Q75","AIRWAY","","","","","MXE"
"2026/01/22","ACK","BWI","H",3,25,"MXE","NAVAID","PA","US","","VORTAC","V378"
"2026/01/22","ACK","BWI","H",3,30,"V378","AIRWAY","","","","","NUGGY"
"2026/01/22","ACK","BWI","H",3,35,"NUGGY","FIX","PA","US","K6","","TRISH4"
"2026/01/22","ACK","BWI","H",3,40,"TRISH4","STAR","","","","",""
"2026/01/22","ACK","BWI","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","T216"
"2026/01/22","ACK","BWI","TEC",1,10,"T216","AIRWAY","","","","","SEY"
"2026/01/22","ACK","BWI","TEC",1,15,"SEY","NAVAID","RI","US","","VOR/DME","ORCHA"
"2026/01/22","ACK","BWI","TEC",1,20,"ORCHA","FIX","NY","US","K6","","T320"
"2026/01/22","ACK","BWI","TEC",1,25,"T320","AIRWAY","","","","","AVALO"
"2026/01/22","ACK","BWI","TEC",1,30,"AVALO","FIX","NJ","US","K6","","T358"
"2026/01/22","ACK","BWI","TEC",1,35,"T358","AIRWAY","","","","","SWANN"
"2026/01/22","ACK","BWI","TEC",1,40,"SWANN","FIX","MD","US","K6","",""
"2026/01/22","ACK","BWI","TEC",2,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","BWI","TEC",2,10,"V146","AIRWAY","","","","","MVY"
"2026/01/22","ACK","BWI","TEC",2,15,"MVY","NAVAID","MA","US","","VOR/DME","V374"
"2026/01/22","ACK","BWI","TEC",2,20,"V374","AIRWAY","","","","","GON"
"2026/01/22","ACK","BWI","TEC",2,25,"GON","NAVAID","CT","US","","VOR/DME","CCC"
"2026/01/22","ACK","BWI","TEC",2,30,"CCC","NAVAID","NY","US","","VOR/DME","T224"
"2026/01/22","ACK","BWI","TEC",2,35,"T224","AIRWAY","","","","","ENO"
"2026/01/22","ACK","BWI","TEC",2,40,"ENO","NAVAID","DE","US","","VORTAC","T358"
"2026/01/22","ACK","BWI","TEC",2,45,"T358","AIRWAY","","","","","SWANN"
"2026/01/22","ACK","BWI","TEC",2,50,"SWANN","FIX","MD","US","K6","",""
"2026/01/22","ACK","CON","TEC",1,5,"FREDO","FIX","MA","US","K6","","BOS"
"2026/01/22","ACK","CON","TEC",1,10,"BOS","NAVAID","MA","US","","VOR/DME","MANCH"
"2026/01/22","ACK","CON","TEC",1,15,"MANCH","FIX","NH","US","K6","",""
"2026/01/22","ACK","DCA","H",1,5,"LFV","NAVAID","MA","US","","VOR/DME","CELTS"
"2026/01/22","ACK","DCA","H",1,10,"CELTS","FIX","MA","US","K6","","NELIE"
"2026/01/22","ACK","DCA","H",1,15,"NELIE","FIX","CT","US","K6","","Q75"
"2026/01/22","ACK","DCA","H",1,20,"Q75","AIRWAY","","","","","MXE"
"2026/01/22","ACK","DCA","H",1,25,"MXE","NAVAID","PA","US","","VORTAC","CLIPR3"
"2026/01/22","ACK","DCA","H",1,30,"CLIPR3","STAR","","","","",""
"2026/01/22","ACK","DCA","H",2,5,"MVY","NAVAID","MA","US","","VOR/DME","JAWZZ"
"2026/01/22","ACK","DCA","H",2,10,"JAWZZ","FIX","MA","US","K6","","Q220"
"2026/01/22","ACK","DCA","H",2,15,"Q220","AIRWAY","","","","","RIFLE"
"2026/01/22","ACK","DCA","H",2,20,"RIFLE","FIX","NY","US","K6","","Q167"
"2026/01/22","ACK","DCA","H",2,25,"Q167","AIRWAY","","","","","ZIZZI"
"2026/01/22","ACK","DCA","H",2,30,"ZIZZI","FIX","NJ","US","K6","","KNUKK"
"2026/01/22","ACK","DCA","H",2,35,"KNUKK","FIX","NJ","US","K6","","ATR"
"2026/01/22","ACK","DCA","H",2,40,"ATR","NAVAID","DE","US","","VOR/DME","LAFLN"
"2026/01/22","ACK","DCA","H",2,45,"LAFLN","FIX","DE","US","K6","","DEALE3"
"2026/01/22","ACK","DCA","H",2,50,"DEALE3","STAR","","","","",""
"2026/01/22","ACK","DOV","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","T216"
"2026/01/22","ACK","DOV","TEC",1,10,"T216","AIRWAY","","","","","SEY"
"2026/01/22","ACK","DOV","TEC",1,15,"SEY","NAVAID","RI","US","","VOR/DME","ORCHA"
"2026/01/22","ACK","DOV","TEC",1,20,"ORCHA","FIX","NY","US","K6","","T320"
"2026/01/22","ACK","DOV","TEC",1,25,"T320","AIRWAY","","","","","AVALO"
"2026/01/22","ACK","DOV","TEC",1,30,"AVALO","FIX","NJ","US","K6","","T358"
"2026/01/22","ACK","DOV","TEC",1,35,"T358","AIRWAY","","","","","ENO"
"2026/01/22","ACK","DOV","TEC",1,40,"ENO","NAVAID","DE","US","","VORTAC",""
"2026/01/22","ACK","DOV","TEC",2,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","DOV","TEC",2,10,"V146","AIRWAY","","","","","MVY"
"2026/01/22","ACK","DOV","TEC",2,15,"MVY","NAVAID","MA","US","","VOR/DME","V374"
"2026/01/22","ACK","DOV","TEC",2,20,"V374","AIRWAY","","","","","GON"
"2026/01/22","ACK","DOV","TEC",2,25,"GON","NAVAID","CT","US","","VOR/DME","CCC"
"2026/01/22","ACK","DOV","TEC",2,30,"CCC","NAVAID","NY","US","","VOR/DME","T224"
"2026/01/22","ACK","DOV","TEC",2,35,"T224","AIRWAY","","","","","ENO"
"2026/01/22","ACK","DOV","TEC",2,40,"ENO","NAVAID","DE","US","","VORTAC",""
"2026/01/22","ACK","DXR","TEC",2,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","DXR","TEC",2,10,"V146","AIRWAY","","","","","PVD"
"2026/01/22","ACK","DXR","TEC",2,15,"PVD","NAVAID","RI","US","","VOR/DME","HFD"
"2026/01/22","ACK","DXR","TEC",2,20,"HFD","NAVAID","CT","US","","VOR/DME","T303"
"2026/01/22","ACK","DXR","TEC",2,25,"T303","AIRWAY","","","","","MAD"
"2026/01/22","ACK","DXR","TEC",2,30,"MAD","NAVAID","CT","US","","VOR/DME","EEGOR"
"2026/01/22","ACK","DXR","TEC",2,35,"EEGOR","FIX","CT","US","K6","","ALIXX"
"2026/01/22","ACK","DXR","TEC",2,40,"ALIXX","FIX","CT","US","K6","","RYMES"
"2026/01/22","ACK","DXR","TEC",2,45,"RYMES","FIX","CT","US","K6","",""
"2026/01/22","ACK","DXR","TEC",3,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","DXR","TEC",3,10,"V146","AIRWAY","","","","","BAF"
"2026/01/22","ACK","DXR","TEC",3,15,"BAF","NAVAID","MA","US","","VORTAC","IGN"
"2026/01/22","ACK","DXR","TEC",3,20,"IGN","NAVAID","NY","US","","VOR/DME","V157"
"2026/01/22","ACK","DXR","TEC",3,25,"V157","AIRWAY","","","","","HAARP"
"2026/01/22","ACK","DXR","TEC",3,30,"HAARP","FIX","CT","US","K6","",""
"2026/01/22","ACK","DXR","TEC",4,5,"MVY","NAVAID","MA","US","","VOR/DME","SEY"
"2026/01/22","ACK","DXR","TEC",4,10,"SEY","NAVAID","RI","US","","VOR/DME","T634"
"2026/01/22","ACK","DXR","TEC",4,15,"T634","AIRWAY","","","","","CREAM"
"2026/01/22","ACK","DXR","TEC",4,20,"CREAM","FIX","NY","US","K6","","EEGOR"
"2026/01/22","ACK","DXR","TEC",4,25,"EEGOR","FIX","CT","US","K6","","ALIXX"
"2026/01/22","ACK","DXR","TEC",4,30,"ALIXX","FIX","CT","US","K6","","RYMES"
"2026/01/22","ACK","DXR","TEC",4,35,"RYMES","FIX","CT","US","K6","",""
"2026/01/22","ACK","EEN","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","EEN","TEC",1,10,"V146","AIRWAY","","","","","PVD"
"2026/01/22","ACK","EEN","TEC",1,15,"PVD","NAVAID","RI","US","","VOR/DME","T393"
"2026/01/22","ACK","EEN","TEC",1,20,"T393","AIRWAY","","","","","KEYNN"
"2026/01/22","ACK","EEN","TEC",1,25,"KEYNN","FIX","NH","US","K6","",""
"2026/01/22","ACK","ELM","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","ELM","TEC",1,10,"V146","AIRWAY","","","","","CTR"
"2026/01/22","ACK","ELM","TEC",1,15,"CTR","NAVAID","MA","US","","VOR/DME","T458"
"2026/01/22","ACK","ELM","TEC",1,20,"T458","AIRWAY","","","","","STUBN"
"2026/01/22","ACK","ELM","TEC",1,25,"STUBN","FIX","NY","US","K6","",""
"2026/01/22","ACK","ERI","L",2,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","ERI","L",2,10,"V146","AIRWAY","","","","","CTR"
"2026/01/22","ACK","ERI","L",2,15,"CTR","NAVAID","MA","US","","VOR/DME","T458"
"2026/01/22","ACK","ERI","L",2,20,"T458","AIRWAY","","","","","STUBN"
"2026/01/22","ACK","ERI","L",2,25,"STUBN","FIX","NY","US","K6","","JHW"
"2026/01/22","ACK","ERI","L",2,30,"JHW","NAVAID","NY","US","","VOR/DME",""
"2026/01/22","ACK","ERI","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","ERI","TEC",1,10,"V146","AIRWAY","","","","","CTR"
"2026/01/22","ACK","ERI","TEC",1,15,"CTR","NAVAID","MA","US","","VOR/DME","T458"
"2026/01/22","ACK","ERI","TEC",1,20,"T458","AIRWAY","","","","","STUBN"
"2026/01/22","ACK","ERI","TEC",1,25,"STUBN","FIX","NY","US","K6","","JHW"
"2026/01/22","ACK","ERI","TEC",1,30,"JHW","NAVAID","NY","US","","VOR/DME",""
"2026/01/22","ACK","EWR","L",3,5,"MVY","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","EWR","L",3,10,"V146","AIRWAY","","","","","PUT"
"2026/01/22","ACK","EWR","L",3,15,"PUT","NAVAID","CT","US","","VOR/DME","NELIE"
"2026/01/22","ACK","EWR","L",3,20,"NELIE","FIX","CT","US","K6","","FLOSI4"
"2026/01/22","ACK","EWR","L",3,25,"FLOSI4","STAR","","","","",""
"2026/01/22","ACK","EWR","TEC",1,5,"ACK","NAVAID","MA","US","","VOR/DME","V146"
"2026/01/22","ACK","EWR","TEC",1,10,"V146","AIRWAY","","","","","PVD"
"2026/01/22","ACK","EWR","TEC",1,15,"PVD","NAVAID","RI","US","","VOR/DME","V167"
"2026/01/22","ACK","EWR","TEC",1,20,"V167","AIRWAY","","","","","HFD"
