"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_END_ID","TRUE_ALIGNMENT","ILS_TYPE","RIGHT_HAND_TRAFFIC_PAT_FLAG","RWY_MARKING_TYPE_CODE","RWY_MARKING_COND","RWY_END_LAT_DEG","RWY_END_LAT_MIN","RWY_END_LAT_SEC","RWY_END_LAT_HEMIS","LAT_DECIMAL","RWY_END_LONG_DEG","RWY_END_LONG_MIN","RWY_END_LONG_SEC","RWY_END_LONG_HEMIS","LONG_DECIMAL","RWY_END_ELEV","THR_CROSSING_HGT","VISUAL_GLIDE_PATH_ANGLE","DISPLACED_THR_LAT_DEG","DISPLACED_THR_LAT_MIN","DISPLACED_THR_LAT_SEC","DISPLACED_THR_LAT_HEMIS","LAT_DISPLACED_THR_DECIMAL","DISPLACED_THR_LONG_DEG","DISPLACED_THR_LONG_MIN","DISPLACED_THR_LONG_SEC","DISPLACED_THR_LONG_HEMIS","LONG_DISPLACED_THR_DECIMAL","DISPLACED_THR_ELEV","DISPLACED_THR_LEN","TDZ_ELEV","VGSI_CODE","RWY_VISUAL_RANGE_EQUIP_CODE","RWY_VSBY_VALUE_EQUIP_FLAG","APCH_LGT_SYSTEM_CODE","RWY_END_LGTS_FLAG","CNTRLN_LGTS_AVBL_FLAG","TDZ_LGT_AVBL_FLAG","OBSTN_TYPE","OBSTN_MRKD_CODE","FAR_PART_77_CODE","OBSTN_CLNC_SLOPE","OBSTN_HGT","DIST_FROM_THR","CNTRLN_OFFSET","CNTRLN_DIR_CODE","RWY_GRAD","RWY_GRAD_DIRECTION","RWY_END_PSN_SOURCE","RWY_END_PSN_DATE","RWY_END_ELEV_SOURCE","RWY_END_ELEV_DATE","DSPL_THR_PSN_SOURCE","RWY_END_DSPL_THR_PSN_DATE","DSPL_THR_ELEV_SOURCE","RWY_END_DSPL_THR_ELEV_DATE","TDZ_ELEV_SOURCE","RWY_END_TDZ_ELEV_DATE","TKOF_RUN_AVBL","TKOF_DIST_AVBL","ACLT_STOP_DIST_AVBL","LNDG_DIST_AVBL","LAHSO_ALD","RWY_END_INTERSECT_LAHSO","LAHSO_DESC","LAHSO_LAT","LAT_LAHSO_DECIMAL","LAHSO_LONG","LONG_LAHSO_DECIMAL","LAHSO_PSN_SOURCE","RWY_END_LAHSO_PSN_DATE"
"2026/02/19","00110.01","H","AL","AL39","ALABASTER","US","H1","H1",,"","","","",33,15,0.41,"N",33.25011388,86,48,49.96,"W",-86.81387777,510,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","FAA-EST IMAGERY","2015/02/06","FAA-EST IMAGERY","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00112.1","A","AL","BFZ","ALBERTVILLE","US","05/23","05",48,"","N","NPI","GOOD",34,13,24.6843,"N",34.22352341,86,15,47.9146,"W",-86.26330961,1002.9,42,3,,,,"",,,,,"",,,,1015.4,"P2L","","","","","","","TREES","","C",30,40,1414,178,"L",,"","3RD PARTY SURVEY","2024/11/02","3RD PARTY SURVEY","2024/11/02","","","","","3RD PARTY SURVEY","2024/11/02",,,,,,"","","",,"",,"",""
"2026/02/19","00112.1","A","AL","BFZ","ALBERTVILLE","US","05/23","23",228,"","N","NPI","GOOD",34,14,4.8977,"N",34.2346938,86,14,53.5263,"W",-86.24820175,1032.2,42,3,,,,"",,,,,"",,,,1032.3,"P2L","","","","Y","","","TREES","","C",31,58,2046,329,"R",,"","3RD PARTY SURVEY","2024/11/02","3RD PARTY SURVEY","2024/11/02","","","","","3RD PARTY SURVEY","2024/11/02",,,,,,"","","",,"",,"",""
"2026/02/19","00116.","A","AL","ALX","ALEXANDER CITY","US","18/36","18",178,"","N","NPI","GOOD",32,55,19.8713,"N",32.92218647,85,57,48.0006,"W",-85.9633335,685.8,57,3,32,55,13.7182,"N",32.92047727,85,57,47.6853,"W",-85.96324591,674.9,623,674.9,"P4L","","","","","","","TREE","","C",15,129,2006,572,"R",,"","3RD PARTY SURVEY","2010/01/19","3RD PARTY SURVEY","2010/01/19","3RD PARTY SURVEY","2010/01/19","3RD PARTY SURVEY","2010/01/19","3RD PARTY SURVEY","2010/01/19",,,,,,"","","",,"",,"",""
"2026/02/19","00116.","A","AL","ALX","ALEXANDER CITY","US","18/36","36",358,"","N","NPI","GOOD",32,54,26.2822,"N",32.90730061,85,57,45.2549,"W",-85.9625708,611.9,50,3,,,,"",,,,,"",,,,648.4,"P4L","","","","Y","","","TREE","","C",19,46,1117,347,"L",,"","3RD PARTY SURVEY","2010/01/19","3RD PARTY SURVEY","2010/01/19","","","","","3RD PARTY SURVEY","2010/01/19",,,,,,"","","",,"",,"",""
"2026/02/19","00116.01","H","AL","33AL","ALEXANDER CITY","US","H1","H1",,"","","BSC","FAIR",32,55,48.28,"N",32.93007777,85,58,15.27,"W",-85.97090833,703,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","OWNER","2020/10/07","OWNER","2020/10/07","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00119.","A","AL","AIV","ALICEVILLE","US","06/24","06",62,"","N","NPI","POOR",33,6,12.53,"N",33.10348055,88,12,15.7,"W",-88.20436111,142.8,,,,,,"",,,,,"",,,,143.2,"","","","","Y","","","TREE","","A(NP)",17,30,733,104,"R",,"","NACO","2004/10/15","NACO","2004/10/15","","","","","NACO","2004/10/15",,,,,,"","","",,"",,"",""
"2026/02/19","00119.","A","AL","AIV","ALICEVILLE","US","06/24","24",242,"","N","NPI","POOR",33,6,36.03,"N",33.11000833,88,11,23.96,"W",-88.18998888,149.8,,,,,,"",,,,,"",,,,150,"","","","","Y","","","TREE","L","A(NP)",22,81,1983,73,"R",,"","NACO","2004/10/15","NACO","2004/10/15","","","","","NACO","2004/10/15",,,,,,"","","",,"",,"",""
"2026/02/19","00124.","A","AL","79J","ANDALUSIA","US","11/29","11",107,"","","NPI","FAIR",31,18,38.5737,"N",31.31071491,86,24,5.1514,"W",-86.40143094,309.9,33,3,,,,"",,,,,"",,,,310.2,"P4R","","","","Y","","","TREE","","C",25,102,2795,100,"R",,"","NGS","2010/04/14","NGS","2010/04/14","","","","","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00124.","A","AL","79J","ANDALUSIA","US","11/29","29",287,"","","NPI","GOOD",31,18,21.5636,"N",31.30598988,86,22,58.8933,"W",-86.38302591,299.9,47,3.5,,,,"",,,,,"",,,,308.3,"P4L","","","","Y","","","TREE","","C",24,54,1535,176,"L",,"","NGS","2010/04/14","NGS","2010/04/14","","","","","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00128.","A","AL","ANB","ANNISTON","US","05/23","05",48,"ILS","Y","PIR","GOOD",33,34,54.4504,"N",33.58179177,85,52,0.1907,"W",-85.86671963,594.6,40,3,,,,"",,,,,"",,,,595.2,"P4L","","","MALSR","","","","","","PIR",50,,,,"",,"","3RD PARTY SURVEY","2024/11/19","3RD PARTY SURVEY","2024/11/19","","","","","3RD PARTY SURVEY","2024/11/19",,,,,,"","","",,"",,"",""
"2026/02/19","00128.","A","AL","ANB","ANNISTON","US","05/23","23",228,"","N","NPI","GOOD",33,35,40.3711,"N",33.59454752,85,50,58.2329,"W",-85.84950913,612.1,39,3,,,,"",,,,,"",,,,612.1,"P4L","","","","Y","","","","","C",34,,,,"",,"","3RD PARTY SURVEY","2024/11/19","3RD PARTY SURVEY","2024/11/19","","","","","3RD PARTY SURVEY","2024/11/19",,,,,,"","","",,"",,"",""
"2026/02/19","00128.01","H","AL","AL42","ANNISTON","US","H1","H1",,"","","","",33,39,21.62,"N",33.65600555,85,49,28,"W",-85.82444444,772,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","FAA-EST IMAGERY","2015/10/29","FAA-EST IMAGERY","2015/10/29","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00128.02","H","AL","04AL","ANNISTON","US","H1","H1",,"","","","",33,37,35,"N",33.62638888,85,58,2,"W",-85.96722222,686,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","MILITARY","2001/06/08","MILITARY","2001/06/08","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00133.5","A","AL","51AL","ARDMORE","US","01/19","01",11,"","N","NSTD","POOR",34,58,31.5745,"N",34.97543736,86,53,3.0187,"W",-86.88417186,922,,,,,,"",,,,,"",,,,,"","","","","","","","TREE","","A(V)",9,51,474,120,"L",,"","OWNER","2025/02/21","OWNER","2025/02/21","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00133.5","A","AL","51AL","ARDMORE","US","01/19","19",191,"","N","NSTD","POOR",34,58,57.764,"N",34.98271222,86,52,56.632,"W",-86.88239777,901,,,,,,"",,,,,"",,,,,"","","","","","","","TREE","","A(V)",23,64,1522,73,"R",,"","OWNER","2025/02/21","OWNER","2025/02/21","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00134.","H","KY","90KY","ASHCAMP","US","H1","H1",,"","","","",37,15,31.49,"N",37.25874722,82,27,41.32,"W",-82.46147777,1000,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","ADO","2025/09/04","OWNER","2011/05/23","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00135.","A","AL","26A","ASHLAND/LINEVILLE","US","09/27","09",,"","N","NPI","GOOD",33,17,3.11,"N",33.28419722,85,48,55.97,"W",-85.81554722,1065.9,,,33,17,3.11,"N",33.28419722,85,48,53.61,"W",-85.81489166,,200,,"","","","","Y","","","","","A(V)",20,,,,"",,"","FAA-EST IMAGERY","2007/04/25","ADO","2012/08/23","ADO","2012/08/23","","","","",4023,4023,,,,"","","",,"",,"",""
"2026/02/19","00135.","A","AL","26A","ASHLAND/LINEVILLE","US","09/27","27",,"","N","NPI","GOOD",33,17,3.11,"N",33.28419722,85,48,8.58,"W",-85.80238333,1057.3,,,,,,"",,,,,"",,,,,"","","","","Y","","","","","A(V)",20,,,,"",,"","FAA-EST IMAGERY","2007/04/25","AIP","2012/08/23","","","","","","",3823,4023,,,,"","","",,"",,"",""
"2026/02/19","00135.01","H","AL","0AL2","ASHLAND","US","H1","H1",,"","","","",33,16,37.98,"N",33.27721666,85,49,29.35,"W",-85.82481944,1040,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","FAA-EST IMAGERY","2012/11/09","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00137.","A","AL","AL60","ASHVILLE","US","10/28","10",,"","","","GOOD",,,,"",,,,,"",,,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00137.","A","AL","AL60","ASHVILLE","US","10/28","28",,"","","","GOOD",,,,"",,,,,"",,,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00139.","H","AL","5AL9","ATHENS","US","H1","H1",,"","","","",34,48,10.14,"N",34.80281666,86,58,50.18,"W",-86.98060555,693,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","ADO","2025/04/21","ADO","2014/07/08","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00139.01","A","AL","56AL","ATHENS","US","18/36","18",,"","","","",34,46,35,"N",34.77638888,87,10,29,"W",-87.17472222,646.8,,,,,,"",,,,,"",,,,646.8,"","","","","","","","","","A(V)",,,,,"",,"","OWNER","2023/09/05","OWNER","2023/09/05","","","","","OWNER","2023/09/05",,,,,,"","","",,"",,"",""
"2026/02/19","00139.01","A","AL","56AL","ATHENS","US","18/36","36",,"","","","",34,46,9,"N",34.76916666,87,10,28,"W",-87.17444444,608.3,,,,,,"",,,,,"",,,,646.8,"","","","","","","","","","A(V)",,,,,"",,"","OWNER","2023/09/05","OWNER","2023/09/05","","","","","OWNER","2023/09/05",,,,,,"","","",,"",,"",""
"2026/02/19","00140.1","A","AL","0R1","ATMORE","US","18/36","18",180,"","N","NPI","FAIR",31,1,22.8859,"N",31.02302386,87,26,48.4001,"W",-87.4467778,283.2,40,3,,,,"",,,,,"",,,,286,"P2L","","","","","","","TREE","","C",12,26,521,196,"L",,"","3RD PARTY SURVEY","2016/09/27","3RD PARTY SURVEY","2016/09/27","","","","","3RD PARTY SURVEY","2016/09/27",,,,,,"","","",,"",,"",""
"2026/02/19","00140.1","A","AL","0R1","ATMORE","US","18/36","36",360,"","N","NPI","FAIR",31,0,33.3886,"N",31.00927461,87,26,48.2376,"W",-87.44673266,279.9,40,3,,,,"",,,,,"",,,,286,"P2L","","","","","","","BRUSH","","C",1,23,227,134,"R",,"","3RD PARTY SURVEY","2016/09/27","3RD PARTY SURVEY","2016/09/27","","","","","3RD PARTY SURVEY","2016/09/27",,,,,,"","","",,"",,"",""
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","11/29","11",107,"","N","NPI","GOOD",32,37,10.4919,"N",32.61958108,85,26,14.4647,"W",-85.4373513,774.9,,,,,,"",,,,,"",,,,774.9,"","","","","","","","TREES","","C",8,22,379,193,"L",,"","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","11/29","29",287,"","N","NPI","GOOD",32,36,58.7148,"N",32.61630966,85,25,29.82,"W",-85.42495,766.3,22,3,32,36,59.5906,"N",32.61655294,85,25,33.138,"W",-85.42587166,764.4,297,770.4,"P4L","","","","","","","TREE","","C",13,62,1014,373,"R",,"","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","18/36","18",181,"","N","PIR","GOOD",32,37,12.7247,"N",32.6202013,85,26,9.7285,"W",-85.43603569,776.8,,,,,,"",,,,,"",,,,776.8,"","","","","","","N","TREE","","C",24,41,1213,415,"R",,"","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","18/36","36",1,"ILS/DME","N","PIR","GOOD",32,36,20.6524,"N",32.60573677,85,26,10.8443,"W",-85.43634563,731.1,44,3,,,,"",,,,,"",,,,759.1,"P4L","","","MALSF","","","N","TREE","","PIR",36,9,524,335,"R",,"","3RD PARTY SURVEY","2006/05/22","3RD PARTY SURVEY","2006/05/22","","","","","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00155.","A","AL","1R8","BAY MINETTE","US","08/26","08",86,"","N","NPI","FAIR",30,52,11.1626,"N",30.86976738,87,49,41.0186,"W",-87.82806072,206.5,47,3.5,,,,"",,,,,"",,,,230.7,"P2L","","","","Y","","","TREE","","C",20,113,2473,268,"R",,"","3RD PARTY SURVEY","2008/11/16","3RD PARTY SURVEY","2008/11/16","","","","","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00155.","A","AL","1R8","BAY MINETTE","US","08/26","26",266,"","N","NPI","POOR",30,52,15.1746,"N",30.87088183,87,48,38.0898,"W",-87.8105805,248.1,40,3,,,,"",,,,,"",,,,248.1,"P2L","","","","","","","BRUSH","","C",30,14,430,75,"R",,"","3RD PARTY SURVEY","2008/11/16","3RD PARTY SURVEY","2008/11/16","","","","","AVN","2011/04/11",,,,,,"","","",,"",,"",""
"2026/02/19","00155.03","H","AL","6AL9","BAY MINETTE","US","H1","H1",,"","","","",30,56,55,"N",30.94861111,87,44,44,"W",-87.74555555,284,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00155.05","A","AL","96AL","BAY MINETTE","US","18/36","18",,"","","","",30,49,46.5566,"N",30.82959905,87,53,21.8538,"W",-87.88940383,87,,,,,,"",,,,,"",,,,87,"","","","","","","","","","A(V)",,,,,"",,"","OWNER","2024/02/22","OWNER","2024/02/22","","","","","OWNER","2024/02/22",,,,,,"","","",,"",,"",""
"2026/02/19","00155.05","A","AL","96AL","BAY MINETTE","US","18/36","36",,"","","","",30,49,32.772,"N",30.82577,87,53,20.2236,"W",-87.888951,87,,,,,,"",,,,,"",,,,87,"","","","","","","","","","A(V)",,,,,"",,"","OWNER","2024/02/22","OWNER","2024/02/22","","","","","OWNER","2024/02/22",,,,,,"","","",,"",,"",""
"2026/02/19","00155.31","A","AL","5R7","BAYOU LA BATRE","US","18/36","18",179,"","N","NSTD","GOOD",30,27,28.7901,"N",30.45799725,88,12,40.4649,"W",-88.21124025,76,,,,,,"",,,,,"",,,,,"","","","","","","","POLE","","A(V)",10,31,337,52,"R",,"","FAA-EST IMAGERY","2011/03/22","FAA-EST IMAGERY","2011/03/22","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00155.31","A","AL","5R7","BAYOU LA BATRE","US","18/36","36",359,"","N","","GOOD",30,27,8.9925,"N",30.45249791,88,12,40.0499,"W",-88.21112497,87,,,,,,"",,,,,"",,,,,"","","","","","","","TREES","","A(V)",8,81,655,103,"L",,"","FAA-EST IMAGERY","2011/03/22","FAA-EST IMAGERY","2011/03/22","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00155.32","H","AL","AL67","THEODORE","US","H1","H1",,"","","","",30,25,51.29,"N",30.43091388,88,10,45.1,"W",-88.17919444,32.9,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00157.1","A","AL","EKY","BESSEMER","US","05/23","05",50,"ILS/DME","N","PIR","GOOD",33,18,26.2261,"N",33.30728502,86,56,1.7232,"W",-86.933812,699.3,60,3,,,,"",,,,,"",,,,699.5,"P4L","","","","Y","","","TREES","","PIR",28,33,1136,346,"R",,"","3RD PARTY SURVEY","2008/11/04","3RD PARTY SURVEY","2008/11/04","","","","","3RD PARTY SURVEY","2008/11/04",,,,,,"","","",,"",,"",""
"2026/02/19","00157.1","A","AL","EKY","BESSEMER","US","05/23","23",230,"","N","NPI","GOOD",33,19,4.5723,"N",33.31793675,86,55,7.6511,"W",-86.91879197,699.5,40,3,,,,"",,,,,"",,,,699.6,"P4L","","","","Y","","","TREES","","C",13,30,598,167,"R",,"","3RD PARTY SURVEY","2008/11/04","3RD PARTY SURVEY","2008/11/04","","","","","3RD PARTY SURVEY","2008/11/04",,,,,,"","","",,"",,"",""
"2026/02/19","00157.11","H","AL","AL19","BESSEMER","US","H1","H1",,"","","","",33,22,17.16,"N",33.37143333,86,59,27.62,"W",-86.99100555,670,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","FAA-EST IMAGERY","2015/02/06","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00157.12","H","AL","AL80","BESSEMER","US","H1","H1",,"","","","",33,19,51.009,"N",33.33083583,86,59,1.8454,"W",-86.98384594,631,,,,,,"",,,,,"",,,,,"","","","","","","","","","",,,,,"",,"","OWNER","2024/07/09","OWNER","2024/07/09","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","06/24","06",55,"ILS","N","PIR","FAIR",33,33,17.2063,"N",33.55477952,86,46,17.6487,"W",-86.77156908,603.4,68,3,,,,"",,,,,"",,,,606,"P4L","TMR","Y","ALSF2","","Y","Y","TREES","","PIR",18,58,1290,654,"R",,"","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02","","","","","3RD PARTY SURVEY","2015/07/02",12007,12007,12007,12007,8700,"18/36","","33-34-06.0223N",33.56833952,"086-44-52.9867W",-86.74805186,"FAA-EST","2007/07/11"
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","06/24","24",235,"ILS/DME","N","PIR","FAIR",33,34,24.5295,"N",33.57348041,86,44,20.7487,"W",-86.73909686,650,69,3,33,34,17.7743,"N",33.57160397,86,44,32.4867,"W",-86.74235741,640.4,1205,640.5,"P4L","TMR","N","MALSR","","Y","N","GND","","PIR",16,67,1323,610,"R",,"","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02",12007,12007,12007,10801,,"","","",,"",,"",""
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","18/36","18",180,"LOC/DME","N","NPI","GOOD",33,34,23.5685,"N",33.57321347,86,44,49.8849,"W",-86.74719025,644.3,51,3.2,,,,"",,,,,"",,,,644.3,"P4L","","","","Y","","","TREES","","C",22,245,5689,883,"R",,"","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02","","","","","3RD PARTY SURVEY","2015/07/02",7099,7099,7099,7099,,"","","",,"",,"",""
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","18/36","36",0,"","N","NPI","GOOD",33,33,13.3386,"N",33.55370516,86,44,49.9207,"W",-86.74720019,633.5,,,,,,"",,,,,"",,,,633.5,"","","","","Y","","","TREES","","C",18,62,1340,210,"L",,"","3RD PARTY SURVEY","2015/07/02","3RD PARTY SURVEY","2015/07/02","","","","","3RD PARTY SURVEY","2015/07/02",7099,7099,7099,7099,5150,"06/24","","33-34-04.2991N",33.56786086,"086-44-49.9237W",-86.74720102,"FAA-EST","2007/07/11"
