"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","SOP_SEQ_NO","SOP_TEXT"
"2026/01/22","IR","002","ZTL",60,"(8)     INCLUDE ROUTE ENTRY/EXIT TIMES IN THE REMARKS SECTION OF"
"2026/01/22","IR","002","ZTL",65,"         FLIGHT PLAN."
"2026/01/22","IR","002","ZTL",70,"(9)     MAKE ENTRY TIMES PLUS OR MINUS 5 MINUTES OR RESCHEDULE."
"2026/01/22","IR","002","ZTL",75,"         UNPUBLISHED TOWERS FOUND BY ROUTE SURVEYS 200' AGL AND"
"2026/01/22","IR","002","ZTL",80,"         ABOVE ARE LISTED IN THIS SOP."
"2026/01/22","IR","002","ZTL",85,"(10)   CAUTION: 10 TOWERS AT:"
"2026/01/22","IR","002","ZTL",86,"     (A)     200' AGL N36-16.93 W84-28.28;"
"2026/01/22","IR","002","ZTL",88,"     (B)     250' AGL N36-24.11 W83-38.40;"
"2026/01/22","IR","002","ZTL",89,"     (C)     250' AGL N36-12.08 W83-22.12;"
"2026/01/22","IR","002","ZTL",90,"     (D)     250' AGL N36-26.95 W83-35.98;"
"2026/01/22","IR","002","ZTL",91,"     (E)     250' AGL N36-32.06 W83-42.79;"
"2026/01/22","IR","002","ZTL",92,"     (F)     250' AGL N35-50.20 W83-09.30;"
"2026/01/22","IR","002","ZTL",93,"     (G)     250' AGL N35-46.10 W83-16.70;"
"2026/01/22","IR","002","ZTL",95,"     (H)     250' AGL N35-46.90 W83-14.80;"
"2026/01/22","IR","002","ZTL",100,"     (I)      250' AGL N35-48.01 W83-14.70;"
"2026/01/22","IR","002","ZTL",105,"     (J)     250' AGL N35-59.85 W83-13.17;"
"2026/01/22","IR","002","ZTL",110,"     (K)     200' AGL N36-29.18 W84-12.53."
"2026/01/22","IR","012","ZDC",5,"(1)   USERS MUST CONTACT 4 OSS/OSOS (DSN 722-2129/2124)"
"2026/01/22","IR","012","ZDC",10,"        FOR ADDITIONAL AVOIDANCE AREAS."
"2026/01/22","IR","012","ZDC",15,"(2)   ALTERNATE ENTRY: PT B."
"2026/01/22","IR","012","ZDC",20,"(3)   ALTERNATE EXIT: E, E1, FA"
"2026/01/22","IR","012","ZDC",25,"(4)   ALTERNATE EXIT E WILL BE FILED AND UTILIZED UNLESS"
"2026/01/22","IR","012","ZDC",30,"        PRIOR CLEARANCE HAS BEEN COORDINATED TO ENTER"
"2026/01/22","IR","012","ZDC",35,"        R-5314 OR R-5306A."
"2026/01/22","IR","012","ZDC",40,"(5)   IFR CLEARANCE MUST BE RECEIVED BEFORE DEPARTING"
"2026/01/22","IR","012","ZDC",45,"        R-5314 (WASHINGTON CENTER 281.42) OR R-5306A"
"2026/01/22","IR","012","ZDC",50,"        (CHERRY POINT 268.7)"
"2026/01/22","IR","012","ZDC",55,"(6)   USERS MUST MAKE THEIR SCHEDULED ENTRY TIME PLUS"
"2026/01/22","IR","012","ZDC",60,"        OR MINUS 5 MIN OR RESCHEDULE."
"2026/01/22","IR","012","ZDC",65,"(7)   AVOID TOWNS AND POPULATED AREAS BY 1 NM OR OVERFLY"
"2026/01/22","IR","012","ZDC",68,"        1000' AGL; AVOID AIRPORTS BY 3 NM OR OVERFLY 1500' AGL."
"2026/01/22","IR","012","ZDC",70,"        OVER SPARSELY POPULATED AREAS, AIRCRAFT MAY NOT BE"
"2026/01/22","IR","012","ZDC",80,"        OPERATED CLOSER THAN 500' TO ANY PERSON, VESSEL,"
"2026/01/22","IR","012","ZDC",85,"        VEHICLE OR STRUCTURE."
"2026/01/22","IR","012","ZDC",87,"(8)   CAUTION: NUMEROUS LARGE TOWERS ALONG ROUTE."
"2026/01/22","IR","012","ZDC",90,"(9)   A-B:"
"2026/01/22","IR","012","ZDC",95,"        (A) MONITOR WILMINGTON APPROACH ON 317.425 PASSING"
"2026/01/22","IR","012","ZDC",97,"               PT A."
"2026/01/22","IR","012","ZDC",100,"        (B) CROSSING: VR-1043 RIGHT TO LEFT."
"2026/01/22","IR","012","ZDC",110,"        (C) CROSSING: IR-062 LEFT TO RIGHT."
"2026/01/22","IR","012","ZDC",115,"        (D) TOWER: 200' AGL AT N34 36.5 W078 19.0."
"2026/01/22","IR","012","ZDC",120,"(10)  B-C:"
"2026/01/22","IR","012","ZDC",125,"        (A) CONTACT SEYMOUR JOHNSON APPROACH ON 273.6"
"2026/01/22","IR","012","ZDC",130,"               AT PT B."
"2026/01/22","IR","012","ZDC",135,"        (B) CROSSING: IR-062 RIGHT TO LEFT."
"2026/01/22","IR","012","ZDC",140,"        (C) TOWER: 800' AGL AT N34 55.5 W078 04.4."
"2026/01/22","IR","012","ZDC",145,"(11)  C-D:"
"2026/01/22","IR","012","ZDC",146,"        (A) CONTACT CHERRY POINT APPROACH ON 377.17"
"2026/01/22","IR","012","ZDC",148,"               PASSING PT D."
"2026/01/22","IR","012","ZDC",150,"        (B) CROSSING: VR-84 FLOWS SAME DIRECTION PT C TO PT F."
"2026/01/22","IR","012","ZDC",155,"        (C) CROSSING: VR-1046 LEFT TO RIGHT."
"2026/01/22","IR","012","ZDC",160,"        (D) TOWER: 500' AGL AT N35 08.5 W077 30.5."
"2026/01/22","IR","012","ZDC",165,"(12)  D-E:"
"2026/01/22","IR","012","ZDC",170,"        (A) CROSSING: VR-84 FLOWS SAME DIRECTION PT C TO PF F."
"2026/01/22","IR","012","ZDC",172,"        (B) AVOID: PAMLICO RIVER BY 2000' AGL FOR MODERATE"
"2026/01/22","IR","012","ZDC",173,"              BIRD HAZARD."
"2026/01/22","IR","012","ZDC",175,"        (C) AVOID: HORSE BREEDING RANCH AT N35 19.836 W077 07.21"
"2026/01/22","IR","012","ZDC",180,"               BY 1500' AGL OR 2NM."
"2026/01/22","IR","012","ZDC",185,"        (D) AVOID: NOISE SENSITIVE AREA AT N35 12.8 W077 11.3 BY"
"2026/01/22","IR","012","ZDC",190,"              1000' AGL OR 2NM."
"2026/01/22","IR","012","ZDC",195,"        (E) AVOID: WATER TREATMENT PLANT AT N35 10.5 W077 13.7"
"2026/01/22","IR","012","ZDC",200,"              BY 2000' AGL OR 1NM FOR MODERATE BIRD HAZARD."
"2026/01/22","IR","012","ZDC",205,"        (F) AVOID: FISH FARMS AT N35 12.5 W077 20.0 BY 2000' AGL"
"2026/01/22","IR","012","ZDC",210,"              OR 1NM FOR MODERATE BIRD HAZARD."
"2026/01/22","IR","012","ZDC",215,"        (G) CROSSING: VR-1046 LEFT TO RIGHT."
"2026/01/22","IR","012","ZDC",220,"(13) E-F:"
"2026/01/22","IR","012","ZDC",225,"        (A) CROSSING: VR-84 FLOWS SAME DIRECTION PT C TO PT F."
"2026/01/22","IR","012","ZDC",230,"(14) F-G:"
"2026/01/22","IR","012","ZDC",235,"        (A) AVOID: OVERFLY COASTAL REGIONS BY 1000' AGL."
"2026/01/22","IR","012","ZDC",240,"        (B) AVOID: PUNGO RIVER BY 2000' AGL FOR"
"2026/01/22","IR","012","ZDC",245,"              MODERATE BIRD HAZARD."
"2026/01/22","IR","012","ZDC",250,"(15) G-H, E1, FA:"
"2026/01/22","IR","012","ZDC",255,"        (A) MINIMUM EXIT ALTITUDE FOR ALTERNATE"
"2026/01/22","IR","012","ZDC",260,"              EXIT ROUTE IS 1500' AGL."
"2026/01/22","IR","012","ZDC",265,"(16) CROSSING ROUTE INFORMATION:"
"2026/01/22","IR","012","ZDC",270,"        (A) VR-1043: CHERRY POINT MCAS: DSN 582-4040."
"2026/01/22","IR","012","ZDC",275,"        (B) VR-1046: CHERRY POINT MCAS: DSN 582-4040."
"2026/01/22","IR","012","ZDC",280,"        (C) IR-062: OCEANA NAS: 433-1228."
"2026/01/22","IR","012","ZDC",285,"        (D) VR-084: SEYMOUR JOHNSON AFB: DSN 722-2129."
"2026/01/22","IR","016","ZJX",5,"(1)   TIE-IN FSS: MACON (MCN)."
"2026/01/22","IR","016","ZJX",10,"(2)   CROSS A AT 2000' MSL, MAINTAIN 2000' MSL UNTIL SOUTH OF"
"2026/01/22","IR","016","ZJX",15,"        OCILLA, GA."
"2026/01/22","IR","016","ZJX",20,"(3)   ALTERNATE ENTRY: D."
"2026/01/22","IR","016","ZJX",25,"(4)   ALTERNATE EXIT: D AND F."
"2026/01/22","IR","016","ZJX",30,"(5)   ROUTE SEGMENT FROM F TO J IS AUTHORIZED ONLY FOR AIRCRAFT"
"2026/01/22","IR","016","ZJX",35,"        SCHEDULED TO ENTER R-2903, R-2906 OR R-2907."
"2026/01/22","IR","016","ZJX",40,"(6)   CONTACT VALDOSTA APP CON 285.6 PRIOR TO B FOR CLEARANCE"
"2026/01/22","IR","016","ZJX",45,"        INTO MOODY 2 MOA."
"2026/01/22","IR","016","ZJX",50,"(7)   MANEUVERING BETWEEN C AND D IS PERMITTED WHEN APPROVED"
"2026/01/22","IR","016","ZJX",51,"        BY VALDOSTA APP CON."
"2026/01/22","IR","016","ZJX",53,"(8)   CLIMB TO 1000' MSL APPROACHING I-75 PRIOR TO E. MAINTAIN"
"2026/01/22","IR","016","ZJX",54,"        1000' AGL MINIMUM UNTIL REQUIRED TO CLIMB AT G."
"2026/01/22","IR","016","ZJX",55,"(9)   ALTITUDES UP TO 6000' MSL FOR MANEUVERS BETWEEN E AND F"
"2026/01/22","IR","016","ZJX",60,"        ARE AVAILABLE WHEN APPROVED BY JACKSONVILLE CENTER."
"2026/01/22","IR","016","ZJX",65,"(10) CONTACT JACKSONVILLE CENTER 385.6 FOR CLEARANCE TO"
"2026/01/22","IR","016","ZJX",70,"        MANEUVER BETWEEN E AND F."
"2026/01/22","IR","016","ZJX",75,"(11) CROSS G AT 4000' MSL OR AS ASSIGNED."
"2026/01/22","IR","016","ZJX",80,"(12) CAUTION: IR-023 CROSSES IR-016 FROM NORTH TO SOUTH AT H."
"2026/01/22","IR","016","ZJX",85,"        CALL CHERRY POINT MCAS, DSN 582-4040/4041 TO DECONFLICT."
"2026/01/22","IR","016","ZJX",90,"(13) ROUTE ENTRY/EXIT TIMES MUST BE MET PLUS/MINUS 5 MINUTES OR"
"2026/01/22","IR","016","ZJX",95,"        ROUTE MUST BE RESCHEDULED."
"2026/01/22","IR","016","ZJX",115,"(14) USE EXTREME CAUTION: VR-1066 (23 OSS/OSOS DSN"
"2026/01/22","IR","016","ZJX",120,"        460-7831) AND VR-1002/1003 (FACSFAC JAX DSN"
"2026/01/22","IR","016","ZJX",121,"         942-2004/2005) RUN OPPOSITE DIRECTION BETWEEN POINTS A"
"2026/01/22","IR","016","ZJX",125,"         AND D."
"2026/01/22","IR","017","ZJX ZTL",5,"(1)   NOISE SENSITIVE AREA A-B; MAINTAIN 1000' AGL MINIMUM UNTIL"
"2026/01/22","IR","017","ZJX ZTL",10,"        13 NM PAST A."
"2026/01/22","IR","017","ZJX ZTL",15,"(2)   AVOID SCHOOLS/EUFAULA N31-52.4 W85-08.0/N31-51.0"
"2026/01/22","IR","017","ZJX ZTL",20,"        W85-09.5."
"2026/01/22","IR","017","ZJX ZTL",25,"(3)   HAZARD B-C; HIGH DENSITY HELIO TRAFFIC THIS LEG. REMAIN EAST OF"
"2026/01/22","IR","017","ZJX ZTL",30,"        CHATTAHOOCHEE RIVER TO THE MAXIMUM EXTENT POSSIBLE."
"2026/01/22","IR","017","ZJX ZTL",35,"        NOISE SENSITIVE AREA B-C; MAINTAIN 1000' AGL MINIMUM FROM"
"2026/01/22","IR","017","ZJX ZTL",40,"        10 NM NORTH OF C TO C. AVOID (HORSE FARM) N31-17.0"
"2026/01/22","IR","017","ZJX ZTL",45,"        W85-03.0 BY 1500' AGL OR 4 NM. NO OVERFLIGHT (FARLEY"
"2026/01/22","IR","017","ZJX ZTL",50,"        NUCLEAR PLANT) N31-13.4 W85-06.7."
"2026/01/22","IR","017","ZJX ZTL",55,"(4)   HAZARD D-E; AVOID (ARPT/ALTHA FL) N30-53.3 W85-04.2 BY"
"2026/01/22","IR","017","ZJX ZTL",60,"        1500' AGL OR 3 NM."
"2026/01/22","IR","017","ZJX ZTL",65,"(5)   HAZARD E-F; AVOID (CROP DUSTING AIRSTRIPS) N30-36.1"
"2026/01/22","IR","017","ZJX ZTL",70,"        W85-05.5/N30-36.1 W85-08.4."
"2026/01/22","IR","017","ZJX ZTL",75,"(6)   HAZARD F-G; TOWER 499' AGL N30-36.6 W85-27.1."
"2026/01/22","IR","017","ZJX ZTL",80,"(7)   ALTERNATE EXIT AB SHALL BE FILED AND UTILIZED UNLESS SCHEDULED"
"2026/01/22","IR","017","ZJX ZTL",85,"        INTO R-2914. FILE A-AB AS IR-017A. ALTERNATE EXIT LOST"
"2026/01/22","IR","017","ZJX ZTL",90,"        COMMUNICATIONS PROCEDURE: PASS AB, CLIMB TO 10,000' MSL"
"2026/01/22","IR","017","ZJX ZTL",95,"        ON MAI 139 LEFT TURN ON COURSE."
"2026/01/22","IR","017","ZJX ZTL",100,"(8)   CONTACT ATLANTA LARGE TRACON APP CON 278.5 FOR ENTRY."
"2026/01/22","IR","017","ZJX ZTL",105,"(9)   CONTACT CAIRNS APP CON 234.4 AT B."
"2026/01/22","IR","017","ZJX ZTL",110,"(10) CONTACT TALLAHASSEE APP CON ON 254.3/317.4 AT D FOR EXIT"
"2026/01/22","IR","017","ZJX ZTL",115,"        CLEARANCE IF UTILIZING ALTERNATE EXIT AB."
"2026/01/22","IR","017","ZJX ZTL",120,"(11) CONTACT TYNDALL APP CON ON 373.0 AT E."
"2026/01/22","IR","017","ZJX ZTL",125,"(12) CONTACT EGLIN MISSION CONTROL ON 262.3 PRIOR TO G FOR"
"2026/01/22","IR","017","ZJX ZTL",130,"        CLEARANCE INTO R-2914A."
"2026/01/22","IR","017","ZJX ZTL",135,"(13) CONCENTRATED BIRD ACTIVITY ALONG THE CHATTAHOOCHEE RIVER."
"2026/01/22","IR","017","ZJX ZTL",140,"        CROP DUSTING ACTIVITY IS INTENSE DURING SUMMER AND EARLY FALL."
"2026/01/22","IR","017","ZJX ZTL",145,"(14) CAUTION: THIS ROUTE CROSSES, OVERLAPS OR RUNS PARALLEL WITH"
"2026/01/22","IR","017","ZJX ZTL",150,"        IR-015 AND VR-1065."
"2026/01/22","IR","017","ZJX ZTL",155,"(15) SPECIAL ACTIVITY HOURS OF OPERATION: 0700-1730 CENTRAL TIME"
"2026/01/22","IR","017","ZJX ZTL",160,"        TUE-FRI, OCCASIONAL WEEKENDS. TO SCHEDULE USE ON SAT, SUN,"
"2026/01/22","IR","017","ZJX ZTL",165,"        MON OR TUE AM, COORDINATE PRIOR TO 1600 CENTRAL TIME ON"
"2026/01/22","IR","017","ZJX ZTL",170,"        PREVIOUS FRI."
"2026/01/22","IR","017","ZJX ZTL",190,"(16) REVIEW ROUTE SURVEY AT HTTPS://INTELSHARE.INTELINK.GOV/"
"2026/01/22","IR","017","ZJX ZTL",192,"SITES/ANGSAFETY1/187FW/LISTS/TOOLS/ATTACHMENTS/"
"2026/01/22","IR","017","ZJX ZTL",195,"35IR-017%20COMBINED.PDF"
"2026/01/22","IR","018","ZJX",5,"(1) ALTERNATE ENTRY: F."
"2026/01/22","IR","018","ZJX",10,"(2) ALTERNATE EXIT: E."
"2026/01/22","IR","018","ZJX",15,"(3) ALTITUDES ASSIGNED BY ATC."
"2026/01/22","IR","018","ZJX",20,"(4) RADAR SYSTEM NAVIGATION (SN)."
"2026/01/22","IR","019","ZJX",5,"(1) ALTITUDES ASSIGNED BY ATC."
"2026/01/22","IR","019","ZJX",10,"(2) RADAR VECTOR FROM K TO DESTINATION OR MAY CONTINUE TO"
"2026/01/22","IR","019","ZJX",15,"      R-2903B."
"2026/01/22","IR","019","ZJX",20,"(3) RADAR NAVIGATION (SN)."
"2026/01/22","IR","020","ZJX ZMA",20,"(1)   RADAR SYSTEM NAVIGATION (SN)."
"2026/01/22","IR","021","ZJX ZTL",2,"(1)   SCHEDULING ACTIVITY OPERATING HOURS: 1200-2200Z++"
"2026/01/22","IR","021","ZJX ZTL",3,"        MON-FRI. TO SCHEDULE USE ON SAT, SUN OR PRIOR TO 1430Z++"
"2026/01/22","IR","021","ZJX ZTL",4,"        ON MON, CALL PRIOR TO 2200Z++ ON PREVIOUS FRIDAY."
"2026/01/22","IR","021","ZJX ZTL",5,"(2)   REQUEST 10,000' MSL FROM A TO B, 7,000' MSL FROM B TO L."
"2026/01/22","IR","021","ZJX ZTL",10,"(3)   ADVISE CONTROLLER WHEN MAKING TURNS IN EXCESS OF 20"
"2026/01/22","IR","021","ZJX ZTL",15,"        DEGREES."
"2026/01/22","IR","021","ZJX ZTL",20,"(4)   RADAR SYSTEM NAVIGATION (SN)."
"2026/01/22","IR","021","ZJX ZTL",25,"(5)   ALTERNATE ENTRY/EXIT: F."
"2026/01/22","IR","021","ZJX ZTL",30,"(6)   CONFLICT: (DECONFLICT WITH THE APPROPRIATE SCHEDULING"
"2026/01/22","IR","021","ZJX ZTL",35,"        ACTIVITY)"
"2026/01/22","IR","021","ZJX ZTL",40,"        (A)  CROSSES IR-015 BETWEEN POINTS C-D AND E-F"
"2026/01/22","IR","021","ZJX ZTL",45,"        (B)  CROSSES IR-019 BETWEEN POINTS F-G."
"2026/01/22","IR","022","ZDC ZTL",1,"(1) SCHEDULING ACTIVITY OPERATING HOURS: 1200-2200Z++"
"2026/01/22","IR","022","ZDC ZTL",2,"      MON-FRI. TO SCHEDULE USE ON SAT, SUN OR PRIOR TO 1430Z++"
"2026/01/22","IR","022","ZDC ZTL",4,"      ON MON, CALL PRIOR TO 2200Z++ ON PREVIOUS FRIDAY."
"2026/01/22","IR","022","ZDC ZTL",5,"(2) REQUEST 10,000' MSL FROM A TO F."
"2026/01/22","IR","022","ZDC ZTL",20,"(3) ADVISE ATC WHEN MAKING A TURN IN EXCESS OF 20 DEGREES"
"2026/01/22","IR","022","ZDC ZTL",25,"     WITHIN THE ROUTE WIDTH."
"2026/01/22","IR","022","ZDC ZTL",30,"(4) RADAR SYSTEM NAVIGATION (SN)."
"2026/01/22","IR","022","ZDC ZTL",35,"(5) ALTERNATE ENTRY POINT: C"
"2026/01/22","IR","022","ZDC ZTL",40,"(6) ALTERNATE EXIT: G AND H"
"2026/01/22","IR","022","ZDC ZTL",45,"(7) CONFLICTS: (DECONFLICT WITH THE APPROPRIATE SCHEDULING"
"2026/01/22","IR","022","ZDC ZTL",50,"      ACTIVITY)"
"2026/01/22","IR","022","ZDC ZTL",51,"      (A) OPPOSITE DIRECTION TO IR-079 BETWEEN POINTS E AND F."
"2026/01/22","IR","022","ZDC ZTL",55,"             PARALLELS OPPOSITE DIRECTION FROM POINTS F TO G."
"2026/01/22","IR","022","ZDC ZTL",60,"      (B) OPPOSITE DIRECTION TO IR-080 BETWEEN POINTS E AND F."
"2026/01/22","IR","022","ZDC ZTL",65,"             PARALLELS OPPOSITE DIRECTION FROM POINTS F TO G."
"2026/01/22","IR","022","ZDC ZTL",70,"      (C) CROSSES IR-081 BETWEEN POINTS D AND E."
"2026/01/22","IR","022","ZDC ZTL",71,"      (D) CROSSES IR-082 BETWEEN POINTS F AND G."
"2026/01/22","IR","022","ZDC ZTL",77,"      (E) OPPOSITE DIRECTION TO IR-083 FROM POINTS C TO D. CROSSES"
"2026/01/22","IR","022","ZDC ZTL",80,"             BETWEEN POINTS F AND G AND AT POINT I."
"2026/01/22","IR","022","ZDC ZTL",81,"      (F) CROSSES IR-723 BETWEEN POINTS D AND E."
"2026/01/22","IR","022","ZDC ZTL",85,"      (G) CROSSES IR-726 BETWEEN POINTS D AND E."
"2026/01/22","IR","023","ZJX",5,"(1)   THIS ROUTE IS SCHEDULED THROUGH THE RANGE MANAGEMENT DEPARTMENT,"
"2026/01/22","IR","023","ZJX",7,"MISSION COORDINATION/FUTURE OPERATIONS OFFICE (MC/FO)"
"2026/01/22","IR","023","ZJX",10,"BETWEEN THE HOURS OF 0700-1600 MON-FRI.  THE ROUTE SHALL BE SCHEDULED"
"2026/01/22","IR","023","ZJX",15,"A MINIMUM OF TWO-HOURS PRIOR TO USE FOR SAME DAY OPERATIONS."
"2026/01/22","IR","023","ZJX",20,"IF SCHEDULING THE ROUTE ON AN OBSERVED FEDERAL HOLIDAY (MON-FRI),"
"2026/01/22","IR","023","ZJX",25,"SCHEDULE  WITH MC/FO TWO WORKING DAYS PRIOR."
"2026/01/22","IR","023","ZJX",30,"(2)    ALTERNATE ENTRY: D."
"2026/01/22","IR","023","ZJX",35,"(3)    ALTERNATE EXIT: B, D AND G."
"2026/01/22","IR","023","ZJX",40,"(4)    WHEN TERRAIN FOLLOWING AVOID REEDSVILLE, GA ARPT N32-04"
"2026/01/22","IR","023","ZJX",45,"W82-09 BY 5 NM; JESSUP, GA ARPT N31-33 W81-53 BY 7"
"2026/01/22","IR","023","ZJX",50,"NM. MAINTAIN 2000' AGL OVER OKEFENOKEE NATIONAL WILDLIFE REFUGE."
"2026/01/22","IR","023","ZJX",60,"(5)    AVOID R-2907B."
"2026/01/22","IR","023","ZJX",65,"(6)    IF NOT SCHEDULED INTO R-2910, EXIT AT G."
"2026/01/22","IR","023","ZJX",70,"(7)    MINIMUM ALT 100' AGL FOR TERRAIN FOLLOWING."
"2026/01/22","IR","023","ZJX",75,"(8)    RADAR SYSTEMS NAVIGATION (SN)."
"2026/01/22","IR","023","ZJX",80,"(9)    BETWEEN C-D ANTENNA 1032' AGL N31-09.4 W81-58.3."
"2026/01/22","IR","023","ZJX",85,"(10)  AT B CONTACT ZJX ARTCC 290.4."
"2026/01/22","IR","023","ZJX",90,"(11)  ANTENNA 1 NM NE OF A AT 370' AGL (595' MSL) N32-26.7  W81-58.1."
"2026/01/22","IR","023","ZJX",95,"(12)  CLIMB TO AND MAINTAIN 4000' MSL APPROACHING TAYLOR (TAY) VORTAC PRIOR TO"
"2026/01/22","IR","023","ZJX",100,"REACHING POINT E."
"2026/01/22","IR","023","ZJX",101,"(13)  CAUTION: NUMEROUS LARGE TOWERS ALONG THE ROUTE."
"2026/01/22","IR","023","ZJX",105,"(14)  CAUTION: ENSURE RESPECTIVE MISSION PLANNING SYSTEMS AND AERONAUTICAL"
"2026/01/22","IR","023","ZJX",110,"CHARTS ARE UPDATED WITH THE MOST CURRENT VERTICAL OBSTRUCTION DATA, WHICH"
"2026/01/22","IR","023","ZJX",115,"CAN BE DOWNLOADED FROM THE NGA WEBDVOF (DIGITAL VERTICAL OBSTRUCTION FILE)"
"2026/01/22","IR","023","ZJX",120,"PREDEFINED QUERIES SITE AT HTTPS://DVOF.GEOINTEL.NGA.MIL/DVOFPRE-NUM.CFM."
"2026/01/22","IR","023","ZJX",125,"FOR ASSISTANCE WITH THE NGA WEBDVOF WEBSITE, CONTACT COMM 314-676-5439 /"
"2026/01/22","IR","023","ZJX",130,"DSN: 846-5439 OR COMM 636-321-5207 / DSN: 369-5207"
"2026/01/22","IR","023","ZJX",135,"(15)  CAUTION: IR-016 CROSSES IR-023 FROM WEST TO EAST BETWEEN POINTS F & G.  CALL"
"2026/01/22","IR","023","ZJX",140,"347 OSS/OKSA, MOODY AFB, GA DSN 460-4131, C229-257-4131 TO DECONFLICT."
"2026/01/22","IR","023","ZJX",145,"(16) CAUTION: IR-019 CROSSES IR-023 FROM EAST TO WEST BETWEEN POINTS E & F AND FROM"
"2026/01/22","IR","023","ZJX",150,"SOUTHEAST TO NORTHEAST BETWEEN POINTS F & G. CALL FACSFAC JAX, NAS JACKSONVILLE,"
"2026/01/22","IR","023","ZJX",155,"FL DSN 942-2004/2005, C904-542-2004/2005  TO DECONFLICT."
"2026/01/22","IR","023","ZJX",160,"(17) CAUTION: IR-032 CROSSES IR-023 FROM WEST TO EAST BETWEEN POINTS F & G."
"2026/01/22","IR","023","ZJX",165,"CALL FACSFAC JAX, NAS JACKSONVILLE, FL DSN 942-2004/2005, C904-542-2004/2005 TO DECONFLICT."
"2026/01/22","IR","023","ZJX",170,"(18) CAUTION: IR-033 CROSSES IR-023 FROM EAST TO WEST BETWEEN POINTS F & G."
"2026/01/22","IR","023","ZJX",175,"CALL FACSFAC JAX, NAS JACKSONVILLE, FL DSN 942-2004/2005, C904-542-2004/2005 TO DECONFLICT."
"2026/01/22","IR","030","ZHU ZJX ZTL",5,"(1) FOR USE IN VMC ONLY."
"2026/01/22","IR","030","ZHU ZJX ZTL",10,"(2) ROUTE CONTINUATION FROM M TO E AUTHORIZED."
"2026/01/22","IR","030","ZHU ZJX ZTL",15,"(3) ALTERNATE ENTRY/EXIT: A, B AND P."
"2026/01/22","IR","030","ZHU ZJX ZTL",20,"(4) ALTITUDE RESTRICTIONS BETWEEN D AND E 500' AGL-4000' MSL"
"2026/01/22","IR","030","ZHU ZJX ZTL",25,"      SAT-SUN, OR MON-FRI 1100-1300L, WITH PRIOR COORDINATION."
"2026/01/22","IR","030","ZHU ZJX ZTL",30,"      OTHERWISE ALTITUDE RESTRICTION 1500' AGL-4000' MSL."
"2026/01/22","IR","030","ZHU ZJX ZTL",35,"(5) ALTERNATE ENTRY/EXIT: D AND N."
"2026/01/22","IR","031","ZHU ZJX ZTL",5,"(1)   FOR USE IN VMC ONLY."
"2026/01/22","IR","031","ZHU ZJX ZTL",10,"(2)   ROUTE CONTINUATION FROM M TO E AUTHORIZED."
"2026/01/22","IR","031","ZHU ZJX ZTL",15,"(3)   ALTERNATE ENTRY/EXIT: A, B AND P."
"2026/01/22","IR","031","ZHU ZJX ZTL",20,"(4)   ALTITUDE RESTRICTIONS BETWEEN M AND N 500' AGL-4000' MSL"
"2026/01/22","IR","031","ZHU ZJX ZTL",25,"        SAT-SUN, OR MON-FRI 1100-1300L, WITH PRIOR COORDINATION."
"2026/01/22","IR","031","ZHU ZJX ZTL",30,"        OTHERWISE ALTITUDE RESTRICTIONS 1500' AGL-4000' MSL."
