"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","AGENCY_TYPE","AGENCY_NAME","STATION","ADDRESS","CITY","STATE_CODE","ZIP_CODE","COMMERCIAL_NO","DSN_NO","HOURS"
"2026/01/22","IR","048","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","049","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","049","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","050","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","050","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","051","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","051","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","053","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","053","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","055","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","055","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","056","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","056","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","057","ZJX ZTL","O","1 SOAOS/DOGR","HURLBURT FIELD","","","FL","32544","850-884-3366","579-3366",""
"2026/01/22","IR","057","ZJX ZTL","S1","1 SOAOS/DOGR","HURLBURT FIELD","","","FL","32544","850-884-3366","579-3366",""
"2026/01/22","IR","059","ZJX ZTL","O","1 SOAOS/DOGR","HURLBURT FIELD","","","FL","32544","850-884-3366","579-3366",""
"2026/01/22","IR","059","ZJX ZTL","S1","1 SOAOS/DOGR","HURLBURT FIELD","","","FL","32544","850-884-3366","579-3366",""
"2026/01/22","IR","062","ZDC","O","COMSTRKFIGHTWINGLANT","OCEANA NAS","","VIRGINIA BEACH","VA","23460","757-433-9141","433-9141",""
"2026/01/22","IR","062","ZDC","S1","FACSFAC  VACAPES","OCEANA NAS","","VIRGINIA BEACH","VA","23460","757-433-1228","433-1228","SEE GENERAL REMARKS"
"2026/01/22","IR","066","ZME ZTL","O","14 OSS/OSOP","COLUMBUS AFB","","","MS","39710-5000","662-434-2692/2579","742-2692/2579",""
"2026/01/22","IR","066","ZME ZTL","S1","50   FTS","","","COLUMBUS AFB","MS","39710","662-434-7734/7735","742-7734/7735",""
"2026/01/22","IR","067","ZME ZTL","O","14 OSS/OSOP","COLUMBUS AFB","","","MS","39710-5000","662-434-2692/2579","742-2692/2579",""
"2026/01/22","IR","067","ZME ZTL","S1","48  FTS","","","COLUMBUS AFB","MS","39710","662-434-7840/7847","742-7840/7847",""
"2026/01/22","IR","068","ZME","O","14  OSS  / OSOP","COLUMBUS AFB","","","MS","39710","662-434-2764","742-2764",""
"2026/01/22","IR","068","ZME","S1","48  FTS","","","COLUMBUS AFB","MS","39710","662-434-7840/7847","742-7840/7847",""
"2026/01/22","IR","070","ZFW ZME","O","14   OSS/ OSOP","","","COLUMBUS AFB","MS","39710-5000","662-434-2764","742-2764",""
"2026/01/22","IR","070","ZFW ZME","S1","48  FTS","","","COLUMBUS AFB","MS","39710","662-434-7840/7847","742-7840/7847",""
"2026/01/22","IR","077","ZME ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","077","ZME ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","078","ZME ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","078","ZME ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","079","ZID ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","079","ZID ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","080","ZDC ZID ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","080","ZDC ZID ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","081","ZDC ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","081","ZDC ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","082","ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","082","ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","083","ZDC ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","083","ZDC ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","090","","O","96 OSS/OSO","EGLIN AFB","505 N BARRANCAS AVE STE 213","","FL","32542-6818","850-882-8330","872-8330",""
"2026/01/22","IR","090","","S1","96 OSS/OSOS (JTTOCC)","EGLIN AFB","505 N BARRANCAS AVE STE 201","","FL","32542-6818","850-882-5800","872-5800",""
"2026/01/22","IR","091","ZME","O","14  OSS/ OSOP","","","COLUMBUS AFB","MS","39710-5000","662-434-3011/1221","742-3011/1221",""
"2026/01/22","IR","091","ZME","S1","50   FTS","","","COLUMBUS AFB","MS","39710","662-434-7734/7735","742-7734/7735",""
"2026/01/22","IR","103","ZFW","O","301  OG/SUA","NAS JRB","","FT WORTH","TX","76127","817-782-6903/6904/6905","739-6903/04/05",""
"2026/01/22","IR","103","ZFW","S1","301  OG/SUA","NAS JRB","","FT WORTH","TX","76127","817-782-6903/6904/6905","739-6903/04/05",""
"2026/01/22","IR","105","ZFW","O","301  OG/SUA","NAS JRB","","FT WORTH","TX","76127","817-782-6903/6904/6905","739-6903/04/05",""
"2026/01/22","IR","105","ZFW","S1","301  OG/SUA","NAS JRB","","FT WORTH","TX","76127","817-782-6903/6904/6905","739-6903/04/05",""
"2026/01/22","IR","107","ZAB","O","27 SOSS/OSA","CANNON AFB","201 S. CHINDIT AVE. BLDG 728 RM 112","CANNON AFB","NM","88103","C575-904-6497","640-6497","27SOSS.ATC.ORG@US.AF.MIL"
"2026/01/22","IR","107","ZAB","S1","27 SOAOS/RMO","CANNON AFB","205 S. CHINDIT AVE. BLDG 780 RM 119","CANNON AFB","NM","88103","C575-784-7634","681-7634","27SOAOS.RMO.GROUND@US.AF.MIL"
"2026/01/22","IR","109","ZAB ZDV","O","27 SOSS/OSA","CANNON AFB","201 S. CHINDIT AVE. BLDG 728 RM 112","CANNON AFB","NM","88103","C575-904-6497","640-6497","27SOSS.ATC.ORG@US.AF.MIL"
"2026/01/22","IR","109","ZAB ZDV","S1","27 SOAOS/RMO","CANNON AFB","205 S. CHINDIT AVE. BLDG 780 RM 119","CANNON AFB","NM","88103","C575-784-7634","681-7634","27SOAOS.RMO.GROUND@US.AF.MIL"
"2026/01/22","IR","111","ZAB","O","27 SOSS/OSA","CANNON AFB","201 S. CHINDIT AVE. BLDG 728 RM 112","CANNON AFB","NM","88103","C575-904-6497","640-6497","27SOSS.ATC.ORG@US.AF.MIL"
"2026/01/22","IR","111","ZAB","S1","27 SOAOS/RMO","CANNON AFB","205 S. CHINDIT AVE. BLDG 780 RM 119","CANNON AFB","NM","88103","C575-784-7634","681-7634","27SOAOS.RMO.GROUND@US.AF.MIL"
"2026/01/22","IR","112","ZAB ZDV","O","27 SOSS/OSA","CANNON AFB","201 S. CHINDIT AVE. BLDG 728 RM 112","CANNON AFB","NM","88103","C575-904-6497","640-6497","27SOSS.ATC.ORG@US.AF.MIL"
"2026/01/22","IR","112","ZAB ZDV","S1","27 SOAOS/RMO","CANNON AFB","205 S. CHINDIT AVE. BLDG 780 RM 119","CANNON AFB","NM","88103","C575-784-7634","681-7634","27SOAOS.RMO.GROUND@US.AF.MIL"
"2026/01/22","IR","113","ZAB","O","27 SOSS/OSA","CANNON AFB","201 S. CHINDIT AVE. BLDG 728 RM 112","CANNON AFB","NM","88103","C575-904-6497","640-6497","27SOSS.ATC.ORG@US.AF.MIL"
"2026/01/22","IR","113","ZAB","S1","27 SOAOS/RMO","CANNON AFB","205 S. CHINDIT AVE. BLDG 780 RM 119","CANNON AFB","NM","88103","C575-784-7634","681-7634","27SOAOS.RMO.GROUND@US.AF.MIL"
"2026/01/22","IR","117","ZFW ZME","O","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","117","ZFW ZME","S1","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","120","ZME","O","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","120","ZME","S1","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","121","ZFW ZME","O","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","121","ZFW ZME","S1","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","123","ZFW ZHU","O","12 OSS/OSAS","RANDOLPH AFB","BLDG 28 5TH STREET EAST","","TX","78150","","487-5580",""
"2026/01/22","IR","123","ZFW ZHU","S1","560 FTS","","1450 5TH STREET  EAST","RANDOLPH AFB","TX","78150-4333","210-652-3518","487-3518",""
"2026/01/22","IR","124","ZFW ZHU","O","301  OG/SUA","NAS FORT WORTH","1425 CARSWELL AVE","","TX","76127","DSN: 739-6903/6904/6905","",""
"2026/01/22","IR","124","ZFW ZHU","S1","301  OG/SUA","NAS FORT WORTH","1425 CARSWELL AVE","","TX","76127","DSN: 739-6903/6904/6905","",""
"2026/01/22","IR","126","ZDV ZLA ZLC","O","57 OSS/OSOP","NELLIS AFB","4450 TYNDALL AVE","","NV","89191","702-652-7891","682-7891",""
"2026/01/22","IR","126","ZDV ZLA ZLC","S1","57 OSS/OSOS","NELLIS AFB","4450 TYNDALL AVE","","NV","89191","702-652-2040","682-2040",""
"2026/01/22","IR","127","ZFW ZHU","O","307 OSS/OSOR","BARKSDALE AFB","1333 TWINING DR","","LA","71110","318-529-3171","331-3171",""
"2026/01/22","IR","127","ZFW ZHU","S1","307 OSS/OSOR","BARKSDALE AFB","1333 TWINING DR","","LA","71110","318-529-3171","331-3171","SCHEDULING HOURS 0700-1530 CST"
"2026/01/22","IR","128","ZAB ZFW","O","7 OSS/OSOS","DYESS AFB","965 AVE D, BLDG 5202, RM 109","","TX","79607","325-696-3666","461-3666",""
"2026/01/22","IR","128","ZAB ZFW","S1","7 OSS/OSOS","DYESS AFB","965 AVE D-4 BLDG 5202","","TX","79607","325-696-3666/2877 325-280-8325","461-3666/2877",""
"2026/01/22","IR","129","ZFW ZHU","O","307 OSS/OSOR","BARKSDALE AFB","1333 TWINING DR","","LA","71110","318-529-3171","331-3171",""
"2026/01/22","IR","129","ZFW ZHU","S1","307 OSS/OSOR","BARKSDALE AFB","1333 TWINING DR","","LA","71110","318-529-3171","331-3171","SCHEDULING HOURS 0700-1530 CST"
"2026/01/22","IR","133","ZAB","O","54 OSS /OSP","","744 DELAWARE AVE","HOLLOMAN AFB","NM","88330-8014","575-572-2638","572-2638",""
"2026/01/22","IR","133","ZAB","S1","54 OSS/OSOS","HOLLOMAN AFB","744 DELAWARE AVE","","NM","88330-8014","575-572-3536","572-3536",""
"2026/01/22","IR","134","ZAB","O","54 OSS/OSP","","744 DELAWARE AVE.","HOLLOMAN AFB","NM","88330-8014","575-572-3244","572-3244",""
"2026/01/22","IR","134","ZAB","S1","54 OSS/OSOS","HOLLOMAN AFB","744 DELAWARE AVE","","NM","88330-8014","575-572-3536","572-3536",""
"2026/01/22","IR","135","ZHU","O","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-4075","876-4075",""
"2026/01/22","IR","135","ZHU","S1","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-6518/4075","876-6518/4075","0800-1530 CST, M-F (EXCLUDING HOLIDAYS OR FIELD CLSD BY NOTAM)"
"2026/01/22","IR","136","ZHU","O","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-4075","876-4075",""
"2026/01/22","IR","136","ZHU","S1","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-6518/4075","876-6518/4075","0800-1530 CST, M-F (EXCLUDING HOLIDAYS OR FIELD CLSD BY NOTAM)"
"2026/01/22","IR","137","ZAB ZDV","O","58 OSS/OSO","KIRTLAND AFB","4301 RANDOLPH AVE","","NM","87117-5835","505-853-5979/5888","263-5979/5888",""
"2026/01/22","IR","137","ZAB ZDV","S1","58 OSS/OSO","KIRTLAND AFB","4301 RANDOLPH AVE","","NM","87117-5835","505-853-5979/5888","263-5979/5888",""
"2026/01/22","IR","139","ZFW ZHU","O","301 OG/SUA","NAS JRB","","FORT WORTH","TX","76127","817-782-6903/04/05","739-6903/04/05",""
"2026/01/22","IR","139","ZFW ZHU","S1","301 OG/SUA","NAS JRB","","FORT WORTH","TX","76127","817-782-6903/04/05","739-6903/04/05",""
"2026/01/22","IR","142","ZAB","O","54 OSS /OSP","","744 DELAWARE AVE","HOLLOMAN AFB","NM","88330-8014","575-572-2638","572-2638",""
"2026/01/22","IR","142","ZAB","S1","54 OSS/OSOS","HOLLOMAN AFB","744 DELAWARE AVE","","NM","88330-8014","575-572-3536","572-3536",""
"2026/01/22","IR","145","ZFW ZKC","O","71 OSS","VANCE AFB","301 GRITZ ST","","OK","73705-5202","580-213-6276","448-6276","VANCEAIRSPACE@US.AF.MIL"
"2026/01/22","IR","145","ZFW ZKC","S1","71 OSS","","301 GRITZ ST","VANCE AFB","OK","73705-5202","580-213-6276/7820","448-6276/7820",""
"2026/01/22","IR","146","ZKC","O","71 OSS","","301 GRITZ ST","VANCE AFB","OK","73705-5202","580-213-6276/7820","448-6276/7820",""
"2026/01/22","IR","146","ZKC","S1","71 OSS","","301 GRITZ ST","VANCE AFB","OK","73705-5202","580-213-6276/7820","448-6276/7820",""
"2026/01/22","IR","147","ZHU","O","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-4075","876-4075",""
"2026/01/22","IR","147","ZHU","S1","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-6518/4075","876-6518/4075","0800-1530 CST, M-F (EXCLUDING HOLIDAYS OR FIELD CLSD BY NOTAM)"
"2026/01/22","IR","148","ZHU","O","COMTRAWING TWO","NAS KINGSVILLE","","","TX","78363","","876-6518",""
"2026/01/22","IR","148","ZHU","S1","COMTRAWING TWO","NAS KINGSVILLE","","","TX","78363","","876-6518",""
"2026/01/22","IR","149","ZHU","O","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-4075","876-4075",""
"2026/01/22","IR","149","ZHU","S1","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-6518/4075","876-6518/4075","0800-1530 CST, M-F (EXCLUDING HOLIDAYS OR FIELD CLSD BY NOTAM)"
"2026/01/22","IR","154","ZAB ZFW","O","97 OSS/DOA","ALTUS AFB","101 SOUTH 6TH STREET, BDG 225","","OK","73521","580-481-6098","866-6098",""
"2026/01/22","IR","154","ZAB ZFW","S1","58TH AS/DOK","ALTUS AFB","400 NORTH SIXTH STREET, BLDG 164","","OK","73523","580-481-6002/5529/7490","866-6002/5529/7490",""
"2026/01/22","IR","155","ZAB ZFW","O","97 OSS / DOA","","101 SOUTH 6TH STREET, BDG 225","ALTUS AFB","OK","73521","580-481-6098","866-6098",""
"2026/01/22","IR","155","ZAB ZFW","S1","97 OSS / OSK","ALTUS AFB","101 S SIXTH STREET, BDG 225","","OK","73521","580-481-7422/1375/7490","866-7422/1375/7490",""
"2026/01/22","IR","164","ZFW ZME","O","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","164","ZFW ZME","S1","188TH WING - AR ANG","","4850 LEIGH AVE","FORT SMITH","AR","72903","479-573-5502","778-5502",""
"2026/01/22","IR","166","ZHU","O","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-4075","876-4075",""
"2026/01/22","IR","166","ZHU","S1","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-6518/4075","876-6518/4075","0800-1530 CST, M-F (EXCLUDING HOLIDAYS OR FIELD CLSD BY NOTAM)"
"2026/01/22","IR","167","ZHU","O","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-4075","876-4075",""
"2026/01/22","IR","167","ZHU","S1","TRAINING AIR WING TWO (TW-2)","NAS KINGSVILLE","","","TX","78363","361-516-6518/4075","876-6518/4075","0800-1530 CST, M-F (EXCLUDING HOLIDAYS OR FIELD CLSD BY NOTAM)"
"2026/01/22","IR","169","ZFW ZHU","O","47 OSS/OSOR","LAUGHLIN AFB","570 2ND ST., SUITE. 6","","TX","78843","830-298-5864","732-5864",""
"2026/01/22","IR","169","ZFW ZHU","S1","87 FTS/DOS","LAUGHLIN AFB","570 2ND ST","","TX","78843","830-298-4690/5484","732-4690/5484","SCHEDULING HRS, 0730 1630 MON FRI (EXCLUDING HOL"
"2026/01/22","IR","170","ZHU","O","47 OSS/OSOR","","570 2ND STREET, STE. 6","LAUGHLIN AFB","TX","78843-5222","830-298-5864","732-5864",""
"2026/01/22","IR","170","ZHU","S1","87 FTS/DOS","LAUGHLIN AFB","570 2ND ST","","TX","78843","830-298-4690/5484","732-4690/5484","SCHEDULING HRS, 0730 1630 MON FRI (EXCLUDING HOL"
"2026/01/22","IR","171","ZFW ZKC","O","71 OSS","VANCE AFB","301 GRITZ ST","","OK","73705-5202","580-213-6276","448-6276","VANCEAIRSPACE@US.AF.MIL"
