"EFF_DATE","COUNTRY_CODE","LOC_ID","REGION_CODE","STATE","CITY","LID_GROUP","FAC_TYPE","FAC_NAME","RESP_ARTCC_ID","ARTCC_COMPUTER_ID","FSS_ID"
"2026/02/19","US","00TA","ASW","TX","PORT ARTHUR","LANDING FACILITY","H","SABINE PILOTS","ZHU","ZCH","CXO"
"2026/02/19","US","00TN","ASO","TN","LEBANON","LANDING FACILITY","A","THOMPSON FARMS","ZAU","ZCG","BNA"
"2026/02/19","US","00TS","ASW","TX","EVERMAN","LANDING FACILITY","A","ALPINE RANGE","ZFW","ZCF","FTW"
"2026/02/19","US","00TT","ASW","TX","GOODLETT","LANDING FACILITY","A","NOWHERE","ZFW","ZCF","FTW"
"2026/02/19","US","00TX","ASW","TX","VAN","LANDING FACILITY","A","DELVA FLD","ZFW","ZCF","FTW"
"2026/02/19","US","00U","ANM","MT","HARDIN","LANDING FACILITY","A","BIG HORN COUNTY","ZLC","ZCU","GTF"
"2026/02/19","US","00U","ANM","MT","HARDIN","WEATHER SENSOR","AWOS-3","","","",""
"2026/02/19","US","00U","ANM","MT","HARDIN","WEATHER REPORTING STATION","WXL","","","",""
"2026/02/19","US","00VA","AEA","VA","ALTON","LANDING FACILITY","A","VAUGHAN","ZDC","ZCW","DCA"
"2026/02/19","US","00VI","AEA","VA","HILLSVILLE","LANDING FACILITY","A","GROUNDHOG MOUNTAIN","ZTL","ZCT","DCA"
"2026/02/19","US","00W","ANM","WA","COLFAX","LANDING FACILITY","A","LOWER GRANITE STATE","ZSE","ZCS","SEA"
"2026/02/19","US","00WA","ANM","WA","LONGBRANCH","LANDING FACILITY","A","HOWELL","ZSE","ZCS","SEA"
"2026/02/19","US","00WI","AGL","WI","WAUPACA","LANDING FACILITY","A","NORTHERN LITE","ZMP","ZCP","GRB"
"2026/02/19","US","00WN","ANM","WA","ASOTIN","LANDING FACILITY","A","HAWKS RUN","ZSE","ZCS","SEA"
"2026/02/19","US","00WV","AEA","WV","BEVERLY","LANDING FACILITY","A","LAZY J AERODROME","ZDC","ZCW","EKN"
"2026/02/19","US","00WY","ANM","WY","CASPER","LANDING FACILITY","H","MOUNTAIN VIEW RGNL HOSPITAL","ZDV","ZCD","CPR"
"2026/02/19","US","00XA","ASW","TX","HEMPSTEAD","LANDING FACILITY","A","WEESKI RANCH","ZHU","ZCH","CXO"
"2026/02/19","US","00XS","ASW","TX","BENAVIDES","LANDING FACILITY","H","SWEDEN RANCH","ZHU","ZCH","SJT"
"2026/02/19","US","00Z","AWP","HI","NIHOA ISLAND","SPECIAL USE RESOURCE","GEOGRAPHIC REFERENCE POINT","GEOREF","","",""
"2026/02/19","US","01A","AAL","AK","PURKEYPILE","LANDING FACILITY","A","PURKEYPILE","ZAN","ZAN","FAI"
"2026/02/19","US","01AA","AAL","AK","CROOKED CREEK","LANDING FACILITY","A","DONLIN CREEK","ZAN","ZAN","ENA"
"2026/02/19","US","01AK","AAL","AK","SEWARD","LANDING FACILITY","H","PROVIDENCE SEWARD MEDICAL CENTER","ZAN","ZAN","ENA"
"2026/02/19","US","01AL","ASO","AL","CLANTON","LANDING FACILITY","A","WARE ISLAND","ZTL","ZCT","ANB"
"2026/02/19","US","01AN","AAL","AK","WASILLA","LANDING FACILITY","A","MC HONE HEIGHTS","ZAN","ZAN","ENA"
"2026/02/19","US","01AZ","AWP","AZ","CAMP VERDE","LANDING FACILITY","H","YAT","ZAB","ZCA","PRC"
"2026/02/19","US","01B","AGL","IN","WARSAW","LANDING FACILITY","C","TIPPECANOE","ZAU","ZCG","HUF"
"2026/02/19","US","01CA","AWP","CA","HESPERIA","LANDING FACILITY","H","LUGO SUBSTATION","ZLA","ZCL","RAL"
"2026/02/19","US","01CL","AWP","CA","PLACERVILLE","LANDING FACILITY","A","SWANSBORO COUNTRY","ZOA","ZCO","RIU"
"2026/02/19","US","01CN","AAL","AK","TALKEETNA","LANDING FACILITY","A","COLEMAN HOMESTEAD","ZAN","ZAN","ENA"
"2026/02/19","US","01CO","ANM","CO","LEADVILLE","LANDING FACILITY","H","ST VINCENT GENERAL HOSPITAL","ZDV","ZCD","DEN"
"2026/02/19","US","01CT","ANE","CT","BERLIN","LANDING FACILITY","H","BERLIN FAIRGROUNDS","ZBW","ZCB","BDR"
"2026/02/19","US","01D","AGL","IN","SYRACUSE","LANDING FACILITY","C","LAKE WAWASEE","ZAU","ZCG","HUF"
"2026/02/19","US","01E","AGL","IN","ANGOLA","LANDING FACILITY","C","LAKE JAMES","ZAU","ZCG","HUF"
"2026/02/19","US","01F","AGL","IN","HAMILTON","LANDING FACILITY","C","HAMILTON LAKE","ZAU","ZCG","HUF"
"2026/02/19","US","01FA","ASO","FL","ORLANDO","LANDING FACILITY","A","RYBOLT RANCH","ZJX","ZCJ","PIE"
"2026/02/19","US","01FD","ASO","FL","ALTAMONTE SPRINGS","LANDING FACILITY","H","ADVENT HEALTH ALTAMONTE SPRINGS","ZJX","ZCJ","PIE"
"2026/02/19","US","01FL","ASO","FL","GENEVA","LANDING FACILITY","A","CEDAR KNOLL FLYING RANCH","ZJX","ZCJ","PIE"
"2026/02/19","US","01G","AEA","NY","PERRY","LANDING FACILITY","A","PERRY-WARSAW","ZOB","ZCC","BUF"
"2026/02/19","US","01G","AEA","NY","PERRY","WEATHER SENSOR","AWOS-2","","","",""
"2026/02/19","US","01G","AEA","NY","PERRY","WEATHER REPORTING STATION","WXL","","","",""
"2026/02/19","US","01GA","ASO","GA","COLUMBUS","LANDING FACILITY","H","MEDICAL CENTER","ZTL","ZCT","MCN"
"2026/02/19","US","01GE","ASO","GA","WRIGHTSVILLE","LANDING FACILITY","A","THE FARM","ZTL","ZCT","MCN"
"2026/02/19","US","01H","AGL","IN","CULVER","LANDING FACILITY","C","LAKE MAXINKUCKEE","ZAU","ZCG","HUF"
"2026/02/19","US","01ID","ANM","ID","LAVA HOT SPRINGS","LANDING FACILITY","A","LAVA HOT SPRINGS AIRPARK","ZLC","ZCU","BOI"
"2026/02/19","US","01IL","AGL","IL","HOOPESTON","LANDING FACILITY","H","HOOPESTON COMMUNITY MEML HOSPITAL","ZAU","ZCG","STL"
"2026/02/19","US","01IN","AGL","IN","ANDERSON","LANDING FACILITY","H","COMMUNITY HOSPITAL","ZID","ZCI","HUF"
"2026/02/19","US","01J","ASO","FL","HILLIARD","LANDING FACILITY","A","HILLIARD AIRPARK","ZJX","ZCJ","GNV"
"2026/02/19","US","01K","ACE","KS","CALDWELL","LANDING FACILITY","A","CALDWELL MUNI","ZKC","ZCK","ICT"
"2026/02/19","US","01KY","ASO","KY","PADUCAH","LANDING FACILITY","H","LOURDES HOSPITAL","ZME","ZCM","LOU"
"2026/02/19","US","01L","AGL","IN","WINONA","LANDING FACILITY","C","BASS LAKE","ZAU","ZCG","HUF"
"2026/02/19","US","01LA","ASW","LA","OAK RIDGE","LANDING FACILITY","A","BARHAM","ZFW","ZCF","DRI"
"2026/02/19","US","01M","ASO","MS","BELMONT","LANDING FACILITY","A","TISHOMINGO COUNTY","ZME","ZCM","GWO"
"2026/02/19","US","01M","ASO","MS","BELMONT","WEATHER REPORTING STATION","WXL","","","",""
"2026/02/19","US","01MA","ANE","MA","ANDOVER","LANDING FACILITY","H","COMPAQ ANDOVER","ZBW","ZCB","BDR"
"2026/02/19","US","01MD","AEA","MD","ANNAPOLIS","LANDING FACILITY","C","ANNAPOLIS","ZDC","ZCW","DCA"
"2026/02/19","US","01ME","ANE","ME","PORTAGE LAKE","LANDING FACILITY","C","ST PETERS","ZBW","ZCB","BGR"
"2026/02/19","US","01MI","AGL","MI","FLINT","LANDING FACILITY","H","FLOW THROUGH TRML","ZOB","ZCC","LAN"
"2026/02/19","US","01MN","AGL","MN","COOK","LANDING FACILITY","C","BARNES","ZMP","ZCP","PNM"
"2026/02/19","US","01MT","ANM","MT","FORTINE","LANDING FACILITY","A","CRYSTAL LAKES RESORT","ZSE","ZCS","GTF"
"2026/02/19","US","01MU","AWP","AZ","TUCSON","LANDING FACILITY","H","NWMC/HOUGHTON","ZAB","ZCA","ABQ"
"2026/02/19","US","01NC","ASO","NC","HOLLY RIDGE","LANDING FACILITY","A","TOPSAIL AIRPARK","ZDC","ZCW","RDU"
"2026/02/19","US","01NH","ANE","NH","CANAAN","LANDING FACILITY","A","MOORE AIRFIELD","ZBW","ZCB","BTV"
"2026/02/19","US","01NK","AEA","NY","GRANVILLE","LANDING FACILITY","A","GRANVILLE","ZBW","ZCB","BTV"
"2026/02/19","US","01NM","ASW","NM","ARTESIA","LANDING FACILITY","A","CHAMPION RANCH","ZAB","ZCA","ABQ"
"2026/02/19","US","01NR","ASO","NC","WILMINGTON","LANDING FACILITY","H","MCGEE 01","ZDC","ZCW","RDU"
"2026/02/19","US","01NV","AWP","NV","YERINGTON","LANDING FACILITY","A","LANTANA RANCH","ZOA","ZCO","RNO"
"2026/02/19","US","01NY","AEA","NY","POUGHKEEPSIE","LANDING FACILITY","H","NUVANCE HEALTH VASSAR BROTHERS MEDICAL CENTER","ZNY","ZCN","ISP"
"2026/02/19","US","01OH","AGL","OH","MIDDLETOWN","LANDING FACILITY","H","ATRIUM MEDICAL CENTER","ZID","ZCI","DAY"
"2026/02/19","US","01OI","AGL","OH","GALION","LANDING FACILITY","H","GALION COMMUNITY HOSPITAL","ZOB","ZCC","CLE"
"2026/02/19","US","01OK","ASW","OK","MOUNDS","LANDING FACILITY","U","MERRILL RANCH","ZKC","ZCK","MLC"
"2026/02/19","US","01OL","ASW","OK","TISHOMINGO","LANDING FACILITY","A","SPRING CREEK RANCH EAST","ZFW","ZCF","MLC"
"2026/02/19","US","01OR","ANM","OR","LA GRANDE","LANDING FACILITY","H","GRANDE RONDE HOSPITAL EMS","ZSE","ZCS","MMV"
"2026/02/19","US","01PA","AEA","PA","BOLIVAR","LANDING FACILITY","A","POWELL KAISER","ZOB","ZCC","AOO"
"2026/02/19","US","01PS","AEA","PA","MESHOPPEN","LANDING FACILITY","A","NORT'S RESORT","ZNY","ZCN","IPT"
"2026/02/19","US","01SC","ASO","SC","YORK","LANDING FACILITY","A","YORK","ZTL","ZCT","AND"
"2026/02/19","US","01TE","ASW","TX","FORNEY","LANDING FACILITY","A","SMITH FLD","ZFW","ZCF","FTW"
"2026/02/19","US","01TN","ASO","TN","COLLIERVILLE","LANDING FACILITY","A","COLONIAL AIR PARK","ZME","ZCM","MKL"
"2026/02/19","US","01TS","ASW","TX","GROESBECK","LANDING FACILITY","A","FORT PARKER FLYING FLD","ZFW","ZCF","FTW"
"2026/02/19","US","01TT","ASW","TX","CLUTE","LANDING FACILITY","H","CLUTE FIRE & EMS STATION #1","ZHU","ZCH","CXO"
"2026/02/19","US","01TX","ASW","TX","GRAHAM","LANDING FACILITY","A","BEULAH FLD","ZFW","ZCF","FTW"
"2026/02/19","US","01U","AWP","NV","DUCKWATER","LANDING FACILITY","A","DUCKWATER","ZLC","ZCU","RNO"
"2026/02/19","US","01UT","ANM","UT","LA SAL","LANDING FACILITY","A","LA SAL JUNCTION","ZDV","ZCD","CDC"
"2026/02/19","US","01VA","AEA","VA","BERRYVILLE","LANDING FACILITY","A","PICKLES","ZDC","ZCW","DCA"
"2026/02/19","US","01WA","ANM","WA","SOUTH BEND","LANDING FACILITY","H","WILLAPA HARBOR","ZSE","ZCS","SEA"
"2026/02/19","US","01WI","AGL","WI","WAUSAU","LANDING FACILITY","A","KILO KILO AERODROME","ZMP","ZCP","GRB"
"2026/02/19","US","01WI","AGL","WI","WAUSAU","CONTROL FACILITY","BASE OPS","","","",""
"2026/02/19","US","01WN","ANM","WA","COUPEVILLE","LANDING FACILITY","H","WHIDBEY GENERAL HOSPITAL","ZSE","ZCS","SEA"
"2026/02/19","US","01WT","ANM","WA","RENTON","LANDING FACILITY","H","ODYSSEY","ZSE","ZCS","SEA"
"2026/02/19","US","01WY","ANM","WY","MOORCROFT","LANDING FACILITY","A","KEYHOLE","ZDV","ZCD","CPR"
"2026/02/19","US","01XA","ASW","TX","KYLE","LANDING FACILITY","H","SETON MEDICAL CENTER HAYS","ZHU","ZCH","SJT"
"2026/02/19","US","01Z","AWP","HI","KAULA ROCK","SPECIAL USE RESOURCE","GEOGRAPHIC REFERENCE POINT","GEOREF","","",""
"2026/02/19","US","02A","ASO","AL","CLANTON","LANDING FACILITY","A","CHILTON COUNTY","ZTL","ZCT","ANB"
"2026/02/19","US","02AA","AAL","AK","BIG LAKE","LANDING FACILITY","A","BAREFOOT","ZAN","ZAN","ENA"
"2026/02/19","US","02AK","AAL","AK","WILLOW","LANDING FACILITY","A","RUSTIC WILDERNESS","ZAN","ZAN","ENA"
"2026/02/19","US","02AL","ASO","AL","FOLEY","LANDING FACILITY","A","BASS FLD","ZJX","ZCJ","ANB"
"2026/02/19","US","02AN","AAL","AK","HOMER","LANDING FACILITY","A","EMERALD RIDGE","ZAN","ZAN","ENA"
"2026/02/19","US","02AR","ASW","AR","MURFREESBORO","LANDING FACILITY","A","MOUNT MORIAH FLD","ZME","ZCM","JBR"
"2026/02/19","US","02AZ","AWP","AZ","MARANA","LANDING FACILITY","H","SILVER BELL AHP","ZAB","ZCA","PRC"
"2026/02/19","US","02C","AGL","WI","BROOKFIELD","LANDING FACILITY","A","CAPITOL DRIVE","ZAU","ZCG","GRB"
"2026/02/19","US","02CA","AWP","CA","HUNTINGTON BEACH","LANDING FACILITY","H","BETA PLATFORM ELLEN","ZLA","ZCL","RAL"
"2026/02/19","US","02CD","ASO","MS","CLARKSDALE","LANDING FACILITY","A","SHANNON FLD","ZME","ZCM","GWO"
"2026/02/19","US","02CL","AWP","CA","FRAZIER PARK","LANDING FACILITY","A","CONOVER AIR LODGE","ZLA","ZCL","RIU"
"2026/02/19","US","02CO","ANM","CO","MONTE VISTA","LANDING FACILITY","A","MC CULLOUGH","ZDV","ZCD","DEN"
"2026/02/19","US","02D","AGL","IN","WINONA LAKE","LANDING FACILITY","C","WINONA LAKE","ZAU","ZCG","HUF"
"2026/02/19","US","02FA","ASO","FL","GROVELAND","LANDING FACILITY","A","OSBORN AIRFIELD","ZJX","ZCJ","PIE"
"2026/02/19","US","02FD","ASO","FL","BAKER","LANDING FACILITY","A","TRIPLE R RANCH","ZJX","ZCJ","GNV"
"2026/02/19","US","02FL","ASO","FL","PLANT CITY","LANDING FACILITY","H","BAYCARE SOUTH FLORIDA BAPTIST HOSPITAL","ZMA","ZCR","PIE"
"2026/02/19","US","02G","AGL","OH","EAST LIVERPOOL","LANDING FACILITY","A","COLUMBIANA COUNTY","ZOB","ZCC","CLE"
"2026/02/19","US","02GA","ASO","GA","COMMERCE","LANDING FACILITY","A","DOUG BOLTON FLD","ZTL","ZCT","MCN"
"2026/02/19","US","02GE","ASO","GA","EUHARLEE","LANDING FACILITY","A","ETOWAH FIELDS","ZTL","ZCT","MCN"
"2026/02/19","US","02HI","AWP","HI","PEARL HARBOR","LANDING FACILITY","H","K3 HELIPAD","ZHN","ZHN","HNL"
"2026/02/19","US","02IA","ACE","IA","BOONE","LANDING FACILITY","H","BOONE COUNTY HOSPITAL","ZMP","ZCP","FOD"
"2026/02/19","US","02ID","ANM","ID","CASCADE","LANDING FACILITY","A","MORGAN RANCH","ZLC","ZCU","BOI"
"2026/02/19","US","02II","AGL","IN","WESTFIELD","LANDING FACILITY","U","KING","ZID","ZCI","HUF"
"2026/02/19","US","02IN","AGL","IN","MUNCIE","LANDING FACILITY","A","DIAMOND P FLD","ZID","ZCI","HUF"
"2026/02/19","US","02IS","AGL","IL","LIBERTYVILLE","LANDING FACILITY","H","ADVOCATE CONDELL MEDICAL CENTER","ZAU","ZCG","IKK"
"2026/02/19","US","02KS","ACE","KS","ST MARYS","LANDING FACILITY","A","JMJ LANDING","ZKC","ZCK","ICT"
"2026/02/19","US","02KT","ASO","KY","MOREHEAD","LANDING FACILITY","H","ST CLAIRE HEALTHCARE","ZID","ZCI","LOU"
"2026/02/19","US","02KY","ASO","KY","FRANKFORT","LANDING FACILITY","H","BOONE NTL GUARD","ZID","ZCI","LOU"
"2026/02/19","US","02LA","ASW","LA","BOSSIER CITY","LANDING FACILITY","H","LA STATE POLICE TROOP G","ZFW","ZCF","DRI"
"2026/02/19","US","02LS","ASW","LA","BROUSSARD","LANDING FACILITY","H","WINDY HILL","ZHU","ZCH","DRI"
"2026/02/19","US","02MA","ANE","MA","GOSNOLD","LANDING FACILITY","H","CUTTYHUNK","ZBW","ZCB","BDR"
"2026/02/19","US","02MD","AEA","MD","BRANDYWINE","LANDING FACILITY","A","GARNER FLD","ZDC","ZCW","DCA"
"2026/02/19","US","02ME","ANE","ME","ACTON","LANDING FACILITY","A","NADEAU'S AIRFIELD","ZBW","ZCB","BGR"
"2026/02/19","US","02MI","AGL","MI","GREENVILLE","LANDING FACILITY","A","FAIRPLAINS AIRPARK","ZAU","ZCG","LAN"
"2026/02/19","US","02MN","AGL","MN","CAMBRIDGE","LANDING FACILITY","A","GREGORY","ZMP","ZCP","PNM"
"2026/02/19","US","02MO","ACE","MO","TROY","LANDING FACILITY","A","TROY AIRPARK","ZKC","ZCK","STL"
"2026/02/19","US","02MS","ASO","MS","ROCHDALE","LANDING FACILITY","A","WATTS FLD","ZME","ZCM","GWO"
"2026/02/19","US","02MT","ANM","MT","CULBERTSON","LANDING FACILITY","A","STEPPLER FLD","ZLC","ZCU","BOI"
"2026/02/19","US","02NH","ANE","NH","DUMMER","LANDING FACILITY","C","IROQUOIS LANDING","ZBW","ZCB","BGR"
"2026/02/19","US","02NJ","AEA","NJ","KENILWORTH","LANDING FACILITY","H","MERCK KENILWORTH CAMPUS","ZNY","ZCN","MIV"
"2026/02/19","US","02NM","ASW","NM","ANIMAS","LANDING FACILITY","A","FFR ANIMAS LANDING STRIP","ZAB","ZCA","ABQ"
"2026/02/19","US","02NR","ASO","NC","GREENVILLE","LANDING FACILITY","H","MCGEE 02","ZDC","ZCW","RDU"
"2026/02/19","US","02NV","AWP","NV","WINNEMUCCA","LANDING FACILITY","A","PAIUTE MEADOWS","ZLC","ZCU","RNO"
"2026/02/19","US","02NY","AEA","NY","DURHAMVILLE","LANDING FACILITY","H","HANSEN","ZBW","ZCB","BUF"
"2026/02/19","US","02OK","ASW","OK","LAMONT","LANDING FACILITY","A","BOBBITT","ZKC","ZCK","MLC"
"2026/02/19","US","02OL","ASW","OK","WILBURTON","LANDING FACILITY","H","WAR VETERANS COLONY","ZFW","ZCF","MLC"
"2026/02/19","US","02PN","AEA","PA","BERWYN","LANDING FACILITY","H","PECO BERWYN","ZNY","ZCN","IPT"
"2026/02/19","US","02PR","ASO","PR","VEGA BAJA","LANDING FACILITY","A","CUYLERS","ZSU","ZSU","SJU"
"2026/02/19","US","02RI","ANE","RI","NEWPORT","LANDING FACILITY","H","MIRAMAR RESIDENCE","ZBW","ZCB","BDR"
"2026/02/19","US","02SC","ASO","SC","ESTILL","LANDING FACILITY","A","HARPERS","ZJX","ZCJ","AND"
"2026/02/19","US","02T","ANM","MT","WISE RIVER","LANDING FACILITY","A","WISE RIVER","ZLC","ZCU","GTF"
"2026/02/19","US","02TN","ASO","TN","MURFREESBORO","LANDING FACILITY","A","ELLIS FLD","ZME","ZCM","BNA"
"2026/02/19","US","02TS","ASW","TX","CHARLOTTE","LANDING FACILITY","A","EL TESORO RANCH","ZHU","ZCH","SJT"
"2026/02/19","US","02TX","ASW","TX","NACOGDOCHES","LANDING FACILITY","H","NACOGDOCHES MEML HOSPITAL","ZHU","ZCH","CXO"
"2026/02/19","US","02UT","ANM","UT","LUCIN","LANDING FACILITY","A","LUCIN","ZLC","ZCU","CDC"
"2026/02/19","US","02WA","ANM","WA","SOUTH PRAIRIE","LANDING FACILITY","A","CAWLEYS SOUTH PRAIRIE","ZSE","ZCS","SEA"
"2026/02/19","US","02WI","AGL","WI","HUDSON","LANDING FACILITY","A","BEER","ZMP","ZCP","GRB"
"2026/02/19","US","02WN","ANM","WA","TONASKET","LANDING FACILITY","A","FOWLER FLD","ZSE","ZCS","SEA"
"2026/02/19","US","02XA","ASW","TX","HONEY GROVE","LANDING FACILITY","A","JLS FARMS","ZFW","ZCF","FTW"
"2026/02/19","US","02XS","ASW","TX","ELROY","LANDING FACILITY","A","SEIDEL RANCH","ZHU","ZCH","SJT"
"2026/02/19","US","02Z","AWP","HI","LEHUA ISLAND","SPECIAL USE RESOURCE","GEOGRAPHIC REFERENCE POINT","GEOREF","","",""
"2026/02/19","US","03A","AEA","NJ","PITTSGROVE","SPECIAL USE RESOURCE","SPECIAL USAGE","GROUND BASED TRANSCEIVER (GBT)","","",""
"2026/02/19","US","03AK","AAL","AK","KENAI","LANDING FACILITY","C","JOE CLOUDS","ZAN","ZAN","ENA"
"2026/02/19","US","03AL","ASO","AL","SCOTTSBORO","LANDING FACILITY","H","HIGHLAND MEDICAL CENTER","ZTL","ZCT","ANB"
"2026/02/19","US","03AN","AAL","AK","PALMER","LANDING FACILITY","H","ALASKA GLACIER LODGE","ZAN","ZAN","PAQ"
"2026/02/19","US","03AR","ASW","AR","MALVERN","LANDING FACILITY","H","HSCMH","ZME","ZCM","JBR"
"2026/02/19","US","03AZ","AWP","AZ","HEREFORD","LANDING FACILITY","A","THOMPSON INTL AVIATION","ZAB","ZCA","PRC"
"2026/02/19","US","03B","ACE","MO","MANSFIELD","LANDING FACILITY","A","MANSFIELD MUNI","ZKC","ZCK","COU"
"2026/02/19","US","03CA","AWP","CA","LA MESA","LANDING FACILITY","H","GROSSMONT HOSPITAL","ZLA","ZCL","SAN"
"2026/02/19","US","03CO","ANM","CO","SAGUACHE","LANDING FACILITY","A","BLUE WATER","ZDV","ZCD","DEN"
