"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","TERRAIN_SEQ_NO","TERRAIN_TEXT"
"2026/01/22","IR","128","ZAB ZFW",28,"FROM B TO AE AND 01 TO J1 ON RE-ENTRY BA, AND RA TO RG1 ON"
"2026/01/22","IR","128","ZAB ZFW",30,"RE-ENTRY R-5104/5105. WHEN COMMAND DIRECTIVES PRECLUDE"
"2026/01/22","IR","128","ZAB ZFW",35,"TF/TA/VMC OPERATIONS AIRCREWS WILL MAINTAIN THE IFR ALTITUDE FOR"
"2026/01/22","IR","128","ZAB ZFW",40,"EACH ROUTE SEGMENT. MINIMUM ALTITUDES, OTHER THAN SURFACE, ARE"
"2026/01/22","IR","128","ZAB ZFW",45,"ESTABLISHED TO PROVIDE 100' VERTICAL CLEARANCE OF KNOWN"
"2026/01/22","IR","128","ZAB ZFW",50,"MAN-MADE OBSTRUCTIONS WITHIN THE ROUTE WIDTH. COMMAND"
"2026/01/22","IR","128","ZAB ZFW",55,"DIRECTIVES MAY REQUIRE ADDITIONAL OBSTRUCTION CLEARANCE FOR"
"2026/01/22","IR","128","ZAB ZFW",60,"TF/TA/VMC OPERATIONS. THE ENTIRE ROUTE IS DESIGNATED"
"2026/01/22","IR","128","ZAB ZFW",65,"NON-MOUNTAINOUS. REGULATIONS GOVERNING OPERATIONS BELOW 500'"
"2026/01/22","IR","128","ZAB ZFW",70,"AGL MUST BE COMPLIED WITH. THE ROUTE CORRIDOR PROVIDES AIRSPACE"
"2026/01/22","IR","128","ZAB ZFW",75,"FOR 500' LATERAL SEPARATION FROM MAN-MADE OBSTACLES."
"2026/01/22","IR","128","ZAB ZFW",80,"OBSTRUCTIONS UNDER 200' AGL WERE NOT CONSIDERED IN ROUTE"
"2026/01/22","IR","128","ZAB ZFW",85,"DESIGN. AIRCREWS MUST BE AWARE OF CHARTED AIRPORTS WITHIN OR NEAR"
"2026/01/22","IR","128","ZAB ZFW",86,"ROUTE CORRIDOR LIMITS."
"2026/01/22","IR","129","ZFW ZHU",5,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","133","ZAB",5,"AUTHORIZED"
"2026/01/22","IR","133","ZAB",10,"ENTIRE ROUTE. DO NOT DESCEND BELOW MINIMUM SPECIFIED ALTITUDE"
"2026/01/22","IR","133","ZAB",15,"FOR EACH LEG."
"2026/01/22","IR","134","ZAB",5,"AUTHORIZED"
"2026/01/22","IR","134","ZAB",6,"FROM POINT C TO POINT I AND FROM POINT K TO POINT M; NOT"
"2026/01/22","IR","134","ZAB",10,"AUTHORIZED ON ANY ALTERNATE ENTRY OR FROM POINT A TO POINT C AND"
"2026/01/22","IR","134","ZAB",15,"FROM POINT I TO POINT K."
"2026/01/22","IR","136","ZHU",5,"AUTHORIZED FOR"
"2026/01/22","IR","136","ZHU",10,"ENTIRE ROUTE."
"2026/01/22","IR","137","ZAB ZDV",1,"AUTHORIZED"
"2026/01/22","IR","137","ZAB ZDV",5,"ENTIRE ROUTE. IMC TERRAIN FOLLOWING (TF) AUTHORIZED WITHIN MAJOR"
"2026/01/22","IR","137","ZAB ZDV",10,"COMMAND GUIDANCE."
"2026/01/22","IR","139","ZFW ZHU",5,"AUTHORIZED A TO E."
"2026/01/22","IR","142","ZAB",1,"AUTHORIZED FROM POINT A TO POINT H."
"2026/01/22","IR","154","ZAB ZFW",5,"VFR TERRAIN"
"2026/01/22","IR","154","ZAB ZFW",10,"FOLLOWING AUTHORIZED FOR THE ENTIRE ROUTE. WHEN IMC, MAINTAIN AT"
"2026/01/22","IR","154","ZAB ZFW",15,"LEAST MAJCOM DIRECTED MINIMUM IFR ALTITUDES FOR EACH SEGMENT"
"2026/01/22","IR","154","ZAB ZFW",20,"TO ASSURE TERRAIN/OBSTACLE CLEARANCE."
"2026/01/22","IR","155","ZAB ZFW",5,"VFR TERRAIN"
"2026/01/22","IR","155","ZAB ZFW",10,"FOLLOWING AUTHORIZED FOR THE ENTIRE ROUTE. WHEN IMC, MAINTAIN AT"
"2026/01/22","IR","155","ZAB ZFW",15,"LEAST MAJCOM DIRECTED MINIMUM IFR ALTITUDES FOR EACH"
"2026/01/22","IR","155","ZAB ZFW",20,"SEGMENT TO ASSURE TERRAIN/OBSTACLE CLEARANCE."
"2026/01/22","IR","164","ZFW ZME",5,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","164","ZFW ZME",10,"ONLY OBSTACLES 200' AGL AND HIGHER WERE SURVEYED FOR"
"2026/01/22","IR","164","ZFW ZME",15,"THIS MTR, AND THE MINIMUM SCHEDULABLE ALTITUDE FOR"
"2026/01/22","IR","164","ZFW ZME",20,"TRAINING IS 500' AGL."
"2026/01/22","IR","166","ZHU",5,"AUTHORIZED THE ENTIRE ROUTE."
"2026/01/22","IR","167","ZHU",5,"AUTHORIZED FROM A TO E."
"2026/01/22","IR","169","ZFW ZHU",5,"AUTHORIZED FOR ENTIRE ROUTE AND ROUTE IS VMC ONLY."
"2026/01/22","IR","170","ZHU",5,"AUTHORIZED FOR ENTIRE ROUTE IN VMC ONLY."
"2026/01/22","IR","174","ZME",5,"PUBLISHED"
"2026/01/22","IR","174","ZME",10,"MINIMUM ALTITUDES MAY NOT GURANTEE TERRAIN FOLLOWING"
"2026/01/22","IR","174","ZME",15,"OBSTRUCTION CLEARANCES"
"2026/01/22","IR","177","ZAB ZDV ZKC",5,"IFR/VFR"
"2026/01/22","IR","177","ZAB ZDV ZKC",10,"TERRAIN FOLLOWING (TF)/VISUAL CONTOUR (VC) OPERATIONS ARE"
"2026/01/22","IR","177","ZAB ZDV ZKC",15,"AUTHORIZED IAW COMMAND DIRECTIVES WITHIN PUBLISHED ALTITUDE"
"2026/01/22","IR","177","ZAB ZDV ZKC",20,"BLOCKS FROM E TO R, AND ZA TO J1 (ALTERNATE ENTRY Z). WHEN"
"2026/01/22","IR","177","ZAB ZDV ZKC",25,"COMMAND DIRECTIVES PRECLUDE TF/VC OPERATIONS AIRCREWS WILL"
"2026/01/22","IR","177","ZAB ZDV ZKC",30,"MAINTAIN THE IFR ALTITUDE FOR EACH TF ROUTE SEGMENT. MINIMUM"
"2026/01/22","IR","177","ZAB ZDV ZKC",35,"ALTITUDES ARE ESTABLISHED TO PROVIDE 200' VERTICAL CLEARANCE OF"
"2026/01/22","IR","177","ZAB ZDV ZKC",40,"KNOWN MAN-MADE OBSTRUCTIONS WITHIN THE ROUTE CORRIDOR."
"2026/01/22","IR","177","ZAB ZDV ZKC",45,"COMMAND DIRECTIVES MAY REQUIRE ADDITIONAL OBSTRUCTION"
"2026/01/22","IR","177","ZAB ZDV ZKC",50,"CLEARANCE FOR TF/VC OPERATIONS. AIRCREWS FLYING COMMAND"
"2026/01/22","IR","177","ZAB ZDV ZKC",55,"DIRECTED TF/VC ALTITUDES MAY BE REQUIRED TO FLY AT A HIGHER"
"2026/01/22","IR","177","ZAB ZDV ZKC",60,"MINIMUM TRACKING ALTITUDE (MTA), AS LISTED IN 99 ECRG 50-3, FOR"
"2026/01/22","IR","177","ZAB ZDV ZKC",65,"STR SCORED ACTIVITY. IN NO CASE WILL AIRCRAFT FLY BELOW COMMAND"
"2026/01/22","IR","177","ZAB ZDV ZKC",70,"DIRECTED TF/VC ALTITUDES. THE ENTIRE ROUTE IS DESIGNATED"
"2026/01/22","IR","177","ZAB ZDV ZKC",75,"NON-MOUNTAINOUS. REGULATIONS GOVERNING AIRCRAFT OPERATIONS"
"2026/01/22","IR","177","ZAB ZDV ZKC",80,"BELOW 500' AGL MUST BE COMPLIED WITH."
"2026/01/22","IR","178","ZAB ZFW",1,"IMC/VMC"
"2026/01/22","IR","178","ZAB ZFW",2,"TERRAIN FOLLOWING (TF)/TERRAIN AVOIDANCE (TA)/VISUAL CONTOUR (VC)"
"2026/01/22","IR","178","ZAB ZFW",3,"OPERATIONS ARE AUTHORIZED IAW COMMAND DIRECTIVES WITHIN"
"2026/01/22","IR","178","ZAB ZFW",4,"PUBLISHED ALTITUDE BLOCKS FROM POINT A TO AH AND POINT O1 TO"
"2026/01/22","IR","178","ZAB ZFW",5,"AF1 ON ALTERNATE ROUTE O1. WHEN COMMAND DIRECTIVES PRECLUDE"
"2026/01/22","IR","178","ZAB ZFW",6,"TF/TA/VC OPERATIONS, AIRCREWS WILL MAINTAIN THE IFR ALTITUDE FOR"
"2026/01/22","IR","178","ZAB ZFW",7,"EACH ROUTE SEGMENT. MINIMUM ALTITUDES OTHER THAN SURFACE ARE"
"2026/01/22","IR","178","ZAB ZFW",8,"ESTABLISHED TO PROVIDE 200' VERTICAL CLEARANCE FROM KNOWN"
"2026/01/22","IR","178","ZAB ZFW",9,"MANMADE OBSTRUCTIONS WITHIN ROUTE CORRIDOR. COMMAND"
"2026/01/22","IR","178","ZAB ZFW",10,"DIRECTIVES MAY REQUIRE ADDITIONAL OBSTRUCTION CLEARANCE FOR"
"2026/01/22","IR","178","ZAB ZFW",15,"TF/TA/VC OPERATIONS. THE ROUTE IS DESIGNATED MOUNTAINOUS FROM"
"2026/01/22","IR","178","ZAB ZFW",20,"POINT A TO M AND POINT R TO X. THE REMAINDER OF ROUTE IS"
"2026/01/22","IR","178","ZAB ZFW",25,"NON-MOUNTAINOUS. REGULATIONS GOVERNING OPERATIONS BELOW 500'"
"2026/01/22","IR","178","ZAB ZFW",30,"AGL MUST BE COMPLIED WITH. ACC AIRCREWS SHOULD REFERENCE THEIR"
"2026/01/22","IR","178","ZAB ZFW",35,"APPROPRIATE AFI SERIES VOL.3 FOR LOW ALTITUDE MINIMUM ALTITUDE,"
"2026/01/22","IR","178","ZAB ZFW",40,"AND 7 BW CLEARANCE PLANE LETTER FOR CURRENT CLEARANCE PLANE"
"2026/01/22","IR","178","ZAB ZFW",45,"SETTING INFORMATION."
"2026/01/22","IR","180","ZAB ZFW",5,"IMC/VMC"
"2026/01/22","IR","180","ZAB ZFW",10,"TERRAIN FOLLOWING (TF) VISUAL CONTOUR (VC) OPERATIONS ARE"
"2026/01/22","IR","180","ZAB ZFW",15,"AUTHORIZED IAW COMMAND DIRECTIVES WITHIN THE PUBLISHED ALTITUDE"
"2026/01/22","IR","180","ZAB ZFW",17,"BLOCKS FROM A TO AF AND W1 TO R1 ON RE-ENTRY BA AND RA TO RG1"
"2026/01/22","IR","180","ZAB ZFW",20,"ON RE-ENTRY R-5104/R-5105. VMC TERRAIN AVOIDANCE (TA) VISUAL"
"2026/01/22","IR","180","ZAB ZFW",25,"CONTOUR (VC) AUTHORIZED WITHIN THE PUBLISHED ALTITUDE BLOCKS"
"2026/01/22","IR","180","ZAB ZFW",28,"FROM B TO AF, W1 TO R1 ON RE-ENTRY BA, RA TO RG1 ON RE-ENTRY"
"2026/01/22","IR","180","ZAB ZFW",30,"R-5104/R-5105. WHEN COMMAND DIRECTIVES PRECLUDE TF/TA/VMC"
"2026/01/22","IR","180","ZAB ZFW",35,"OPERATIONS AIRCREWS WILL MAINTAIN THE IFR ALTITUDE FOR EACH ROUTE"
"2026/01/22","IR","180","ZAB ZFW",40,"SEGMENT. MINIMUM ALTITUDES, OTHER THAN SURFACE, ARE ESTABLISHED"
"2026/01/22","IR","180","ZAB ZFW",45,"TO PROVIDE 100' VERTICAL CLEARANCE OF UNKNOWN MAN-MADE"
"2026/01/22","IR","180","ZAB ZFW",50,"OBSTRUCTIONS WITHIN THE ROUTE WIDTH. COMMAND DIRECTIVES MAY"
"2026/01/22","IR","180","ZAB ZFW",55,"REQUIRE ADDITIONAL OBSTRUCTION CLEARANCE FOR TF/TA/VMC"
"2026/01/22","IR","180","ZAB ZFW",60,"OPERATIONS. THE ENTIRE ROUTE IS DESIGNATED NONMOUNTAINOUS."
"2026/01/22","IR","180","ZAB ZFW",65,"REGULATIONS GOVERNING OPERATIONS BELOW 500' AGL MUST BE"
"2026/01/22","IR","180","ZAB ZFW",70,"COMPLIED WITH. THE ROUTE CORRIDOR PROVIDES AIRSPACE FOR 500'"
"2026/01/22","IR","180","ZAB ZFW",75,"LATERAL SEPARATION FROM MAN-MADE OBSTACLES. OBSTRUCTIONS UNDER"
"2026/01/22","IR","180","ZAB ZFW",80,"200' AGL WERE NOT CONSIDERED IN ROUTE DESIGN. AIRCREWS MUST BE"
"2026/01/22","IR","180","ZAB ZFW",85,"AWARE OF CHARTED AIRPORTS WITHIN OR NEAR ROUTE CORRIDOR LIMITS."
"2026/01/22","IR","192","ZAB ZFW",1,"AUTHORIZED FROM POINT D TO V."
"2026/01/22","IR","193","",1,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","194","ZAB ZFW",1,"AUTHORIZED FROM POINT C TO Q."
"2026/01/22","IR","195","ZAB",1,"TERRAIN FOLLOWING IS AUTHORIZED FROM POINT B TO POINT J."
"2026/01/22","IR","200","ZLA ZLC ZOA",5,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","206","ZOA",5,"AUTHORIZED ENTIRE  ROUTE."
"2026/01/22","IR","207","ZOA",5,"AUTHORIZED FROM M TO P."
"2026/01/22","IR","207","ZOA",10,"RADAR NAVIGATION ACTIVITY FROM A TO M AND FROM P TO T."
"2026/01/22","IR","211","ZLA",5,"TERRAIN"
"2026/01/22","IR","211","ZLA",10,"FOLLOWING OPERATIONS ARE NOT AUTHORIZED ON THE ROUTE SEGMENT"
"2026/01/22","IR","211","ZLA",15,"FROM B TO C."
"2026/01/22","IR","212","ZLA",5,"AUTHORIZED FROM A TO D AND F."
"2026/01/22","IR","213","ZAB ZLA",5,"AUTHORIZED FROM A TO C AND FROM E TO K."
"2026/01/22","IR","214","ZAB ZLA",5,"AUTHORIZED FOR THE ENTIRE ROUTE."
"2026/01/22","IR","216","ZLA",5,"AUTHORIZED FOR THE ENTIRE ROUTE."
"2026/01/22","IR","217","ZLA",5,"AUTHORIZED FROM A TO D AND FROM E TO K."
"2026/01/22","IR","218","ZAB ZLA",5,"AUTHORIZED FROM A TO C AND FROM F TO G."
"2026/01/22","IR","234","ZLC",5,"AUTHORIZED FOR THE ENTIRE ROUTE."
"2026/01/22","IR","235","ZLC",5,"AUTHORIZED FOR"
"2026/01/22","IR","235","ZLC",10,"THE ENTIRE ROUTE."
"2026/01/22","IR","237","ZLC",5,"AUTHORIZED FOR THE ENTIRE ROUTE."
"2026/01/22","IR","238","ZLC",5,"AUTHORIZED FOR ENTIRE ROUTE."
"2026/01/22","IR","254","ZAB",5,"AUTHORIZED FOR ENTIRE ROUTE."
"2026/01/22","IR","266","ZDV ZLA ZLC",1,"IMC/VMC"
"2026/01/22","IR","266","ZDV ZLA ZLC",5,"TERRAIN FOLLOWING (TF) VISUAL CONTOUR (VC) OPERATIONS ARE"
"2026/01/22","IR","266","ZDV ZLA ZLC",15,"AUTHORIZED IAW COMMAND DIRECTIVES A TO X. COMMAND"
"2026/01/22","IR","266","ZDV ZLA ZLC",20,"DIRECTIVES PRECLUDE TF/VC OPERATIONS, AIRCREWS WILL MAINTAIN THE"
"2026/01/22","IR","266","ZDV ZLA ZLC",25,"IFR ALTITUDE FOR EACH TF ROUTE SEGMENT. MINIMUM ALTITUDES OTHER"
"2026/01/22","IR","266","ZDV ZLA ZLC",30,"THAN SURFACE PROVIDE AT LEAST 100' VERTICAL CLEARANCE OF KNOWN"
"2026/01/22","IR","266","ZDV ZLA ZLC",35,"MAN-MADE OBSTRUCTIONS. OBSTRUCTIONS UNDER 200' AGL WERE NOT"
"2026/01/22","IR","266","ZDV ZLA ZLC",40,"CONSIDERED IN ROUTE DESIGN. COMMAND DIRECTIVES MAY REQUIRE"
"2026/01/22","IR","266","ZDV ZLA ZLC",45,"ADDITIONAL OBSTRUCTION CLEARANCE FOR TF/VC OPERATIONS. THE ENTIRE"
"2026/01/22","IR","266","ZDV ZLA ZLC",50,"ROUTE IS MOUNTAINOUS. REGULATIONS GOVERNING AIRCRAFT OPERATION"
"2026/01/22","IR","266","ZDV ZLA ZLC",55,"BELOW 500' AGL MUST BE COMPLIED WITH."
"2026/01/22","IR","275","ZLC ZOA",5,"IMC/VMC"
"2026/01/22","IR","275","ZLC ZOA",10,"TERRAIN FOLLOWING (TF)/VISUAL CONTOUR OPERATIONS ARE AUTHORIZED"
"2026/01/22","IR","275","ZLC ZOA",15,"IAW COMMAND DIRECTIVES WITHIN PUBLISHED ALTITUDE BLOCKS FROM D"
